,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,81,0,81,0.0,85.5,0,0,7000.0,7000.0,21.0
0,81,0,0,0.0,0.0,67,59,0.0,0.0,0.0
0,81,0,0,0.0,0.0,75,69,0.0,0.0,0.0
0,81,16,16,85.7,84.35,79,86,1388.3400000000001,-1349.6,-4.16502
0,81,16,16,85.9,85.47,89,93,1391.5800000000002,-1367.52,-4.174740000000001
0,81,0,0,0.0,0.0,104,103,0.0,0.0,0.0
0,81,16,16,85.8,85.35,111,118,1389.96,-1365.6,-4.16988
0,81,0,0,0.0,0.0,128,122,0.0,0.0,0.0
0,81,16,16,87.15,85.29,129,137,1411.8300000000002,-1364.64,-4.23549
0,81,0,0,0.0,0.0,145,139,0.0,0.0,0.0
0,81,16,16,86.0,85.7,153,155,1393.2,-1371.2,-4.1796
0,81,0,0,0.0,0.0,168,160,0.0,0.0,0.0
0,81,0,0,0.0,0.0,177,169,0.0,0.0,0.0
0,81,16,16,86.0,85.15,179,188,1393.2,-1362.4,-4.1796
0,81,16,16,86.94,85.8,189,196,1408.4279999999999,-1372.8,-4.225284
0,81,0,0,0.0,0.0,207,199,0.0,0.0,0.0
0,81,0,0,0.0,0.0,211,209,0.0,0.0,0.0
0,81,16,16,86.9,86.0,222,228,1407.7800000000002,-1376.0,-4.22334
0,81,0,0,0.0,0.0,238,229,0.0,0.0,0.0
0,81,16,16,86.5,85.82,240,245,1401.3000000000002,-1373.12,-4.203900000000001
0,81,0,0,0.0,0.0,258,252,0.0,0.0,0.0
0,81,0,0,0.0,0.0,267,260,0.0,0.0,0.0
0,81,0,0,0.0,0.0,272,269,0.0,0.0,0.0
0,81,0,0,0.0,0.0,287,284,0.0,0.0,0.0
0,81,16,16,85.79,84.6,289,291,1389.7980000000002,-1353.6,-4.1693940000000005
0,81,0,0,0.0,0.0,302,299,0.0,0.0,0.0
0,81,16,16,84.35,83.69,311,316,1366.47,-1339.04,-4.09941
0,81,16,16,84.49,83.77,319,326,1368.738,-1340.32,-4.106214
0,81,16,16,84.5,84.0,334,338,1368.9,-1344.0,-4.1067
0,81,16,16,85.6,84.1,341,346,1386.72,-1345.6,-4.16016
0,81,16,16,86.05,85.1,350,353,1394.0100000000002,-1361.6,-4.18203
0,81,16,16,86.0,85.05,362,367,1393.2,-1360.8,-4.1796
0,81,16,16,86.25,85.79,369,376,1397.25,-1372.64,-4.19175
0,81,0,0,0.0,0.0,383,379,0.0,0.0,0.0
0,81,16,16,85.89,85.35,395,398,1391.4180000000001,-1365.6,-4.174254
0,81,16,16,86.44,86.05,401,404,1400.328,-1376.8,-4.200984
