,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,290,0,290,0.0,24.06,0,0,7000.0,7000.0,21.0
0,290,58,58,24.15,23.79,63,68,1400.7,-1379.82,-4.2021
0,290,58,58,24.33,24.1,69,74,1411.14,-1397.8000000000002,-4.233420000000001
0,290,0,0,0.0,0.0,87,79,0.0,0.0,0.0
0,290,0,0,0.0,0.0,96,92,0.0,0.0,0.0
0,290,58,58,24.0,23.8,99,104,1392.0,-1380.4,-4.176
0,290,58,58,24.19,23.82,109,118,1403.0200000000002,-1381.56,-4.209060000000001
0,290,58,58,24.2,24.06,121,125,1403.6000000000001,-1395.48,-4.210800000000001
0,290,58,58,24.7,24.3,129,137,1432.6000000000001,-1409.4,-4.2978000000000005
0,290,0,0,0.0,0.0,147,144,0.0,0.0,0.0
0,291,58,59,24.75,24.25,155,158,1435.5,-1430.75,-4.3065
0,291,0,0,0.0,0.0,167,159,0.0,0.0,0.0
0,291,58,58,24.49,24.3,169,177,1425.318,-1409.4,-4.275954
0,291,58,58,24.7,24.34,179,188,1437.54,-1411.72,-4.31262
0,292,58,59,25.35,24.7,189,198,1475.3700000000001,-1457.3,-4.42611
0,292,58,58,25.6,25.35,200,207,1495.0400000000002,-1470.3000000000002,-4.485120000000001
0,292,0,0,0.0,0.0,212,210,0.0,0.0,0.0
0,292,58,58,25.6,25.32,221,227,1495.0400000000002,-1468.56,-4.485120000000001
0,292,58,58,25.7,25.6,229,236,1500.88,-1484.8000000000002,-4.50264
0,292,58,58,25.85,25.61,239,247,1509.6400000000003,-1485.3799999999999,-4.528920000000001
0,292,58,58,25.87,25.86,249,250,1510.808,-1499.8799999999999,-4.532424
0,292,0,0,0.0,0.0,268,259,0.0,0.0,0.0
0,292,0,0,0.0,0.0,277,271,0.0,0.0,0.0
0,292,58,58,25.5,25.3,281,287,1489.2,-1467.4,-4.4676
0,292,58,58,25.54,25.46,295,297,1491.536,-1476.68,-4.474608
0,292,0,0,0.0,0.0,305,303,0.0,0.0,0.0
0,293,58,59,25.87,25.52,312,317,1510.808,-1505.68,-4.532424
0,293,0,0,0.0,0.0,328,319,0.0,0.0,0.0
0,293,0,0,0.0,0.0,338,331,0.0,0.0,0.0
0,293,0,0,0.0,0.0,347,339,0.0,0.0,0.0
0,293,0,0,0.0,0.0,355,349,0.0,0.0,0.0
0,294,58,59,25.69,25.25,359,367,1505.4340000000002,-1489.75,-4.5163020000000005
0,294,0,0,0.0,0.0,372,369,0.0,0.0,0.0
0,294,58,58,25.08,24.95,383,386,1474.704,-1447.1,-4.424112
0,294,0,0,0.0,0.0,398,392,0.0,0.0,0.0
0,295,58,59,25.2,24.75,399,405,1481.7600000000002,-1460.25,-4.445280000000001
0,295,0,0,0.0,0.0,416,409,0.0,0.0,0.0
0,295,59,59,25.3,25.04,420,426,1492.7,-1477.36,-4.4781
0,295,0,0,0.0,0.0,435,431,0.0,0.0,0.0
0,295,59,59,25.35,25.01,439,448,1495.65,-1475.5900000000001,-4.48695
0,295,59,59,25.5,25.35,449,458,1504.5,-1495.65,-4.5135
0,295,0,0,0.0,0.0,468,460,0.0,0.0,0.0
0,294,59,58,25.05,25.0,469,476,1477.95,-1450.0,-4.43385
0,295,58,59,25.14,24.9,484,488,1478.232,-1469.1,-4.434696
0,295,0,0,0.0,0.0,498,490,0.0,0.0,0.0
0,295,59,59,25.25,25.0,503,507,1489.75,-1475.0,-4.469250000000001
0,296,59,60,25.92,25.07,509,516,1529.2800000000002,-1504.2,-4.587840000000001
0,296,0,0,0.0,0.0,523,519,0.0,0.0,0.0
