,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,991,0,991,0.0,7.06,0,0,7000.0,7000.0,21.0
0,993,198,200,7.12,7.03,60,66,1411.1840000000002,-1406.0,-4.233552
0,995,198,200,7.1,7.0,70,71,1410.06,-1400.0,-4.23018
0,999,199,203,7.2,7.01,79,87,1432.8000000000002,-1423.03,-4.2984
0,999,0,0,0.0,0.0,97,90,0.0,0.0,0.0
0,999,0,0,0.0,0.0,107,101,0.0,0.0,0.0
0,1005,199,205,7.15,6.92,116,118,1428.5700000000002,-1418.6,-4.285710000000001
0,1007,201,203,7.12,7.0,119,120,1431.1200000000001,-1421.0,-4.29336
0,1011,201,205,7.27,7.11,129,138,1464.1779999999999,-1457.55,-4.3925339999999995
0,1013,202,204,7.19,7.1,142,146,1453.8180000000002,-1448.3999999999999,-4.361454000000001
0,1014,202,203,7.15,7.1,150,156,1448.5900000000001,-1441.3,-4.345770000000001
0,1016,202,204,7.18,7.11,161,168,1456.104,-1450.44,-4.368312
0,1018,203,205,7.25,7.14,171,175,1473.2,-1463.7,-4.4196
0,1019,203,204,7.3,7.25,180,184,1486.28,-1479.0,-4.4588399999999995
0,1024,203,208,7.5,7.31,189,196,1528.5,-1520.48,-4.585500000000001
0,1026,204,206,7.7,7.6,199,207,1576.96,-1565.6,-4.73088
0,1026,0,0,0.0,0.0,217,215,0.0,0.0,0.0
0,1026,0,0,0.0,0.0,228,227,0.0,0.0,0.0
0,1026,0,0,0.0,0.0,234,229,0.0,0.0,0.0
0,1026,0,0,0.0,0.0,248,242,0.0,0.0,0.0
0,1026,0,0,0.0,0.0,257,249,0.0,0.0,0.0
0,1029,205,208,7.7,7.55,259,264,1580.04,-1570.3999999999999,-4.740119999999999
0,1033,205,209,7.67,7.5,269,278,1578.486,-1567.5,-4.735458
0,1041,206,214,7.95,7.65,285,288,1642.4700000000003,-1637.1000000000001,-4.927410000000001
0,1041,0,0,0.0,0.0,292,289,0.0,0.0,0.0
0,1043,208,210,8.04,7.94,302,307,1673.9279999999999,-1667.4,-5.021783999999999
0,1047,208,212,8.19,8.0,309,316,1708.4340000000002,-1696.0,-5.1253020000000005
0,1047,0,0,0.0,0.0,326,319,0.0,0.0,0.0
0,1047,0,0,0.0,0.0,338,334,0.0,0.0,0.0
0,1047,0,0,0.0,0.0,346,342,0.0,0.0,0.0
0,1047,0,0,0.0,0.0,358,350,0.0,0.0,0.0
0,1050,209,212,7.95,7.8,359,368,1664.73,-1653.6,-4.99419
0,1052,210,212,7.95,7.82,369,371,1669.5,-1657.8400000000001,-5.0085
0,1055,210,213,8.0,7.85,380,386,1683.2,-1672.05,-5.0496
0,1055,0,0,0.0,0.0,397,389,0.0,0.0,0.0
0,1055,0,0,0.0,0.0,405,400,0.0,0.0,0.0
0,1055,0,0,0.0,0.0,418,411,0.0,0.0,0.0
0,1055,0,0,0.0,0.0,426,421,0.0,0.0,0.0
0,1055,0,0,0.0,0.0,431,429,0.0,0.0,0.0
0,1055,0,0,0.0,0.0,448,441,0.0,0.0,0.0
0,1055,0,0,0.0,0.0,458,449,0.0,0.0,0.0
0,1061,211,217,7.6,7.35,459,466,1603.6000000000001,-1594.9499999999998,-4.8108
0,1061,0,0,0.0,0.0,478,469,0.0,0.0,0.0
0,1061,0,0,0.0,0.0,486,479,0.0,0.0,0.0
0,1063,212,214,7.6,7.48,490,495,1612.72,-1600.72,-4.83816
0,1063,0,0,0.0,0.0,505,499,0.0,0.0,0.0
0,1063,0,0,0.0,0.0,515,509,0.0,0.0,0.0
0,1067,212,216,7.27,7.11,520,523,1545.6019999999999,-1535.76,-4.636805999999999
0,1067,0,0,0.0,0.0,532,531,0.0,0.0,0.0
0,1067,0,0,0.0,0.0,545,543,0.0,0.0,0.0
0,1067,0,0,0.0,0.0,556,550,0.0,0.0,0.0
0,1067,0,0,0.0,0.0,567,562,0.0,0.0,0.0
0,1072,213,218,6.99,6.81,571,577,1491.6660000000002,-1484.58,-4.474998
0,1076,214,218,7.15,7.0,579,587,1532.96,-1526.0,-4.59888
0,1076,0,0,0.0,0.0,594,590,0.0,0.0,0.0
0,1076,0,0,0.0,0.0,607,599,0.0,0.0,0.0
0,1085,215,224,7.13,6.8,610,616,1534.3760000000002,-1523.2,-4.603128000000001
0,1087,217,219,7.12,7.01,626,628,1545.04,-1535.19,-4.63512
0,1087,0,0,0.0,0.0,633,630,0.0,0.0,0.0
0,1090,217,220,7.13,7.0,640,647,1550.062,-1540.0,-4.650186
0,1096,218,224,7.24,7.02,650,658,1578.3200000000002,-1572.48,-4.73496
0,1100,219,223,7.35,7.2,665,668,1611.12,-1605.6000000000001,-4.83336
0,1109,220,229,7.7,7.35,671,676,1694.0,-1683.1499999999999,-5.082
0,1109,0,0,0.0,0.0,685,682,0.0,0.0,0.0
0,1109,0,0,0.0,0.0,690,689,0.0,0.0,0.0
0,1111,221,223,7.58,7.5,699,708,1681.244,-1672.5,-5.043731999999999
0,1111,222,222,7.64,7.59,709,715,1697.608,-1684.98,-5.092823999999999
0,1111,0,0,0.0,0.0,725,724,0.0,0.0,0.0
0,1112,222,223,7.57,7.5,732,735,1682.054,-1672.5,-5.046162
0,1113,222,223,7.6,7.53,743,746,1690.2399999999998,-1679.19,-5.070719999999999
0,1113,0,0,0.0,0.0,758,749,0.0,0.0,0.0
0,1113,0,0,0.0,0.0,767,761,0.0,0.0,0.0
0,1113,0,0,0.0,0.0,776,770,0.0,0.0,0.0
0,1117,222,226,7.3,7.15,779,788,1624.98,-1615.9,-4.87494
0,1117,0,0,0.0,0.0,797,789,0.0,0.0,0.0
0,1117,0,0,0.0,0.0,805,803,0.0,0.0,0.0
0,1119,223,225,6.82,6.75,813,816,1523.5880000000002,-1518.75,-4.5707640000000005
0,1128,223,232,7.1,6.8,819,826,1588.98,-1577.6,-4.76694
0,1128,0,0,0.0,0.0,832,829,0.0,0.0,0.0
0,1128,0,0,0.0,0.0,846,839,0.0,0.0,0.0
0,1141,225,238,7.2,6.78,851,854,1624.3200000000002,-1613.64,-4.872960000000001
0,1141,0,0,0.0,0.0,868,859,0.0,0.0,0.0
0,1141,0,0,0.0,0.0,878,874,0.0,0.0,0.0
0,1144,228,231,7.02,6.9,879,887,1601.964,-1593.9,-4.805891999999999
0,1144,0,0,0.0,0.0,898,889,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,906,901,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,915,909,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,928,920,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,937,929,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,944,939,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,955,950,0.0,0.0,0.0
0,1144,0,0,0.0,0.0,963,962,0.0,0.0,0.0
0,1154,228,238,7.0,6.7,969,973,1601.6000000000001,-1594.6000000000001,-4.8048
0,1162,230,238,7.0,6.75,979,981,1615.6000000000001,-1606.5,-4.8468
0,1162,0,0,0.0,0.0,995,990,0.0,0.0,0.0
0,1164,232,234,7.0,6.91,1005,1006,1626.8000000000002,-1616.94,-4.880400000000001
0,1172,232,240,7.25,6.99,1009,1018,1687.8000000000002,-1677.6000000000001,-5.063400000000001
0,1173,234,235,7.3,7.24,1020,1021,1711.1200000000001,-1701.4,-5.133360000000001
0,1174,234,235,7.35,7.29,1031,1037,1724.31,-1713.15,-5.17293
0,1175,234,235,7.35,7.32,1040,1042,1725.78,-1720.2,-5.177339999999999
0,1175,0,0,0.0,0.0,1058,1056,0.0,0.0,0.0
0,1175,0,0,0.0,0.0,1062,1059,0.0,0.0,0.0
0,1175,0,0,0.0,0.0,1078,1069,0.0,0.0,0.0
0,1175,0,0,0.0,0.0,1086,1081,0.0,0.0,0.0
0,1186,235,246,7.5,7.12,1089,1098,1762.5,-1751.52,-5.2875000000000005
0,1191,237,242,7.68,7.5,1099,1108,1821.696,-1815.0,-5.465088
0,1191,0,0,0.0,0.0,1110,1109,0.0,0.0,0.0
0,1198,238,245,7.59,7.35,1123,1128,1807.938,-1800.75,-5.423814
0,1198,0,0,0.0,0.0,1137,1133,0.0,0.0,0.0
0,1207,239,248,7.85,7.56,1139,1148,1880.86,-1874.8799999999999,-5.64258
0,1207,0,0,0.0,0.0,1156,1149,0.0,0.0,0.0
0,1207,0,0,0.0,0.0,1168,1159,0.0,0.0,0.0
0,1216,241,250,7.82,7.5,1169,1172,1887.748,-1875.0,-5.663244
0,1217,243,244,7.89,7.82,1179,1185,1918.848,-1908.0800000000002,-5.756544
0,1216,243,242,7.9,7.89,1189,1190,1922.8600000000004,-1909.3799999999999,-5.768580000000001
0,1216,0,0,0.0,0.0,1199,1199,0.0,0.0,0.0
0,1216,0,0,0.0,0.0,1218,1209,0.0,0.0,0.0
0,1216,0,0,0.0,0.0,1226,1219,0.0,0.0,0.0
0,1221,243,248,7.68,7.5,1229,1232,1867.7759999999998,-1860.0,-5.603327999999999
0,1227,244,250,7.7,7.48,1239,1247,1880.3400000000001,-1870.0,-5.64102
0,1231,245,249,7.68,7.54,1250,1256,1884.6719999999998,-1877.46,-5.6540159999999995
0,1238,246,253,7.86,7.61,1259,1267,1935.132,-1925.3300000000002,-5.805396
0,1238,0,0,0.0,0.0,1278,1271,0.0,0.0,0.0
0,1238,0,0,0.0,0.0,1286,1284,0.0,0.0,0.0
0,1238,0,0,0.0,0.0,1298,1289,0.0,0.0,0.0
