,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,129,0,129,0.0,54.0,0,0,7000.0,7000.0,21.0
0,130,25,26,54.44,53.55,60,63,1404.552,-1392.3,-4.213655999999999
0,131,26,27,56.99,54.19,70,77,1481.74,-1463.1299999999999,-4.44522
0,131,26,26,57.16,56.51,86,87,1497.5919999999999,-1469.26,-4.492775999999999
0,131,0,0,0.0,0.0,91,89,0.0,0.0,0.0
0,131,0,0,0.0,0.0,99,99,0.0,0.0,0.0
0,131,26,26,59.0,57.16,109,114,1545.8000000000002,-1486.1599999999999,-4.6374
0,131,26,26,60.01,59.0,119,123,1572.262,-1534.0,-4.716786
0,131,26,26,60.01,60.0,129,131,1572.262,-1560.0,-4.716786
0,131,0,0,0.0,0.0,146,139,0.0,0.0,0.0
0,131,0,0,0.0,0.0,156,149,0.0,0.0,0.0
0,131,26,26,59.7,59.01,159,168,1564.1400000000003,-1534.26,-4.692420000000001
0,131,26,26,60.01,59.8,171,176,1572.262,-1554.8,-4.716786
0,131,26,26,60.01,60.0,179,180,1572.262,-1560.0,-4.716786
0,132,26,27,62.9,60.0,192,197,1647.98,-1620.0,-4.9439400000000004
0,132,0,0,0.0,0.0,201,199,0.0,0.0,0.0
0,132,0,0,0.0,0.0,210,209,0.0,0.0,0.0
0,132,0,0,0.0,0.0,228,222,0.0,0.0,0.0
0,132,0,0,0.0,0.0,234,232,0.0,0.0,0.0
0,132,0,0,0.0,0.0,240,239,0.0,0.0,0.0
0,132,26,26,62.4,62.21,255,258,1647.36,-1617.46,-4.94208
0,132,0,0,0.0,0.0,263,259,0.0,0.0,0.0
0,132,26,26,62.4,62.15,269,271,1647.36,-1615.8999999999999,-4.94208
0,132,0,0,0.0,0.0,287,279,0.0,0.0,0.0
0,132,26,26,62.4,62.03,291,297,1647.36,-1612.78,-4.94208
0,132,0,0,0.0,0.0,307,300,0.0,0.0,0.0
0,132,26,26,61.99,61.75,309,311,1636.536,-1605.5,-4.909608
0,132,0,0,0.0,0.0,324,319,0.0,0.0,0.0
0,132,0,0,0.0,0.0,336,334,0.0,0.0,0.0
0,132,26,26,61.74,61.0,340,348,1629.9360000000001,-1586.0,-4.889808
0,132,26,26,61.69,61.49,349,356,1628.616,-1598.74,-4.885848
0,132,0,0,0.0,0.0,368,367,0.0,0.0,0.0
