,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,48,0,48,0.0,143.95,0,0,7000.0,7000.0,21.0
0,48,9,9,144.37,143.7,60,68,1385.9520000000002,-1293.3,-4.157856000000001
0,48,0,0,0.0,0.0,78,71,0.0,0.0,0.0
0,48,0,0,0.0,0.0,87,85,0.0,0.0,0.0
0,48,0,0,0.0,0.0,96,91,0.0,0.0,0.0
0,48,9,9,142.5,142.1,102,104,1368.0,-1278.8999999999999,-4.104
0,48,0,0,0.0,0.0,115,109,0.0,0.0,0.0
0,48,9,9,142.0,140.5,120,121,1363.2,-1264.5,-4.0896
0,48,9,9,144.0,141.0,130,138,1382.4,-1269.0,-4.147200000000001
0,48,9,9,144.5,143.81,144,148,1387.2,-1294.29,-4.1616
0,48,0,0,0.0,0.0,153,150,0.0,0.0,0.0
0,48,9,9,145.0,144.49,159,164,1392.0,-1300.41,-4.176
0,48,9,9,145.55,145.0,169,178,1397.2800000000002,-1305.0,-4.19184
0,48,9,9,145.94,145.5,180,188,1401.0240000000001,-1309.5,-4.203072000000001
0,48,0,0,0.0,0.0,198,195,0.0,0.0,0.0
0,48,9,9,145.7,144.9,199,206,1398.72,-1304.1000000000001,-4.19616
0,48,9,9,145.9,145.55,209,215,1400.6400000000003,-1309.95,-4.20192
0,48,9,9,146.0,145.4,220,228,1401.6000000000001,-1308.6000000000001,-4.2048000000000005
0,48,9,9,146.25,146.0,229,235,1404.0,-1314.0,-4.212
0,48,9,9,146.3,145.75,239,246,1404.4800000000002,-1311.75,-4.21344
0,48,9,9,146.4,146.0,250,252,1405.4400000000003,-1314.0,-4.2163200000000005
0,48,9,9,146.62,146.2,259,268,1407.5520000000001,-1315.8,-4.222656
0,48,0,0,0.0,0.0,278,272,0.0,0.0,0.0
0,48,0,0,0.0,0.0,288,287,0.0,0.0,0.0
0,48,9,9,146.5,146.0,291,297,1406.4,-1314.0,-4.2192
0,48,9,9,147.3,146.55,299,306,1414.0800000000002,-1318.95,-4.242240000000001
0,48,9,9,147.49,147.0,312,317,1415.9040000000002,-1323.0,-4.247712000000001
0,48,0,0,0.0,0.0,325,321,0.0,0.0,0.0
0,48,0,0,0.0,0.0,338,330,0.0,0.0,0.0
0,48,0,0,0.0,0.0,348,341,0.0,0.0,0.0
0,48,0,0,0.0,0.0,357,351,0.0,0.0,0.0
0,48,9,9,144.5,144.0,362,367,1387.2,-1296.0,-4.1616
0,48,0,0,0.0,0.0,377,371,0.0,0.0,0.0
0,48,0,0,0.0,0.0,387,380,0.0,0.0,0.0
0,48,0,0,0.0,0.0,394,389,0.0,0.0,0.0
0,48,0,0,0.0,0.0,408,404,0.0,0.0,0.0
0,48,9,9,144.3,143.9,409,414,1385.2800000000002,-1295.1000000000001,-4.15584
0,48,0,0,0.0,0.0,428,419,0.0,0.0,0.0
0,48,0,0,0.0,0.0,438,431,0.0,0.0,0.0
0,48,0,0,0.0,0.0,447,440,0.0,0.0,0.0
0,48,9,9,142.8,142.1,452,456,1370.88,-1278.8999999999999,-4.11264
0,48,0,0,0.0,0.0,468,459,0.0,0.0,0.0
0,48,9,9,142.1,142.01,474,476,1364.1599999999999,-1278.09,-4.092479999999999
0,48,9,9,142.8,142.07,479,487,1370.88,-1278.6299999999999,-4.11264
0,48,0,0,0.0,0.0,492,490,0.0,0.0,0.0
0,48,9,9,142.98,142.5,503,506,1372.608,-1282.5,-4.117824
0,48,9,9,144.0,142.5,510,514,1382.4,-1282.5,-4.147200000000001
0,48,9,9,144.85,144.02,523,528,1390.56,-1296.18,-4.171679999999999
0,48,9,9,145.1,144.7,531,532,1392.96,-1302.3,-4.1788799999999995
0,48,9,9,145.9,145.24,539,548,1400.6400000000003,-1307.16,-4.20192
0,48,0,0,0.0,0.0,556,549,0.0,0.0,0.0
0,48,0,0,0.0,0.0,566,559,0.0,0.0,0.0
0,48,9,9,146.4,146.0,569,576,1405.4400000000003,-1314.0,-4.2163200000000005
0,48,9,9,146.99,146.4,579,586,1411.1040000000003,-1317.6000000000001,-4.233312000000001
0,48,9,9,147.0,146.99,589,591,1411.2,-1322.91,-4.2336
0,48,9,9,147.5,147.0,599,607,1416.0,-1323.0,-4.248
0,48,9,9,147.5,147.0,610,612,1416.0,-1323.0,-4.248
0,48,9,9,147.75,146.9,619,628,1418.4,-1322.1000000000001,-4.2552
0,48,9,9,148.0,147.99,629,630,1420.8000000000002,-1331.91,-4.2624
0,48,9,9,148.5,148.1,639,642,1425.6000000000001,-1332.8999999999999,-4.276800000000001
0,48,9,9,148.71,148.5,649,657,1427.616,-1336.5,-4.2828479999999995
0,48,9,9,152.0,148.71,659,666,1459.2,-1338.39,-4.3776
0,48,9,9,152.88,151.5,674,676,1467.6480000000001,-1363.5,-4.402944000000001
0,48,9,9,152.2,150.6,682,685,1461.12,-1355.3999999999999,-4.38336
0,48,0,0,0.0,0.0,697,690,0.0,0.0,0.0
0,48,0,0,0.0,0.0,700,699,0.0,0.0,0.0
0,48,9,9,152.3,151.95,715,718,1462.0800000000002,-1367.55,-4.38624
0,48,9,9,152.5,152.3,719,728,1464.0,-1370.7,-4.392
0,48,9,9,152.6,152.5,729,737,1464.96,-1372.5,-4.39488
0,48,0,0,0.0,0.0,742,739,0.0,0.0,0.0
0,48,0,0,0.0,0.0,758,749,0.0,0.0,0.0
0,48,9,9,151.19,150.5,759,767,1451.424,-1354.5,-4.354272
0,48,9,9,152.3,151.0,769,775,1462.0800000000002,-1359.0,-4.38624
0,48,0,0,0.0,0.0,783,780,0.0,0.0,0.0
