,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,1386,0,1386,0.0,5.05,0,0,7000.0,7000.0,21.0
0,1386,0,0,0.0,0.0,63,60,0.0,0.0,0.0
0,1396,277,287,5.25,5.05,69,74,1455.3000000000002,-1449.35,-4.365900000000001
0,1400,279,283,5.25,5.15,84,87,1465.8000000000002,-1457.45,-4.397400000000001
0,1400,280,280,5.27,5.24,93,98,1475.6,-1467.2,-4.426799999999999
0,1400,280,280,5.28,5.25,99,100,1478.4,-1470.0,-4.435200000000001
0,1400,280,280,5.3,5.27,109,117,1484.0,-1475.6,-4.452
0,1400,0,0,0.0,0.0,128,119,0.0,0.0,0.0
0,1405,280,285,5.33,5.22,131,137,1492.4,-1487.6999999999998,-4.477200000000001
0,1409,281,285,5.4,5.3,140,145,1517.4000000000003,-1510.5,-4.552200000000001
0,1409,0,0,0.0,0.0,157,149,0.0,0.0,0.0
0,1413,281,285,5.38,5.3,159,161,1516.084,-1510.5,-4.548252
0,1417,282,286,5.38,5.3,169,175,1520.388,-1515.8,-4.561164
0,1417,0,0,0.0,0.0,186,180,0.0,0.0,0.0
0,1421,283,287,5.39,5.3,190,196,1527.5259999999998,-1521.1,-4.582577999999999
0,1426,284,289,5.49,5.38,200,204,1560.258,-1554.82,-4.680774
0,1426,285,285,5.51,5.49,209,214,1571.452,-1564.65,-4.7143559999999995
0,1426,0,0,0.0,0.0,227,219,0.0,0.0,0.0
0,1426,0,0,0.0,0.0,235,229,0.0,0.0,0.0
0,1429,285,288,5.5,5.42,239,246,1568.6000000000001,-1560.96,-4.705800000000001
0,1429,0,0,0.0,0.0,251,249,0.0,0.0,0.0
0,1429,0,0,0.0,0.0,267,259,0.0,0.0,0.0
0,1429,0,0,0.0,0.0,276,270,0.0,0.0,0.0
0,1429,0,0,0.0,0.0,288,279,0.0,0.0,0.0
0,1429,0,0,0.0,0.0,297,290,0.0,0.0,0.0
0,1435,285,291,5.5,5.37,302,307,1571.9,-1562.67,-4.7157
0,1435,0,0,0.0,0.0,312,309,0.0,0.0,0.0
0,1435,0,0,0.0,0.0,326,320,0.0,0.0,0.0
0,1439,287,291,5.6,5.5,329,335,1607.1999999999998,-1600.5,-4.821599999999999
0,1439,0,0,0.0,0.0,343,342,0.0,0.0,0.0
0,1439,0,0,0.0,0.0,357,349,0.0,0.0,0.0
0,1439,0,0,0.0,0.0,367,363,0.0,0.0,0.0
0,1444,287,292,5.51,5.4,369,376,1585.778,-1576.8000000000002,-4.757333999999999
0,1445,288,289,5.53,5.5,379,388,1597.0640000000003,-1589.5,-4.7911920000000014
0,1446,289,290,5.55,5.5,389,391,1603.95,-1595.0,-4.81185
0,1450,289,293,5.6,5.5,400,407,1619.52,-1611.5,-4.85856
0,1456,290,296,5.75,5.6,409,418,1667.5,-1657.6,-5.0025
0,1457,291,292,5.75,5.7,420,425,1674.4,-1664.4,-5.0232
0,1459,291,293,5.74,5.68,431,435,1672.6360000000002,-1664.24,-5.017908
0,1465,291,297,5.78,5.66,440,448,1686.6040000000003,-1681.02,-5.059812000000001
0,1466,293,294,5.8,5.76,449,456,1699.4,-1693.4399999999998,-5.0982
0,1467,293,294,5.85,5.8,459,462,1715.2200000000003,-1705.2,-5.14566
0,1468,293,294,5.89,5.85,469,471,1728.126,-1719.8999999999999,-5.184378
