,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,405,0,405,0.0,17.25,0,0,7000.0,7000.0,0.0
0,406,81,82,17.65,17.25,59,67,1429.6499999999999,-1414.5,-4.288949999999999
0,408,81,83,18.1,17.6,69,75,1469.7200000000003,-1460.8000000000002,-4.409160000000001
0,409,81,82,18.14,17.99,80,85,1480.2240000000002,-1475.1799999999998,-4.440672
0,409,0,0,0.0,0.0,95,89,0.0,0.0,0.0
0,410,81,82,18.1,18.0,99,107,1480.5800000000002,-1476.0,-4.44174
0,410,82,82,18.15,18.0,112,115,1488.3,-1476.0,-4.464899999999999
0,409,82,81,18.2,18.15,119,120,1492.4,-1470.1499999999999,-4.477200000000001
0,410,81,82,18.2,18.1,136,137,1488.76,-1484.2,-4.46628
0,410,0,0,0.0,0.0,141,140,0.0,0.0,0.0
0,411,82,83,18.49,18.15,150,156,1516.18,-1506.4499999999998,-4.54854
0,412,82,83,18.7,18.4,159,167,1537.14,-1527.1999999999998,-4.61142
0,412,0,0,0.0,0.0,178,170,0.0,0.0,0.0
0,412,82,82,18.55,18.4,181,184,1528.5200000000002,-1508.8,-4.58556
0,414,82,84,18.89,18.3,191,198,1556.536,-1537.2,-4.669608
0,414,0,0,0.0,0.0,201,199,0.0,0.0,0.0
0,415,82,83,18.82,18.71,212,214,1558.2960000000003,-1552.93,-4.674888000000001
0,415,0,0,0.0,0.0,223,219,0.0,0.0,0.0
0,415,83,83,18.7,18.6,229,237,1552.1000000000001,-1543.8000000000002,-4.6563
0,415,83,83,18.9,18.75,239,247,1568.6999999999998,-1556.25,-4.706099999999999
0,415,0,0,0.0,0.0,258,249,0.0,0.0,0.0
0,415,0,0,0.0,0.0,263,259,0.0,0.0,0.0
0,415,0,0,0.0,0.0,276,269,0.0,0.0,0.0
0,415,83,83,18.77,18.52,279,287,1557.91,-1537.1599999999999,-4.67373
0,415,83,83,18.8,18.66,293,297,1560.4,-1548.78,-4.6812000000000005
0,416,83,84,18.89,18.6,303,306,1567.8700000000001,-1562.4,-4.70361
0,417,83,84,19.2,18.8,309,318,1597.44,-1579.2,-4.79232
0,417,0,0,0.0,0.0,319,319,0.0,0.0,0.0
0,417,0,0,0.0,0.0,336,329,0.0,0.0,0.0
0,417,0,0,0.0,0.0,343,339,0.0,0.0,0.0
0,418,83,84,19.38,19.1,352,358,1616.2920000000001,-1604.4,-4.848876000000001
0,418,0,0,0.0,0.0,368,367,0.0,0.0,0.0
0,419,83,84,19.54,19.31,371,377,1633.5439999999999,-1622.04,-4.900632
0,420,83,84,19.69,19.5,384,388,1650.0220000000002,-1638.0,-4.9500660000000005
0,420,84,84,19.7,19.6,391,394,1654.8000000000002,-1646.4,-4.9644
0,420,0,0,0.0,0.0,408,399,0.0,0.0,0.0
0,420,84,84,19.45,19.2,414,417,1633.8000000000002,-1612.8,-4.901400000000001
0,420,0,0,0.0,0.0,428,425,0.0,0.0,0.0
0,420,84,84,19.5,19.35,429,432,1638.0,-1625.4,-4.914
0,420,84,84,19.69,19.47,441,448,1653.9600000000003,-1635.48,-4.961880000000001
0,419,84,83,19.75,19.7,449,453,1659.0,-1635.1,-4.977
0,419,0,0,0.0,0.0,467,459,0.0,0.0,0.0
0,419,83,83,19.79,19.7,475,478,1658.402,-1635.1,-4.975206
0,419,0,0,0.0,0.0,481,479,0.0,0.0,0.0
0,420,83,84,19.83,19.71,491,495,1661.754,-1655.64,-4.985262
0,420,0,0,0.0,0.0,507,502,0.0,0.0,0.0
0,421,84,85,19.89,19.5,512,518,1670.7600000000002,-1657.5,-5.0122800000000005
0,421,84,84,20.12,19.9,519,528,1694.1040000000003,-1671.6,-5.082312000000001
0,421,0,0,0.0,0.0,531,529,0.0,0.0,0.0
0,421,0,0,0.0,0.0,548,539,0.0,0.0,0.0
0,421,84,84,20.04,19.85,550,555,1687.3680000000002,-1667.4,-5.062104000000001
0,421,0,0,0.0,0.0,562,560,0.0,0.0,0.0
0,421,0,0,0.0,0.0,578,575,0.0,0.0,0.0
0,421,0,0,0.0,0.0,581,579,0.0,0.0,0.0
0,421,0,0,0.0,0.0,596,589,0.0,0.0,0.0
0,422,84,85,19.85,19.5,599,606,1671.3700000000001,-1657.5,-5.0141100000000005
0,423,84,85,19.68,19.41,611,617,1660.992,-1649.85,-4.982976
0,425,84,86,20.1,19.6,619,627,1700.4600000000003,-1685.6000000000001,-5.101380000000001
0,425,85,85,19.7,19.6,629,633,1674.5,-1666.0000000000002,-5.023499999999999
0,425,0,0,0.0,0.0,645,640,0.0,0.0,0.0
