,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,94,0,94,0.0,74.0,0,0,7000.0,7000.0,21.0
0,94,18,18,74.4,74.0,59,63,1398.7200000000003,-1332.0,-4.196160000000001
0,94,18,18,74.97,74.11,71,75,1409.4360000000001,-1333.98,-4.228308
0,94,0,0,0.0,0.0,87,79,0.0,0.0,0.0
0,94,0,0,0.0,0.0,95,89,0.0,0.0,0.0
0,94,18,18,74.0,73.61,99,108,1391.2,-1324.98,-4.1736
0,94,0,0,0.0,0.0,117,109,0.0,0.0,0.0
0,94,18,18,74.1,73.7,121,125,1393.08,-1326.6000000000001,-4.17924
0,94,18,18,74.25,73.98,131,134,1395.9,-1331.64,-4.1877
0,94,0,0,0.0,0.0,148,144,0.0,0.0,0.0
0,94,0,0,0.0,0.0,154,149,0.0,0.0,0.0
0,94,18,18,74.34,74.02,159,164,1397.592,-1332.36,-4.192776
0,94,18,18,74.5,74.3,171,176,1400.6000000000001,-1337.3999999999999,-4.2018
0,94,0,0,0.0,0.0,188,186,0.0,0.0,0.0
0,94,0,0,0.0,0.0,196,189,0.0,0.0,0.0
0,94,18,18,74.4,74.28,199,201,1398.7200000000003,-1337.04,-4.196160000000001
0,94,18,18,74.5,74.3,209,215,1400.6000000000001,-1337.3999999999999,-4.2018
0,94,18,18,74.69,74.5,219,228,1404.172,-1341.0,-4.212516
0,94,0,0,0.0,0.0,238,231,0.0,0.0,0.0
0,94,18,18,74.4,74.25,239,241,1398.7200000000003,-1336.5,-4.196160000000001
0,94,0,0,0.0,0.0,258,253,0.0,0.0,0.0
0,94,18,18,74.54,74.0,260,268,1401.352,-1332.0,-4.204056
0,94,18,18,74.75,74.6,269,277,1405.3000000000002,-1342.8,-4.2159
0,94,18,18,74.89,74.8,279,288,1407.932,-1346.3999999999999,-4.223796
0,94,18,18,75.0,74.9,289,294,1410.0,-1348.2,-4.23
0,94,0,0,0.0,0.0,308,306,0.0,0.0,0.0
0,94,0,0,0.0,0.0,318,309,0.0,0.0,0.0
0,94,0,0,0.0,0.0,325,320,0.0,0.0,0.0
0,94,0,0,0.0,0.0,338,330,0.0,0.0,0.0
0,94,18,18,74.25,73.9,342,348,1395.9,-1330.2,-4.1877
0,94,0,0,0.0,0.0,358,349,0.0,0.0,0.0
0,94,18,18,74.0,73.7,361,367,1391.2,-1326.6000000000001,-4.1736
0,94,0,0,0.0,0.0,376,369,0.0,0.0,0.0
0,94,0,0,0.0,0.0,386,381,0.0,0.0,0.0
0,94,0,0,0.0,0.0,394,390,0.0,0.0,0.0
0,94,0,0,0.0,0.0,405,399,0.0,0.0,0.0
0,94,18,18,73.78,73.13,414,416,1387.064,-1316.34,-4.161192000000001
0,94,0,0,0.0,0.0,427,423,0.0,0.0,0.0
0,94,18,18,73.78,73.6,432,436,1387.064,-1324.8,-4.161192000000001
0,94,0,0,0.0,0.0,448,440,0.0,0.0,0.0
0,94,0,0,0.0,0.0,458,457,0.0,0.0,0.0
0,94,18,18,73.7,73.6,459,466,1385.5600000000002,-1324.8,-4.156680000000001
0,94,18,18,73.65,73.51,469,470,1384.6200000000001,-1323.18,-4.15386
0,94,18,18,73.7,73.55,486,488,1385.5600000000002,-1323.8999999999999,-4.156680000000001
0,94,18,18,73.8,73.52,489,495,1387.44,-1323.36,-4.16232
0,94,18,18,73.85,73.62,499,508,1388.38,-1325.16,-4.16514
0,95,18,19,76.0,73.9,509,518,1428.8000000000002,-1404.1000000000001,-4.2864
0,95,19,19,76.95,76.25,519,522,1462.0500000000002,-1448.75,-4.386150000000001
0,94,19,18,76.7,76.5,531,535,1457.3000000000002,-1377.0,-4.371900000000001
0,94,0,0,0.0,0.0,547,539,0.0,0.0,0.0
0,94,0,0,0.0,0.0,554,549,0.0,0.0,0.0
0,94,18,18,76.25,76.0,559,560,1433.5,-1368.0,-4.3005
0,94,18,18,76.3,76.1,570,572,1434.44,-1369.8,-4.30332
0,94,0,0,0.0,0.0,586,579,0.0,0.0,0.0
0,94,0,0,0.0,0.0,596,591,0.0,0.0,0.0
0,94,18,18,76.0,75.76,606,608,1428.8000000000002,-1363.68,-4.2864
0,94,0,0,0.0,0.0,613,609,0.0,0.0,0.0
0,94,18,18,76.39,76.0,619,628,1436.132,-1368.0,-4.308396
0,94,0,0,0.0,0.0,638,634,0.0,0.0,0.0
0,94,0,0,0.0,0.0,646,639,0.0,0.0,0.0
0,94,0,0,0.0,0.0,657,649,0.0,0.0,0.0
0,94,18,18,76.15,75.76,660,668,1431.6200000000001,-1363.68,-4.294860000000001
0,94,18,18,76.3,76.15,669,677,1434.44,-1370.7,-4.30332
0,94,0,0,0.0,0.0,685,682,0.0,0.0,0.0
0,94,0,0,0.0,0.0,698,692,0.0,0.0,0.0
0,94,18,18,75.85,75.71,699,703,1425.98,-1362.78,-4.27794
0,94,18,18,76.09,75.89,709,718,1430.4920000000002,-1366.02,-4.291476000000001
0,94,18,18,76.19,76.08,719,728,1432.372,-1369.44,-4.297116000000001
0,94,18,18,76.25,76.2,729,737,1433.5,-1371.6000000000001,-4.3005
0,94,18,18,76.3,76.24,744,748,1434.44,-1372.32,-4.30332
0,94,0,0,0.0,0.0,749,749,0.0,0.0,0.0
0,94,18,18,76.51,76.2,759,767,1438.3880000000001,-1371.6000000000001,-4.315164
0,94,18,18,76.79,76.3,773,776,1443.652,-1373.3999999999999,-4.330956
0,94,18,18,76.95,76.75,779,787,1446.66,-1381.5,-4.33998
0,94,18,18,77.0,76.8,790,793,1447.6000000000001,-1382.3999999999999,-4.3428
0,94,18,18,76.95,76.61,801,807,1446.66,-1378.98,-4.33998
0,94,18,18,77.2,76.99,809,814,1451.3600000000001,-1385.82,-4.354080000000001
0,94,0,0,0.0,0.0,827,819,0.0,0.0,0.0
0,94,18,18,77.29,76.95,829,838,1453.0520000000001,-1385.1000000000001,-4.3591560000000005
0,94,0,0,0.0,0.0,839,839,0.0,0.0,0.0
0,94,18,18,77.34,77.3,849,853,1453.9920000000002,-1391.3999999999999,-4.361976
0,94,0,0,0.0,0.0,859,859,0.0,0.0,0.0
0,94,0,0,0.0,0.0,875,869,0.0,0.0,0.0
0,94,0,0,0.0,0.0,880,879,0.0,0.0,0.0
0,94,0,0,0.0,0.0,898,889,0.0,0.0,0.0
0,94,18,18,76.85,76.74,904,906,1444.78,-1381.32,-4.33434
0,94,18,18,77.0,76.8,909,916,1447.6000000000001,-1382.3999999999999,-4.3428
0,94,0,0,0.0,0.0,926,919,0.0,0.0,0.0
0,94,18,18,77.2,76.99,929,935,1451.3600000000001,-1385.82,-4.354080000000001
0,94,0,0,0.0,0.0,941,940,0.0,0.0,0.0
0,94,18,18,77.33,77.13,949,956,1453.804,-1388.34,-4.3614120000000005
0,94,18,18,77.34,77.33,959,962,1453.9920000000002,-1391.94,-4.361976
