,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,40,0,40,0.0,173.98,0,0,7000.0,7000.0,21.0
0,40,8,8,175.0,173.76,60,68,1400.0,-1390.08,-4.2
0,40,0,0,0.0,0.0,75,72,0.0,0.0,0.0
0,40,8,8,175.25,174.49,80,86,1402.0,-1395.92,-4.2059999999999995
0,40,0,0,0.0,0.0,98,91,0.0,0.0,0.0
0,40,0,0,0.0,0.0,107,100,0.0,0.0,0.0
0,40,8,8,174.85,173.8,117,118,1398.8000000000002,-1390.4,-4.196400000000001
0,40,0,0,0.0,0.0,128,121,0.0,0.0,0.0
0,40,0,0,0.0,0.0,138,129,0.0,0.0,0.0
0,40,8,8,173.09,172.25,139,147,1384.7200000000003,-1378.0,-4.154160000000001
0,40,0,0,0.0,0.0,156,149,0.0,0.0,0.0
0,40,0,0,0.0,0.0,168,159,0.0,0.0,0.0
0,40,0,0,0.0,0.0,178,169,0.0,0.0,0.0
0,40,8,8,171.0,170.35,179,188,1368.0,-1362.8,-4.104
0,40,0,0,0.0,0.0,194,190,0.0,0.0,0.0
0,40,0,0,0.0,0.0,205,200,0.0,0.0,0.0
0,40,0,0,0.0,0.0,216,209,0.0,0.0,0.0
0,40,8,8,171.0,170.15,220,226,1368.0,-1361.2,-4.104
0,39,8,7,171.25,170.99,229,234,1370.0,-1196.93,-4.11
0,39,7,7,171.5,171.0,239,247,1337.7,-1197.0,-4.0131
0,39,7,7,172.0,170.66,256,258,1341.6000000000001,-1194.62,-4.0248
0,39,7,7,175.0,172.39,259,260,1365.0,-1206.73,-4.095
0,39,7,7,176.25,175.5,269,275,1374.75,-1228.5,-4.12425
0,39,0,0,0.0,0.0,288,287,0.0,0.0,0.0
0,39,7,7,177.0,175.99,290,296,1380.6000000000001,-1231.93,-4.1418
0,39,7,7,177.85,176.99,303,308,1387.23,-1238.93,-4.16169
0,39,7,7,179.6,178.0,309,316,1400.88,-1246.0,-4.202640000000001
0,39,0,0,0.0,0.0,319,319,0.0,0.0,0.0
0,39,0,0,0.0,0.0,338,329,0.0,0.0,0.0
0,39,0,0,0.0,0.0,347,339,0.0,0.0,0.0
0,39,0,0,0.0,0.0,354,349,0.0,0.0,0.0
0,39,7,7,178.55,177.51,364,368,1392.6900000000003,-1242.57,-4.178070000000001
0,39,7,7,179.0,178.5,369,374,1396.2,-1249.5,-4.1886
0,39,0,0,0.0,0.0,387,380,0.0,0.0,0.0
0,39,7,7,178.7,178.39,390,393,1393.86,-1248.73,-4.181579999999999
0,39,0,0,0.0,0.0,407,401,0.0,0.0,0.0
0,39,0,0,0.0,0.0,418,409,0.0,0.0,0.0
0,39,7,7,177.9,177.12,422,426,1387.6200000000001,-1239.8400000000001,-4.16286
0,39,7,7,178.0,177.1,433,436,1388.4,-1239.7,-4.1652000000000005
0,39,7,7,178.74,177.98,439,448,1394.1720000000003,-1245.86,-4.182516000000001
0,39,7,7,179.19,178.5,451,458,1397.682,-1249.5,-4.193046
0,39,7,7,179.6,179.06,460,465,1400.88,-1253.42,-4.202640000000001
0,39,0,0,0.0,0.0,475,469,0.0,0.0,0.0
0,39,0,0,0.0,0.0,479,479,0.0,0.0,0.0
0,39,0,0,0.0,0.0,498,489,0.0,0.0,0.0
0,39,0,0,0.0,0.0,508,502,0.0,0.0,0.0
0,39,7,7,182.8,178.5,509,513,1425.8400000000001,-1249.5,-4.27752
0,39,7,7,182.5,181.26,519,528,1423.5,-1268.82,-4.2705
0,39,0,0,0.0,0.0,533,529,0.0,0.0,0.0
0,39,0,0,0.0,0.0,546,541,0.0,0.0,0.0
0,39,0,0,0.0,0.0,553,549,0.0,0.0,0.0
0,39,7,7,182.5,182.0,559,566,1423.5,-1274.0,-4.2705
0,39,0,0,0.0,0.0,578,572,0.0,0.0,0.0
0,39,0,0,0.0,0.0,584,579,0.0,0.0,0.0
0,39,7,7,182.0,181.89,589,596,1419.6000000000001,-1273.23,-4.258800000000001
0,39,0,0,0.0,0.0,607,602,0.0,0.0,0.0
0,39,0,0,0.0,0.0,611,609,0.0,0.0,0.0
0,39,7,7,181.6,181.0,622,628,1416.48,-1267.0,-4.24944
0,39,7,7,182.0,181.6,629,631,1419.6000000000001,-1271.2,-4.258800000000001
0,39,7,7,182.2,181.9,639,648,1421.1599999999999,-1273.3,-4.2634799999999995
0,39,0,0,0.0,0.0,654,652,0.0,0.0,0.0
0,39,7,7,183.4,182.21,661,668,1430.5200000000002,-1275.47,-4.2915600000000005
0,39,7,7,184.45,183.3,670,678,1438.71,-1283.1000000000001,-4.31613
0,39,0,0,0.0,0.0,684,683,0.0,0.0,0.0
0,39,7,7,186.0,184.52,690,697,1450.8000000000002,-1291.64,-4.352400000000001
0,39,7,7,186.4,186.0,699,706,1453.92,-1302.0,-4.36176
0,39,0,0,0.0,0.0,718,712,0.0,0.0,0.0
0,39,7,7,186.35,185.99,719,723,1453.53,-1301.93,-4.36059
0,39,7,7,186.19,186.0,732,737,1452.2820000000002,-1302.0,-4.356846000000001
0,39,0,0,0.0,0.0,745,743,0.0,0.0,0.0
0,39,7,7,186.1,185.5,757,758,1451.58,-1298.5,-4.35474
0,39,0,0,0.0,0.0,768,760,0.0,0.0,0.0
0,39,0,0,0.0,0.0,778,770,0.0,0.0,0.0
0,39,7,7,184.45,182.0,780,788,1438.71,-1274.0,-4.31613
0,39,0,0,0.0,0.0,797,790,0.0,0.0,0.0
