,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,35,0,35,0.0,199.73,0,0,7000.0,7000.0,21.0
0,35,0,0,0.0,0.0,68,61,0.0,0.0,0.0
0,35,0,0,0.0,0.0,78,74,0.0,0.0,0.0
0,35,0,0,0.0,0.0,87,79,0.0,0.0,0.0
0,35,0,0,0.0,0.0,95,89,0.0,0.0,0.0
0,35,7,7,194.9,194.0,99,108,1364.3000000000002,-1358.0,-4.0929
0,35,7,7,196.0,194.7,109,118,1372.0,-1362.8999999999999,-4.116
0,35,0,0,0.0,0.0,126,123,0.0,0.0,0.0
0,35,0,0,0.0,0.0,137,131,0.0,0.0,0.0
0,35,0,0,0.0,0.0,145,139,0.0,0.0,0.0
0,35,7,7,191.49,190.5,149,155,1340.4300000000003,-1333.5,-4.0212900000000005
0,35,0,0,0.0,0.0,163,161,0.0,0.0,0.0
0,35,7,7,193.4,191.4,169,176,1353.8000000000002,-1339.8,-4.061400000000001
0,35,7,7,192.9,192.0,180,188,1350.3000000000002,-1344.0,-4.0509
0,35,7,7,194.99,190.1,197,198,1364.9300000000003,-1330.7,-4.0947900000000015
0,35,7,7,196.8,196.0,199,200,1377.6000000000001,-1372.0,-4.1328000000000005
0,35,7,7,197.0,196.0,209,216,1379.0,-1372.0,-4.137
0,35,0,0,0.0,0.0,227,225,0.0,0.0,0.0
0,35,7,7,197.98,196.75,232,238,1385.86,-1377.25,-4.15758
0,35,7,7,199.0,197.0,240,247,1393.0,-1379.0,-4.179
0,35,0,0,0.0,0.0,258,250,0.0,0.0,0.0
0,35,7,7,197.3,195.5,263,265,1381.1000000000001,-1368.5,-4.143300000000001
0,35,7,7,196.98,195.5,270,276,1378.86,-1368.5,-4.1365799999999995
0,34,7,6,196.5,196.0,279,286,1375.5,-1176.0,-4.1265
0,34,6,6,196.25,195.4,291,298,1334.5,-1172.4,-4.0035
0,34,6,6,196.9,196.0,299,308,1338.92,-1176.0,-4.01676
0,34,0,0,0.0,0.0,317,310,0.0,0.0,0.0
0,34,0,0,0.0,0.0,322,320,0.0,0.0,0.0
0,34,6,6,196.99,195.0,331,337,1339.5320000000002,-1170.0,-4.0185960000000005
0,34,0,0,0.0,0.0,348,342,0.0,0.0,0.0
0,34,0,0,0.0,0.0,357,352,0.0,0.0,0.0
0,34,6,6,196.3,195.45,359,368,1334.8400000000001,-1172.6999999999998,-4.00452
0,34,6,6,196.25,195.01,372,377,1334.5,-1170.06,-4.0035
0,34,0,0,0.0,0.0,385,380,0.0,0.0,0.0
0,34,6,6,196.8,196.0,389,398,1338.2400000000002,-1176.0,-4.0147200000000005
0,34,0,0,0.0,0.0,404,402,0.0,0.0,0.0
0,34,0,0,0.0,0.0,414,409,0.0,0.0,0.0
0,34,6,6,196.6,196.0,424,428,1336.88,-1176.0,-4.01064
0,34,6,6,197.1,196.2,430,433,1340.28,-1177.1999999999998,-4.02084
0,34,6,6,197.5,196.9,439,447,1343.0,-1181.4,-4.029
0,34,0,0,0.0,0.0,457,454,0.0,0.0,0.0
0,34,6,6,198.0,197.59,460,461,1346.4,-1185.54,-4.0392
0,34,0,0,0.0,0.0,476,469,0.0,0.0,0.0
0,34,0,0,0.0,0.0,488,481,0.0,0.0,0.0
0,34,0,0,0.0,0.0,495,491,0.0,0.0,0.0
0,34,0,0,0.0,0.0,508,499,0.0,0.0,0.0
0,34,6,6,199.0,197.0,509,518,1353.2,-1182.0,-4.0596
0,34,6,6,199.47,198.8,521,526,1356.396,-1192.8000000000002,-4.069188
0,34,6,6,200.0,198.99,532,538,1360.0,-1193.94,-4.08
0,34,6,6,200.5,200.0,539,544,1363.4,-1200.0,-4.0902
0,34,0,0,0.0,0.0,556,549,0.0,0.0,0.0
0,34,6,6,200.99,200.15,559,566,1366.732,-1200.9,-4.1001959999999995
0,34,6,6,201.51,201.0,569,573,1370.268,-1206.0,-4.110804
0,34,6,6,202.0,201.8,579,582,1373.6000000000001,-1210.8000000000002,-4.120800000000001
0,34,0,0,0.0,0.0,594,589,0.0,0.0,0.0
0,34,0,0,0.0,0.0,607,599,0.0,0.0,0.0
0,34,6,6,201.9,200.75,610,616,1372.92,-1204.5,-4.11876
0,34,0,0,0.0,0.0,628,619,0.0,0.0,0.0
0,34,6,6,201.0,200.0,629,636,1366.8000000000002,-1200.0,-4.1004000000000005
0,34,0,0,0.0,0.0,642,639,0.0,0.0,0.0
0,34,6,6,200.84,199.76,650,655,1365.7120000000002,-1198.56,-4.097136000000001
0,34,6,6,200.99,199.55,665,668,1366.732,-1197.3000000000002,-4.1001959999999995
0,34,6,6,202.9,200.75,669,675,1379.7200000000003,-1204.5,-4.13916
0,34,6,6,204.65,202.8,679,686,1391.6200000000001,-1216.8000000000002,-4.174860000000001
0,34,6,6,205.0,204.1,692,697,1394.0,-1224.6,-4.182
0,34,0,0,0.0,0.0,699,699,0.0,0.0,0.0
0,34,6,6,205.44,205.0,709,718,1396.9920000000002,-1230.0,-4.190976000000001
0,34,6,6,205.5,205.45,719,722,1397.4,-1232.6999999999998,-4.192200000000001
0,34,6,6,205.8,205.66,729,734,1399.4400000000003,-1233.96,-4.198320000000001
0,34,6,6,205.9,205.8,739,742,1400.1200000000001,-1234.8000000000002,-4.20036
0,34,0,0,0.0,0.0,758,757,0.0,0.0,0.0
0,34,0,0,0.0,0.0,764,759,0.0,0.0,0.0
0,34,6,6,204.44,203.02,773,778,1390.192,-1218.1200000000001,-4.170576
0,34,0,0,0.0,0.0,787,782,0.0,0.0,0.0
0,34,0,0,0.0,0.0,798,792,0.0,0.0,0.0
0,34,0,0,0.0,0.0,807,801,0.0,0.0,0.0
0,34,0,0,0.0,0.0,818,809,0.0,0.0,0.0
0,34,0,0,0.0,0.0,825,819,0.0,0.0,0.0
0,34,0,0,0.0,0.0,832,829,0.0,0.0,0.0
0,34,6,6,199.69,199.0,839,845,1357.892,-1194.0,-4.073676
0,34,0,0,0.0,0.0,854,849,0.0,0.0,0.0
0,34,6,6,199.8,198.1,859,866,1358.6400000000003,-1188.6,-4.075920000000001
0,34,0,0,0.0,0.0,875,870,0.0,0.0,0.0
0,34,0,0,0.0,0.0,885,879,0.0,0.0,0.0
0,34,6,6,198.4,197.3,889,897,1349.1200000000001,-1183.8000000000002,-4.04736
0,34,6,6,199.97,198.9,903,908,1359.796,-1193.4,-4.079388
0,34,0,0,0.0,0.0,915,909,0.0,0.0,0.0
0,34,6,6,200.0,199.45,919,927,1360.0,-1196.6999999999998,-4.08
0,34,6,6,201.0,200.0,929,934,1366.8000000000002,-1200.0,-4.1004000000000005
0,34,0,0,0.0,0.0,948,939,0.0,0.0,0.0
0,34,0,0,0.0,0.0,956,955,0.0,0.0,0.0
0,34,6,6,200.08,200.0,959,962,1360.544,-1200.0,-4.081632
0,34,0,0,0.0,0.0,978,972,0.0,0.0,0.0
0,34,6,6,199.99,198.5,979,988,1359.932,-1191.0,-4.079796
0,34,6,6,200.0,199.15,989,996,1360.0,-1194.9,-4.08
0,34,0,0,0.0,0.0,1008,1001,0.0,0.0,0.0
0,34,6,6,201.0,199.05,1012,1016,1366.8000000000002,-1194.3000000000002,-4.1004000000000005
0,34,6,6,201.9,201.1,1019,1026,1372.92,-1206.6,-4.11876
0,34,6,6,202.1,201.85,1032,1035,1374.28,-1211.1,-4.12284
0,34,6,6,202.5,202.0,1039,1046,1377.0,-1212.0,-4.130999999999999
0,34,6,6,202.99,202.5,1049,1057,1380.332,-1215.0,-4.140996
0,34,0,0,0.0,0.0,1068,1059,0.0,0.0,0.0
0,34,6,6,203.0,202.05,1077,1078,1380.4,-1212.3000000000002,-4.1412
0,34,6,6,203.7,202.2,1080,1085,1385.1599999999999,-1213.1999999999998,-4.15548
0,34,0,0,0.0,0.0,1091,1089,0.0,0.0,0.0
0,34,0,0,0.0,0.0,1107,1103,0.0,0.0,0.0
0,34,6,6,201.5,199.51,1109,1116,1370.2,-1197.06,-4.1106
0,34,0,0,0.0,0.0,1123,1119,0.0,0.0,0.0
0,34,6,6,202.0,200.6,1131,1135,1373.6000000000001,-1203.6,-4.120800000000001
0,34,6,6,203.0,201.49,1139,1147,1380.4,-1208.94,-4.1412
0,34,0,0,0.0,0.0,1156,1150,0.0,0.0,0.0
0,34,0,0,0.0,0.0,1168,1162,0.0,0.0,0.0
