,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,141,0,141,0.0,49.5,0,0,7000.0,7000.0,21.0
0,142,28,29,52.5,49.5,59,66,1480.5,-1435.5,-4.4415
0,142,0,0,0.0,0.0,76,70,0.0,0.0,0.0
0,143,28,29,52.2,50.0,79,87,1482.4800000000002,-1450.0,-4.447440000000001
0,143,0,0,0.0,0.0,94,90,0.0,0.0,0.0
0,143,0,0,0.0,0.0,102,101,0.0,0.0,0.0
0,143,28,28,51.58,50.75,115,116,1475.188,-1421.0,-4.4255640000000005
0,144,28,29,54.0,51.5,122,126,1544.4,-1493.5,-4.6332
0,147,28,31,57.15,52.0,134,138,1645.92,-1612.0,-4.93776
0,147,0,0,0.0,0.0,145,142,0.0,0.0,0.0
0,147,0,0,0.0,0.0,154,153,0.0,0.0,0.0
0,148,29,30,60.49,59.0,159,168,1778.4060000000002,-1770.0,-5.335218
0,149,29,30,62.0,60.01,172,178,1835.2,-1800.3,-5.505599999999999
0,150,29,30,64.99,63.0,179,188,1936.7019999999998,-1890.0,-5.810105999999999
0,152,30,32,69.25,63.01,192,198,2077.5,-2016.32,-6.2325
0,152,0,0,0.0,0.0,206,199,0.0,0.0,0.0
0,152,0,0,0.0,0.0,215,211,0.0,0.0,0.0
0,152,0,0,0.0,0.0,228,220,0.0,0.0,0.0
0,153,30,31,71.79,70.0,229,236,2182.4160000000006,-2170.0,-6.547248000000002
0,154,30,31,71.75,70.51,239,241,2195.55,-2185.81,-6.586650000000001
0,154,0,0,0.0,0.0,258,250,0.0,0.0,0.0
0,154,0,0,0.0,0.0,267,262,0.0,0.0,0.0
0,155,30,31,68.0,66.5,271,276,2094.4,-2061.5,-6.283200000000001
0,155,31,31,69.0,68.0,282,287,2139.0,-2108.0,-6.417
0,155,0,0,0.0,0.0,297,291,0.0,0.0,0.0
0,156,31,32,70.0,67.01,302,304,2170.0,-2144.32,-6.51
0,156,0,0,0.0,0.0,318,311,0.0,0.0,0.0
0,158,31,33,72.33,68.0,319,327,2256.696,-2244.0,-6.770087999999999
0,158,0,0,0.0,0.0,334,329,0.0,0.0,0.0
0,159,31,32,71.8,70.25,339,348,2268.88,-2248.0,-6.80664
0,159,0,0,0.0,0.0,357,353,0.0,0.0,0.0
0,160,31,32,71.7,71.0,363,368,2280.0600000000004,-2272.0,-6.840180000000002
0,160,32,32,72.0,71.5,374,378,2304.0,-2288.0,-6.911999999999999
0,160,32,32,72.33,71.52,379,388,2314.56,-2288.64,-6.94368
0,160,0,0,0.0,0.0,389,389,0.0,0.0,0.0
0,160,32,32,73.1,72.0,400,406,2339.2000000000003,-2304.0,-7.017600000000002
0,160,32,32,73.99,72.35,411,418,2367.68,-2315.2,-7.10304
0,160,32,32,74.4,73.85,421,427,2380.8,-2363.2,-7.1424
0,160,32,32,74.43,74.0,430,438,2381.76,-2368.0,-7.1452800000000005
0,160,0,0,0.0,0.0,443,440,0.0,0.0,0.0
0,160,0,0,0.0,0.0,456,454,0.0,0.0,0.0
0,160,32,32,75.49,74.65,459,462,2415.68,-2388.8,-7.247039999999999
0,160,32,32,75.02,74.5,469,475,2400.64,-2384.0,-7.201919999999999
0,160,32,32,75.4,74.9,487,488,2412.8,-2396.8,-7.2384
0,160,0,0,0.0,0.0,494,489,0.0,0.0,0.0
0,160,0,0,0.0,0.0,508,501,0.0,0.0,0.0
0,160,32,32,74.0,72.1,509,514,2368.0,-2307.2,-7.104
0,160,0,0,0.0,0.0,528,519,0.0,0.0,0.0
0,160,0,0,0.0,0.0,538,533,0.0,0.0,0.0
0,160,0,0,0.0,0.0,540,539,0.0,0.0,0.0
0,160,32,32,72.4,71.0,549,554,2316.8,-2272.0,-6.950400000000001
0,160,32,32,72.25,72.0,559,564,2312.0,-2304.0,-6.936
0,160,32,32,72.49,72.0,569,578,2319.68,-2304.0,-6.959039999999999
0,160,0,0,0.0,0.0,585,579,0.0,0.0,0.0
0,160,32,32,72.75,72.35,589,596,2328.0,-2315.2,-6.984
0,160,32,32,72.74,72.3,604,608,2327.68,-2313.6,-6.98304
0,160,0,0,0.0,0.0,618,611,0.0,0.0,0.0
0,160,32,32,73.8,73.0,619,622,2361.6,-2336.0,-7.0847999999999995
0,160,0,0,0.0,0.0,632,629,0.0,0.0,0.0
0,160,32,32,73.8,73.0,640,645,2361.6,-2336.0,-7.0847999999999995
0,160,32,32,73.48,73.0,649,654,2351.36,-2336.0,-7.05408
0,160,0,0,0.0,0.0,667,659,0.0,0.0,0.0
0,160,0,0,0.0,0.0,678,669,0.0,0.0,0.0
0,160,0,0,0.0,0.0,686,682,0.0,0.0,0.0
0,161,32,33,57.0,55.0,689,698,1824.0,-1815.0,-5.4719999999999995
0,161,0,0,0.0,0.0,706,701,0.0,0.0,0.0
