,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,4242,0,4242,0.0,1.65,0,0,7000.0,7000.0,21.0
0,4242,0,0,0.0,0.0,68,59,0.0,0.0,0.0
0,4266,848,872,1.62,1.57,69,74,1374.4080000000004,-1369.04,-4.1232240000000004
0,4322,853,909,1.69,1.58,79,85,1441.9080000000001,-1436.22,-4.325724
0,4322,0,0,0.0,0.0,97,90,0.0,0.0,0.0
0,4347,864,889,1.6,1.55,104,107,1383.0400000000002,-1377.95,-4.149120000000001
0,4366,869,888,1.64,1.6,113,118,1425.816,-1420.8000000000002,-4.277448
0,4407,873,914,1.68,1.6,119,128,1466.976,-1462.4,-4.400928
0,4407,0,0,0.0,0.0,138,129,0.0,0.0,0.0
0,4407,0,0,0.0,0.0,147,141,0.0,0.0,0.0
0,4407,0,0,0.0,0.0,158,149,0.0,0.0,0.0
0,4453,881,927,1.53,1.45,159,164,1348.5420000000001,-1344.1499999999999,-4.045626
0,4481,890,918,1.5,1.45,169,171,1335.9,-1331.1,-4.007700000000001
0,4481,0,0,0.0,0.0,183,179,0.0,0.0,0.0
0,4528,896,943,1.5,1.42,196,197,1344.3000000000002,-1339.06,-4.032900000000001
0,4544,905,921,1.52,1.49,200,203,1376.5120000000002,-1372.29,-4.129536000000001
0,4548,908,912,1.5,1.49,209,212,1363.2,-1358.8799999999999,-4.0896
0,4557,909,918,1.52,1.5,219,220,1382.592,-1377.0,-4.147776
0,4566,911,920,1.51,1.49,234,238,1376.214,-1370.8,-4.128642
0,4581,913,928,1.55,1.52,239,241,1415.46,-1410.56,-4.24638
0,4626,916,961,1.59,1.51,250,258,1456.758,-1451.11,-4.370274
0,4669,925,968,1.67,1.59,259,268,1545.084,-1539.1200000000001,-4.635252
0,4672,933,936,1.7,1.69,269,270,1587.46,-1581.84,-4.76238
0,4686,934,948,1.73,1.7,279,284,1616.512,-1611.6,-4.849536
0,4694,937,945,1.71,1.69,289,298,1602.612,-1597.05,-4.807836
0,4694,0,0,0.0,0.0,304,299,0.0,0.0,0.0
0,4694,0,0,0.0,0.0,313,309,0.0,0.0,0.0
0,4714,938,958,1.7,1.66,320,323,1595.96,-1590.28,-4.78788
0,4714,0,0,0.0,0.0,337,335,0.0,0.0,0.0
0,4733,942,961,1.75,1.71,339,343,1649.9,-1643.31,-4.9497
0,4752,946,965,1.79,1.75,349,353,1694.414,-1688.75,-5.083241999999999
0,4771,950,969,1.8,1.76,361,365,1710.7200000000003,-1705.44,-5.13216
0,4773,954,956,1.8,1.79,369,370,1717.5600000000004,-1711.24,-5.152680000000002
0,4786,954,967,1.82,1.79,379,381,1737.3720000000003,-1730.93,-5.212116000000001
0,4786,0,0,0.0,0.0,393,389,0.0,0.0,0.0
0,4804,957,975,1.83,1.79,399,405,1751.6760000000004,-1745.25,-5.255028000000001
0,4817,960,973,1.85,1.82,409,416,1777.48,-1770.8600000000001,-5.33244
0,4817,0,0,0.0,0.0,428,419,0.0,0.0,0.0
0,4830,963,976,1.8,1.77,430,435,1734.1200000000001,-1727.52,-5.20236
0,4830,0,0,0.0,0.0,443,439,0.0,0.0,0.0
0,4848,966,984,1.81,1.77,451,453,1748.4600000000003,-1741.68,-5.24538
0,4848,0,0,0.0,0.0,465,459,0.0,0.0,0.0
0,4862,969,983,1.78,1.75,469,475,1725.8880000000001,-1720.25,-5.177664
0,4862,0,0,0.0,0.0,484,479,0.0,0.0,0.0
0,4862,0,0,0.0,0.0,491,489,0.0,0.0,0.0
0,4862,0,0,0.0,0.0,504,503,0.0,0.0,0.0
0,4964,972,1074,1.95,1.76,509,518,1896.18,-1890.24,-5.688540000000001
0,4977,992,1005,1.98,1.95,519,521,1965.744,-1959.75,-5.897231999999999
0,4989,995,1007,1.99,1.96,529,532,1980.846,-1973.72,-5.942538
0,4989,0,0,0.0,0.0,544,539,0.0,0.0,0.0
0,4997,997,1005,1.91,1.89,549,555,1905.798,-1899.4499999999998,-5.717394
0,5015,999,1017,1.94,1.9,560,568,1938.8360000000002,-1932.3,-5.816508
0,5015,0,0,0.0,0.0,572,569,0.0,0.0,0.0
0,5036,1003,1024,2.07,2.02,579,588,2076.21,-2068.48,-6.22863
0,5036,0,0,0.0,0.0,597,589,0.0,0.0,0.0
0,5036,0,0,0.0,0.0,608,599,0.0,0.0,0.0
0,5059,1007,1030,1.99,1.94,611,618,2004.328,-1998.2,-6.012984
0,5066,1011,1018,2.01,1.99,619,623,2033.7179999999998,-2025.82,-6.101153999999999
0,5098,1013,1045,2.07,2.0,629,636,2097.324,-2090.0,-6.2919719999999995
0,5120,1019,1041,2.1,2.05,639,644,2141.1600000000003,-2134.0499999999997,-6.4234800000000005
0,5120,0,0,0.0,0.0,656,651,0.0,0.0,0.0
0,5182,1024,1086,2.15,2.02,662,668,2201.6,-2193.72,-6.604799999999999
0,5218,1036,1072,2.17,2.09,670,672,2248.9880000000003,-2240.48,-6.746964
0,5265,1043,1090,2.16,2.06,682,688,2254.1760000000004,-2245.4,-6.762528000000001
0,5265,0,0,0.0,0.0,695,694,0.0,0.0,0.0
0,5271,1053,1059,2.17,2.15,699,706,2285.0099999999998,-2276.85,-6.855029999999999
0,5277,1054,1060,2.19,2.17,709,717,2308.698,-2300.2,-6.926093999999999
0,5277,0,0,0.0,0.0,724,719,0.0,0.0,0.0
