,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,244,0,244,0.0,28.68,0,0,7000.0,7000.0,21.0
0,247,48,51,30.2,28.55,60,67,1473.7600000000002,-1456.05,-4.42128
0,247,0,0,0.0,0.0,74,69,0.0,0.0,0.0
0,248,49,50,29.4,28.6,82,88,1452.36,-1430.0,-4.35708
0,249,49,50,30.1,29.43,89,95,1492.96,-1471.5,-4.47888
0,250,49,50,30.15,29.56,102,108,1501.47,-1478.0,-4.50441
0,250,0,0,0.0,0.0,118,117,0.0,0.0,0.0
0,251,50,51,30.2,29.15,119,124,1510.0,-1486.6499999999999,-4.53
0,251,0,0,0.0,0.0,136,130,0.0,0.0,0.0
0,251,0,0,0.0,0.0,142,139,0.0,0.0,0.0
0,251,0,0,0.0,0.0,149,149,0.0,0.0,0.0
0,252,50,51,29.7,29.0,159,166,1490.94,-1479.0,-4.47282
0,253,50,51,30.9,30.0,169,178,1557.36,-1530.0,-4.67208
0,253,50,50,30.97,30.9,179,181,1567.082,-1545.0,-4.701246
0,253,0,0,0.0,0.0,195,189,0.0,0.0,0.0
0,253,0,0,0.0,0.0,208,200,0.0,0.0,0.0
0,254,50,51,30.0,29.45,209,212,1518.0,-1501.95,-4.554
0,254,0,0,0.0,0.0,228,219,0.0,0.0,0.0
0,254,0,0,0.0,0.0,238,234,0.0,0.0,0.0
0,254,0,0,0.0,0.0,248,240,0.0,0.0,0.0
0,256,50,52,29.2,28.03,249,256,1483.3600000000001,-1457.56,-4.450080000000001
0,256,0,0,0.0,0.0,268,263,0.0,0.0,0.0
0,256,0,0,0.0,0.0,278,272,0.0,0.0,0.0
0,257,51,52,29.0,28.25,285,288,1484.8000000000002,-1469.0,-4.454400000000001
0,257,0,0,0.0,0.0,298,291,0.0,0.0,0.0
0,258,51,52,28.52,27.7,301,305,1465.928,-1440.3999999999999,-4.397784000000001
0,258,0,0,0.0,0.0,316,309,0.0,0.0,0.0
0,259,51,52,28.29,27.51,319,324,1459.7640000000001,-1430.52,-4.379292
0,260,51,52,28.71,28.25,329,336,1487.178,-1469.0,-4.461534
0,260,0,0,0.0,0.0,341,339,0.0,0.0,0.0
0,260,0,0,0.0,0.0,356,349,0.0,0.0,0.0
0,262,52,54,27.85,26.7,359,360,1448.2,-1441.8,-4.3446
0,263,52,53,27.75,27.0,369,375,1454.1000000000001,-1431.0,-4.3623
0,264,52,53,27.3,27.0,381,388,1435.9800000000002,-1431.0,-4.30794
0,264,0,0,0.0,0.0,397,390,0.0,0.0,0.0
0,264,0,0,0.0,0.0,408,400,0.0,0.0,0.0
0,264,0,0,0.0,0.0,414,409,0.0,0.0,0.0
0,264,0,0,0.0,0.0,427,422,0.0,0.0,0.0
0,266,52,54,25.4,24.75,435,438,1341.12,-1336.5,-4.023359999999999
0,267,53,54,25.74,25.03,441,447,1369.368,-1351.6200000000001,-4.108104
0,268,53,54,25.7,25.25,452,457,1372.38,-1363.5,-4.11714
0,268,0,0,0.0,0.0,462,460,0.0,0.0,0.0
0,269,53,54,25.7,25.2,472,478,1377.52,-1360.8,-4.13256
0,270,53,54,25.71,25.3,485,488,1383.198,-1366.2,-4.1495940000000004
0,271,54,55,25.35,24.74,489,490,1368.9,-1360.6999999999998,-4.1067
0,272,54,55,25.47,24.9,499,507,1380.4740000000002,-1369.5,-4.141422
0,279,54,61,28.75,25.27,509,518,1564.0,-1541.47,-4.692
0,279,0,0,0.0,0.0,527,520,0.0,0.0,0.0
0,281,55,57,28.68,27.75,535,538,1600.344,-1581.75,-4.801032
0,281,0,0,0.0,0.0,546,540,0.0,0.0,0.0
0,281,0,0,0.0,0.0,552,549,0.0,0.0,0.0
0,281,0,0,0.0,0.0,566,565,0.0,0.0,0.0
0,281,0,0,0.0,0.0,578,576,0.0,0.0,0.0
0,281,0,0,0.0,0.0,586,579,0.0,0.0,0.0
0,282,56,57,26.69,26.13,589,590,1499.978,-1489.4099999999999,-4.4999340000000005
0,283,56,57,26.75,26.0,606,608,1508.7,-1482.0,-4.5261000000000005
0,283,56,56,27.0,26.75,609,612,1528.2,-1498.0,-4.5846
0,284,56,57,27.24,26.76,619,621,1541.7839999999999,-1525.3200000000002,-4.6253519999999995
0,286,56,58,27.67,27.0,633,637,1571.6560000000002,-1566.0,-4.714968
0,287,57,58,27.95,27.45,643,648,1598.74,-1592.1,-4.79622
0,288,57,58,28.5,28.0,649,657,1635.9,-1624.0,-4.9077
0,288,0,0,0.0,0.0,668,661,0.0,0.0,0.0
0,291,57,60,28.85,27.26,669,676,1661.7600000000002,-1635.6000000000001,-4.98528
0,294,58,61,29.89,28.15,681,687,1739.598,-1717.1499999999999,-5.218793999999999
0,296,58,60,30.02,29.3,690,698,1765.176,-1758.0,-5.295527999999999
0,296,59,59,30.49,30.0,699,707,1805.0079999999998,-1770.0,-5.415024
0,296,0,0,0.0,0.0,715,710,0.0,0.0,0.0
0,296,0,0,0.0,0.0,724,720,0.0,0.0,0.0
0,296,0,0,0.0,0.0,737,731,0.0,0.0,0.0
0,296,0,0,0.0,0.0,748,741,0.0,0.0,0.0
0,296,0,0,0.0,0.0,758,757,0.0,0.0,0.0
0,299,59,62,30.5,29.01,759,768,1805.6000000000001,-1798.6200000000001,-5.416800000000001
