Symbol,Date,Open,High,Low,Close,Volume
NBP,01-Jan-2003,28.50,28.65,27.55,27.65,3241820
NBP,02-Jan-2003,27.60,27.85,27.40,27.60,1093640
NBP,03-Jan-2003,27.85,28.25,27.70,28.00,4803640
NBP,06-Jan-2003,28.20,28.40,27.60,27.95,5713640
NBP,07-Jan-2003,28.20,28.45,27.75,27.90,6252270
NBP,08-Jan-2003,28.00,28.00,27.45,27.50,2252730
NBP,09-Jan-2003,27.70,28.20,27.00,28.20,5435910
NBP,10-Jan-2003,28.45,29.10,28.30,28.55,19075500
NBP,13-Jan-2003,29.15,29.70,28.90,29.00,18260900
NBP,14-Jan-2003,28.95,29.75,28.75,29.20,22303200
NBP,15-Jan-2003,29.50,30.60,29.50,30.35,33135500
NBP,16-Jan-2003,30.00,31.10,29.90,30.25,27769100
NBP,17-Jan-2003,30.60,30.60,29.55,29.70,6264550
NBP,20-Jan-2003,29.15,29.85,29.10,29.25,3516360
NBP,21-Jan-2003,29.50,29.55,27.80,27.80,3906360
NBP,22-Jan-2003,27.55,27.65,26.45,26.45,5643180
NBP,23-Jan-2003,26.95,27.20,25.15,25.50,9411820
NBP,24-Jan-2003,25.10,26.25,24.25,26.10,7149550
NBP,27-Jan-2003,27.00,27.45,26.25,27.40,10994500
NBP,28-Jan-2003,27.60,27.65,26.05,26.05,5464090
NBP,29-Jan-2003,26.05,26.20,25.05,25.70,3188180
NBP,30-Jan-2003,25.90,26.35,25.65,25.85,3768640
NBP,31-Jan-2003,26.05,26.50,24.95,25.10,8763640
NBP,03-Feb-2003,25.30,25.50,23.90,24.40,2468640
NBP,05-Feb-2003,24.65,25.75,24.30,25.00,5073180
NBP,06-Feb-2003,25.05,25.55,24.75,25.45,2387270
NBP,07-Feb-2003,25.60,26.15,25.10,25.40,4468640
NBP,10-Feb-2003,25.00,25.10,24.35,24.95,1391820
NBP,17-Feb-2003,25.10,25.85,25.10,25.85,1250450
NBP,18-Feb-2003,26.00,26.90,26.00,26.35,6104090
NBP,19-Feb-2003,26.55,27.15,26.15,26.30,5332270
NBP,20-Feb-2003,26.20,26.85,25.90,26.65,3811360
