Symbol,Date,Open,High,Low,Close,Volume
UBL,26-May-2005,61.25,68.00,59.10,59.85,1990000
UBL,27-May-2005,60.00,61.40,58.60,59.40,573700
UBL,30-May-2005,59.00,59.75,56.45,58.40,1026700
UBL,31-May-2005,57.50,58.50,57.10,58.35,684500
UBL,01-Jun-2005,58.50,61.20,58.15,60.75,1103500
UBL,02-Jun-2005,61.75,63.75,60.95,63.75,902500
UBL,03-Jun-2005,65.00,65.00,61.10,61.85,1508900
UBL,06-Jun-2005,58.80,61.60,58.80,61.50,1620700
UBL,07-Jun-2005,63.10,63.50,59.70,61.00,2092000
UBL,08-Jun-2005,60.40,60.40,57.95,58.00,2882600
UBL,09-Jun-2005,57.90,60.15,57.70,59.00,1632100
UBL,10-Jun-2005,58.95,61.95,58.75,61.95,2487000
UBL,13-Jun-2005,61.95,65.00,61.80,65.00,4056500
UBL,14-Jun-2005,65.50,68.25,65.20,68.25,5301800
UBL,15-Jun-2005,69.00,70.70,66.60,67.50,6588300
UBL,25-Jul-2005,70.85,70.85,67.85,69.00,5341800
UBL,26-Jul-2005,69.00,69.00,65.30,65.30,1188400
UBL,27-Jul-2005,62.70,64.10,62.05,62.95,3363500
UBL,28-Jul-2005,63.00,63.70,60.00,60.70,1207100
UBL,29-Jul-2005,60.40,63.00,60.00,62.90,619100
UBL,01-Aug-2005,62.85,63.10,61.65,61.65,488000
UBL,02-Aug-2005,61.25,63.10,61.00,62.60,1038800
UBL,03-Aug-2005,63.00,65.70,62.50,65.50,2496700
UBL,04-Aug-2005,65.40,66.95,65.25,65.55,2239800
UBL,05-Aug-2005,64.50,65.95,63.60,65.00,732600
UBL,08-Aug-2005,64.90,65.50,63.55,63.75,561500
UBL,09-Aug-2005,63.90,64.35,62.50,62.60,367900
UBL,10-Aug-2005,62.55,62.75,59.55,60.75,321800
UBL,11-Aug-2005,60.35,61.00,59.50,60.00,304600
UBL,12-Aug-2005,59.25,63.00,59.25,62.90,571200
UBL,15-Aug-2005,63.00,63.00,61.00,61.10,193000
UBL,16-Aug-2005,60.50,61.70,60.25,61.10,152000
UBL,17-Aug-2005,61.00,61.35,60.05,60.10,123500
UBL,19-Aug-2005,61.30,62.45,60.80,61.25,444200
UBL,22-Aug-2005,62.90,64.30,62.20,63.65,1029300
UBL,23-Aug-2005,63.95,63.95,62.80,62.90,316200
