"Symbol","Date","Open","High","Low","Close","Volume"
"  HUBC","  2020-01-01","  93.44","  93.44","  91.51","  92.93","  555500"
"  HUBC","  2019-12-31","  93.50","  94.00","  92.19","  93.34","  1487000"
"  HUBC","  2019-12-30","  92.50","  94.23","  92.40","  93.01","  3093500"
"  HUBC","  2019-12-27","  89.98","  92.50","  89.19","  92.00","  4560500"
"  HUBC","  2019-12-26","  88.50","  90.69","  88.50","  89.86","  5454000"
"  HUBC","  2019-12-24","  87.50","  88.75","  86.25","  88.23","  5155500"
"  HUBC","  2019-12-23","  89.00","  89.00","  86.75","  86.94","  3150500"
"  HUBC","  2019-12-20","  89.65","  89.90","  88.00","  89.44","  4437000"
"  HUBC","  2019-12-19","  91.80","  92.00","  88.02","  88.91","  3477500"
"  HUBC","  2019-12-18","  87.61","  92.48","  87.61","  91.40","  6453000"
"  HUBC","  2019-12-17","  91.30","  91.48","  88.50","  89.44","  7414000"
"  HUBC","  2019-12-16","  91.40","  92.23","  90.91","  91.12","  2778500"
"  HUBC","  2019-12-13","  90.59","  91.79","  89.80","  90.87","  5636000"
"  HUBC","  2019-12-12","  90.00","  92.50","  90.00","  90.50","  1240500"
"  HUBC","  2019-12-11","  92.50","  93.19","  90.50","  91.12","  1193000"
"  HUBC","  2019-12-10","  92.05","  92.75","  91.80","  92.43","  1695000"
"  HUBC","  2019-12-09","  93.50","  94.69","  92.15","  92.87","  1062500"
"  HUBC","  2019-12-06","  93.73","  94.90","  93.25","  94.23","  2785500"
"  HUBC","  2019-12-05","  93.98","  94.50","  92.98","  93.02","  7410000"
"  HUBC","  2019-12-04","  92.37","  93.98","  90.19","  93.12","  8831000"
"  HUBC","  2019-12-03","  92.79","  93.02","  91.09","  92.37","  2117500"
"  HUBC","  2019-12-02","  91.50","  93.73","  90.00","  93.16","  2868500"
"  HUBC","  2019-11-29","  89.80","  91.98","  88.19","  90.79","  3209500"
"  HUBC","  2019-11-28","  86.09","  90.20","  85.00","  89.05","  2592000"
"  HUBC","  2019-11-27","  85.25","  86.50","  84.56","  85.91","  715000"
"  HUBC","  2019-11-26","  88.00","  89.25","  84.19","  84.52","  3182000"
"  HUBC","  2019-11-25","  88.69","  89.84","  87.50","  87.97","  1245000"
"  HUBC","  2019-11-22","  87.05","  89.00","  86.44","  88.81","  1553000"
"  HUBC","  2019-11-21","  90.50","  90.50","  87.00","  87.48","  2083000"
"  HUBC","  2019-11-20","  92.00","  92.69","  90.00","  90.66","  5906000"
"  HUBC","  2019-11-19","  87.55","  91.16","  87.55","  91.16","  5067000"
"  HUBC","  2019-11-18","  86.00","  86.81","  85.01","  86.81","  4897500"
"  HUBC","  2019-11-15","  82.50","  83.00","  82.00","  82.69","  847500"
"  HUBC","  2019-11-14","  82.98","  83.98","  81.69","  82.66","  825500"
"  HUBC","  2019-11-13","  81.00","  83.90","  80.00","  82.91","  5016500"
"  HUBC","  2019-11-12","  81.90","  83.13","  81.40","  81.87","  3531500"
"  HUBC","  2019-11-11","  75.97","  79.19","  75.59","  79.19","  2405500"
"  HUBC","  2019-11-08","  76.98","  77.00","  75.09","  75.41","  2057000"
"  HUBC","  2019-11-07","  76.01","  76.94","  75.00","  76.66","  801000"
"  HUBC","  2019-11-06","  76.00","  78.25","  75.50","  75.76","  1928500"
"  HUBC","  2019-11-05","  77.59","  78.73","  75.19","  75.61","  1364500"
"  HUBC","  2019-11-04","  74.75","  77.91","  74.50","  77.62","  1698000"
"  HUBC","  2019-11-01","  72.12","  74.65","  72.00","  74.20","  1215500"
"  HUBC","  2019-10-31","  72.38","  73.00","  72.19","  72.37","  1478000"
"  HUBC","  2019-10-30","  72.90","  73.19","  71.51","  72.01","  1074500"
"  HUBC","  2019-10-29","  72.97","  73.00","  71.50","  72.37","  619500"
"  HUBC","  2019-10-28","  72.34","  73.00","  70.12","  72.48","  580500"
"  HUBC","  2019-10-25","  73.09","  73.38","  72.01","  72.08","  650500"
"  HUBC","  2019-10-24","  73.25","  73.55","  72.59","  73.44","  885500"
"  HUBC","  2019-10-23","  73.09","  73.48","  72.50","  73.00","  1161000"
"  HUBC","  2019-10-22","  72.40","  73.51","  72.00","  72.72","  1055500"
"  HUBC","  2019-10-21","  74.48","  74.48","  71.75","  71.90","  785500"
"  HUBC","  2019-10-18","  73.69","  74.98","  73.50","  74.05","  406000"
"  HUBC","  2019-10-17","  74.55","  74.55","  73.62","  74.01","  694000"
"  HUBC","  2019-10-16","  75.38","  75.84","  74.26","  74.62","  1385000"
"  HUBC","  2019-10-15","  77.44","  77.48","  74.98","  75.22","  1022500"
"  HUBC","  2019-10-14","  76.90","  79.88","  76.15","  77.13","  1378500"
"  HUBC","  2019-10-11","  75.01","  77.50","  75.00","  76.76","  2877000"
"  HUBC","  2019-10-10","  73.23","  75.34","  73.23","  75.22","  1715000"
"  HUBC","  2019-10-09","  72.11","  73.95","  72.00","  73.79","  1138500"
"  HUBC","  2019-10-08","  73.50","  74.00","  72.00","  72.51","  987000"
"  HUBC","  2019-10-07","  73.25","  74.80","  72.75","  73.47","  2281000"
"  HUBC","  2019-10-04","  72.05","  73.98","  71.54","  73.19","  1981500"
"  HUBC","  2019-10-03","  71.58","  72.59","  71.40","  72.13","  1024000"
"  HUBC","  2019-10-02","  71.40","  71.69","  70.90","  71.41","  591000"
