,Num_of_Shares,Net_Change_Shares,Trade_Rate,Cash_in_hand,Brocker_fee,Share_Worth
0,15,15,[443.8],150.0,21.0,6657.0
0,14,-1,443.8,593.1342999999999,0.6657,6213.2
0,13,-1,443.1,1035.5696500000001,0.6646500000000001,5760.3
0,15,2,443.0,148.24065000000013,1.3290000000000002,6645.0
0,15,0,0,148.24065000000013,0.0,6645.75
0,14,-1,443.05,590.6260750000001,0.664575,6202.7
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,14,0,0,590.6260750000001,0.0,6202.0
0,13,-1,443.0,1032.961575,0.6645000000000001,5759.0
0,12,-1,442.8,1475.097375,0.6642,5313.6
0,15,3,442.5,145.60612500000005,1.99125,6637.5
0,15,0,442.52,145.60612500000005,0.0,6637.799999999999
0,14,-1,443.0,587.941625,0.6645000000000001,6202.0
0,15,1,442.99,144.28714000000002,0.664485,6644.85
0,15,0,443.05,144.28714000000002,0.0,6645.75
0,14,-1,443.4,587.02204,0.6650999999999999,6207.599999999999
0,14,0,0,587.02204,0.0,6202.0
0,14,0,0,587.02204,0.0,6202.0
0,15,1,443.0,143.35753999999994,0.6645000000000001,6645.0
0,15,0,443.8,143.35753999999994,0.0,6657.0
0,15,0,444.0,143.35753999999994,0.0,6660.0
0,15,0,444.5,143.35753999999994,0.0,6667.5
0,14,-1,445.0,587.69004,0.6675,6230.0
0,15,1,443.25,143.77516499999996,0.664875,6648.75
0,15,0,0,143.77516499999996,0.0,6660.0
0,14,-1,444.0,587.109165,0.6659999999999999,6216.0
0,13,-1,443.11,1029.5545,0.664665,5760.43
0,12,-1,443.01,1471.899985,0.664515,5316.12
0,11,-1,443.0,1914.235485,0.6645000000000001,4873.0
0,11,0,0,1914.235485,0.0,4870.8
0,10,-1,442.8,2356.3712849999997,0.6642,4428.0
0,9,-1,442.55,2798.25746,0.663825,3982.9500000000003
0,15,6,442.5,139.27495999999982,3.9825,6637.5
0,15,0,442.51,139.27495999999982,0.0,6637.65
0,14,-1,447.71,586.3133949999998,0.671565,6267.94
0,15,1,447.1,138.54274499999977,0.67065,6706.5
0,14,-1,447.5,585.3714949999998,0.67125,6265.0
0,13,-1,446.5,1031.2017449999998,0.66975,5804.5
0,13,0,0,1031.2017449999998,0.0,5799.56
0,12,-1,446.12,1476.6525649999996,0.6691799999999999,5353.4400000000005
0,12,0,0,1476.6525649999996,0.0,5353.32
