,Num_of_Shares,Net_Change_Shares,Trade_Rate,Cash_in_hand,Brocker_fee,Share_Worth
0,37,37,[187.06],150.0,21.0,6921.22
0,34,-3,187.06,710.3382300000001,0.8417700000000001,6360.04
0,34,0,0,710.3382300000001,0.0,6358.0
0,34,0,0,710.3382300000001,0.0,6358.0
0,34,0,0,710.3382300000001,0.0,6358.0
0,34,0,0,710.3382300000001,0.0,6358.0
0,34,0,0,710.3382300000001,0.0,6358.0
0,34,0,0,710.3382300000001,0.0,6358.0
0,31,-3,187.0,1270.49673,0.8414999999999999,5797.0
0,28,-3,186.54,1829.2773000000002,0.83943,5223.12
0,37,9,186.51,148.16941500000027,2.5178849999999997,6900.87
0,37,0,186.99,148.16941500000027,0.0,6918.63
0,37,0,0,148.16941500000027,0.0,6919.0
0,34,-3,187.0,708.3279150000003,0.8414999999999999,6358.0
0,37,3,186.99,146.51646000000028,0.841455,6918.63
0,37,0,0,146.51646000000028,0.0,6919.0
0,34,-3,187.0,706.6749600000003,0.8414999999999999,6358.0
0,37,3,186.6,146.03526000000033,0.8396999999999999,6904.2
0,34,-3,187.0,706.1937600000003,0.8414999999999999,6358.0
0,37,3,186.99,144.38230500000031,0.841455,6918.63
0,37,0,0,144.38230500000031,0.0,6919.0
0,37,0,0,144.38230500000031,0.0,6919.0
0,37,0,0,144.38230500000031,0.0,6919.0
0,37,0,0,144.38230500000031,0.0,6919.0
0,34,-3,187.0,704.5408050000003,0.8414999999999999,6358.0
0,31,-3,186.1,1262.0033550000003,0.8374499999999999,5769.099999999999
0,37,6,186.0,144.32935500000028,1.6740000000000002,6882.0
0,37,0,189.8,144.32935500000028,0.0,7022.6
0,37,0,192.49,144.32935500000028,0.0,7122.13
0,37,0,195.0,144.32935500000028,0.0,7215.0
0,37,0,198.79,144.32935500000028,0.0,7355.23
0,34,-3,198.84,739.9545750000003,0.8947799999999999,6760.56
0,31,-3,190.0,1309.0995750000002,0.855,5890.0
0,37,6,189.48,170.5142550000003,1.70532,7010.759999999999
0,37,0,189.49,170.5142550000003,0.0,7011.13
0,37,0,0,170.5142550000003,0.0,7067.0
0,37,0,0,170.5142550000003,0.0,7067.0
0,34,-3,191.0,742.6547550000003,0.8595,6494.0
0,37,3,190.1,171.4993050000003,0.8554499999999999,7033.7
0,37,0,191.99,171.4993050000003,0.0,7103.63
0,37,0,0,171.4993050000003,0.0,7104.0
0,34,-3,192.0,746.6353050000002,0.8639999999999999,6528.0
0,37,3,191.98,169.8313950000003,0.86391,7103.259999999999
0,37,0,0,169.8313950000003,0.0,7104.0
0,37,0,0,169.8313950000003,0.0,7104.0
0,37,0,0,169.8313950000003,0.0,7104.0
0,37,0,0,169.8313950000003,0.0,7104.0
0,37,0,0,169.8313950000003,0.0,7104.0
0,37,0,0,169.8313950000003,0.0,7104.0
0,37,0,192.0,169.8313950000003,0.0,7104.0
0,34,-3,192.7,747.0642450000001,0.8671499999999999,6551.799999999999
0,31,-3,192.01,1322.2302000000002,0.864045,5952.3099999999995
0,31,0,0,1322.2302000000002,0.0,5952.0
0,37,6,192.0,168.5022000000002,1.7279999999999998,7104.0
0,37,0,192.02,168.5022000000002,0.0,7104.740000000001
0,37,0,192.9,168.5022000000002,0.0,7137.3
0,37,0,0,168.5022000000002,0.0,7141.0
0,37,0,0,168.5022000000002,0.0,7141.0
0,37,0,0,168.5022000000002,0.0,7141.0
0,37,0,0,168.5022000000002,0.0,7141.0
0,37,0,193.0,168.5022000000002,0.0,7141.0
0,37,0,0,168.5022000000002,0.0,7178.0
0,37,0,194.0,168.5022000000002,0.0,7178.0
0,37,0,194.9,168.5022000000002,0.0,7211.3
0,34,-3,195.0,752.6247000000001,0.8775000000000001,6630.0
0,31,-3,194.0,1333.7517,0.873,6014.0
0,37,6,193.0,174.01470000000003,1.7369999999999999,7141.0
0,37,0,0,174.01470000000003,0.0,7178.0
0,37,0,0,174.01470000000003,0.0,7178.0
0,37,0,0,174.01470000000003,0.0,7178.0
0,37,0,194.0,174.01470000000003,0.0,7178.0
0,37,0,194.68,174.01470000000003,0.0,7203.16
0,37,0,194.7,174.01470000000003,0.0,7203.9
0,34,-3,195.0,758.1372,0.8775000000000001,6630.0
0,31,-3,194.79,1341.630645,0.8765550000000001,6038.49
0,28,-3,194.2,1923.3567449999998,0.8738999999999999,5437.599999999999
0,37,9,194.18,173.1153149999997,2.62143,7184.66
0,37,0,194.78,173.1153149999997,0.0,7206.86
0,34,-3,194.79,756.6087599999996,0.8765550000000001,6622.86
0,31,-3,194.74,1339.9524299999996,0.8763299999999999,6036.9400000000005
0,28,-3,194.22,1921.7384399999996,0.8739899999999999,5438.16
0,26,-2,194.17,2309.4959299999996,0.58251,5048.42
0,24,-2,194.07,2697.0537199999994,0.58221,4657.68
0,22,-2,194.0,3084.4717199999996,0.582,4268.0
0,20,-2,193.5,3470.8912199999995,0.5805,3870.0
0,18,-2,193.21,3856.7315899999994,0.57963,3477.78
0,18,0,0,3856.7315899999994,0.0,3476.5199999999995
0,17,-1,193.14,4049.5818799999993,0.28970999999999997,3283.3799999999997
0,17,0,0,4049.5818799999993,0.0,3282.7
0,16,-1,193.1,4242.3922299999995,0.28964999999999996,3089.6
0,15,-1,193.0,4435.10273,0.2895,2895.0
0,37,22,192.8,187.14032999999924,6.3624,7133.6
0,37,0,193.9,187.14032999999924,0.0,7174.3
0,37,0,0,187.14032999999924,0.0,7178.0
0,34,-3,194.0,768.2673299999992,0.873,6596.0
0,31,-3,193.75,1348.6454549999992,0.8718750000000001,6006.25
0,31,0,0,1348.6454549999992,0.0,5998.5
0,28,-3,193.5,1928.2747049999991,0.87075,5418.0
0,37,9,193.2,186.86650499999917,2.6082,7148.4
0,34,-3,193.5,766.4957549999991,0.87075,6579.0
0,37,3,193.0,186.6272549999991,0.8684999999999999,7141.0
0,37,0,0,186.6272549999991,0.0,7159.5
0,37,0,0,186.6272549999991,0.0,7159.5
0,37,0,0,186.6272549999991,0.0,7159.5
0,37,0,193.5,186.6272549999991,0.0,7159.5
0,37,0,0,186.6272549999991,0.0,7177.259999999999
0,34,-3,193.98,767.694344999999,0.8729099999999999,6595.32
0,37,3,192.65,188.87741999999892,0.8669250000000002,7128.05
0,37,0,194.0,188.87741999999892,0.0,7178.0
0,34,-3,194.4,771.2026199999989,0.8748,6609.6
0,31,-3,193.15,1349.783444999999,0.869175,5987.650000000001
0,31,0,0,1349.783444999999,0.0,5975.5599999999995
0,37,6,192.76,191.48860499999896,1.73484,7132.12
0,37,0,194.0,191.48860499999896,0.0,7178.0
0,37,0,195.46,191.48860499999896,0.0,7232.02
0,34,-3,195.49,777.0788999999991,0.8797050000000001,6646.66
0,37,3,194.99,191.23144499999904,0.8774550000000001,7214.63
0,37,0,195.0,191.23144499999904,0.0,7215.0
0,37,0,195.05,191.23144499999904,0.0,7216.85
0,37,0,195.15,191.23144499999904,0.0,7220.55
0,37,0,195.2,191.23144499999904,0.0,7222.4
0,37,0,195.25,191.23144499999904,0.0,7224.25
0,37,0,195.3,191.23144499999904,0.0,7226.1
0,37,0,0,191.23144499999904,0.0,7233.5
0,37,0,195.5,191.23144499999904,0.0,7233.5
0,37,0,195.8,191.23144499999904,0.0,7244.6
0,34,-3,195.85,777.900119999999,0.8813249999999999,6658.9
0,34,0,0,777.900119999999,0.0,6630.0
0,37,3,195.0,192.022619999999,0.8775000000000001,7215.0
0,37,0,195.5,192.022619999999,0.0,7233.5
0,37,0,195.85,192.022619999999,0.0,7246.45
0,37,0,195.99,192.022619999999,0.0,7251.63
0,37,0,0,192.022619999999,0.0,7252.0
0,37,0,0,192.022619999999,0.0,7252.0
0,37,0,0,192.022619999999,0.0,7252.0
0,37,0,196.0,192.022619999999,0.0,7252.0
0,34,-3,197.0,782.1361199999991,0.8865,6698.0
0,31,-3,196.99,1372.219664999999,0.886455,6106.6900000000005
0,37,6,196.4,192.05206499999886,1.7676000000000003,7266.8
0,34,-3,196.5,780.6678149999989,0.88425,6681.0
0,31,-3,196.15,1368.2351399999989,0.882675,6080.650000000001
0,31,0,0,1368.2351399999989,0.0,6076.0
0,37,6,196.0,190.47113999999885,1.764,7252.0
0,34,-3,196.49,779.0569349999989,0.884205,6680.66
0,31,-3,196.01,1366.2048899999988,0.882045,6076.3099999999995
0,31,0,0,1366.2048899999988,0.0,6076.0
0,31,0,0,1366.2048899999988,0.0,6076.0
0,31,0,0,1366.2048899999988,0.0,6076.0
0,31,0,0,1366.2048899999988,0.0,6076.0
0,31,0,0,1366.2048899999988,0.0,6076.0
0,31,0,0,1366.2048899999988,0.0,6076.0
0,37,6,196.0,188.44088999999883,1.764,7252.0
0,34,-3,196.5,777.0566399999989,0.88425,6681.0
0,34,0,0,777.0566399999989,0.0,6664.0
0,37,3,196.0,188.17463999999887,0.882,7252.0
0,34,-3,196.5,776.7903899999989,0.88425,6681.0
0,31,-3,196.1,1364.2079399999989,0.88245,6079.099999999999
0,37,6,196.0,186.44393999999886,1.764,7252.0
0,34,-3,196.7,775.6587899999988,0.8851499999999999,6687.799999999999
0,37,3,195.4,188.57948999999877,0.8793000000000001,7229.8
0,34,-3,196.0,775.6974899999988,0.882,6664.0
0,31,-3,195.26,1360.5988199999988,0.87867,6053.0599999999995
0,37,6,195.11,188.18282999999872,1.7559900000000002,7219.070000000001
0,37,0,195.39,188.18282999999872,0.0,7229.429999999999
0,37,0,195.99,188.18282999999872,0.0,7251.63
0,34,-3,196.0,775.3008299999988,0.882,6664.0
0,37,3,195.94,186.59909999999883,0.8817299999999999,7249.78
0,37,0,196.0,186.59909999999883,0.0,7252.0
0,37,0,196.09,186.59909999999883,0.0,7255.33
0,37,0,196.49,186.59909999999883,0.0,7270.13
0,37,0,196.5,186.59909999999883,0.0,7270.5
0,37,0,197.49,186.59909999999883,0.0,7307.13
0,34,-3,197.97,779.6182349999989,0.8908649999999999,6730.98
0,31,-3,197.4,1370.9299349999987,0.8883,6119.400000000001
0,37,6,197.0,187.15693499999875,1.773,7289.0
0,34,-3,197.74,779.4871049999988,0.88983,6723.16
0,34,0,0,779.4871049999988,0.0,6698.0
0,34,0,0,779.4871049999988,0.0,6698.0
0,34,0,0,779.4871049999988,0.0,6698.0
0,34,0,0,779.4871049999988,0.0,6698.0
0,37,3,197.0,187.60060499999878,0.8865,7289.0
0,37,0,0,187.60060499999878,0.0,7303.8
0,37,0,197.4,187.60060499999878,0.0,7303.8
0,34,-3,197.5,779.2118549999988,0.88875,6715.0
0,31,-3,196.01,1366.3598099999988,0.882045,6076.3099999999995
0,28,-3,195.2,1951.0814099999986,0.8784,5465.599999999999
0,37,9,195.02,193.26863999999858,2.63277,7215.740000000001
0,34,-3,196.25,781.1355149999987,0.883125,6672.5
0,37,3,195.61,193.42526999999865,0.880245,7237.570000000001
0,34,-3,196.24,781.2621899999987,0.8830800000000001,6672.16
0,31,-3,195.75,1367.6313149999985,0.880875,6068.25
0,37,6,195.63,192.09064499999852,1.7606699999999997,7238.3099999999995
0,34,-3,196.5,780.7063949999986,0.88425,6681.0
0,34,0,0,780.7063949999986,0.0,6664.0
0,31,-3,196.0,1367.8243949999985,0.882,6076.0
0,31,0,0,1367.8243949999985,0.0,6045.0
0,31,0,0,1367.8243949999985,0.0,6045.0
0,37,6,195.0,196.0693949999985,1.7550000000000001,7215.0
0,34,-3,195.02,780.2518049999985,0.87759,6630.68
0,31,-3,194.0,1361.3788049999985,0.873,6014.0
0,28,-3,193.1,1939.8098549999984,0.86895,5406.8
0,28,0,0,1939.8098549999984,0.0,5404.0
0,26,-2,193.0,2325.2308549999984,0.579,5018.0
0,24,-2,192.53,2709.7132649999985,0.57759,4620.72
0,38,14,192.5,10.6707649999985,4.0425,7315.0
0,35,-3,192.98,588.7423549999984,0.8684099999999999,6754.299999999999
0,32,-3,192.0,1163.8783549999985,0.8639999999999999,6144.0
0,29,-3,191.55,1737.6663799999985,0.861975,5554.950000000001
0,27,-2,191.1,2119.2930799999986,0.5733,5159.7
0,25,-2,191.0,2500.7200799999987,0.573,4775.0
0,23,-2,190.5,2881.1485799999987,0.5715,4381.5
0,21,-2,190.15,3260.8781299999987,0.57045,3993.15
0,38,17,190.0,26.033129999998692,4.845,7220.0
0,38,0,190.99,26.033129999998692,0.0,7257.620000000001
