,Num_of_Shares,Net_Change_Shares,Trade_Rate,Cash_in_hand,Brocker_fee,Share_Worth
0,91,91,[76.9],150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
0,91,0,0,150,0,6997.900000000001
