,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,81,0,81,0.0,85.5,0,0,7000.0,7000.0,21.0
0,81,0,0,0.0,0.0,8,0,0.0,0.0,0.0
0,81,0,0,0.0,0.0,16,10,0.0,0.0,0.0
0,81,16,16,85.64,84.35,20,29,1387.3680000000002,-1349.6,-4.162104
0,81,16,16,85.9,85.47,30,34,1391.5800000000002,-1367.52,-4.174740000000001
0,81,16,16,85.8,85.55,45,49,1389.96,-1368.8,-4.16988
0,81,16,16,85.8,85.35,52,59,1389.96,-1365.6,-4.16988
0,81,0,0,0.0,0.0,69,63,0.0,0.0,0.0
0,81,16,16,87.15,85.32,72,78,1411.8300000000002,-1365.12,-4.23549
0,81,0,0,0.0,0.0,86,80,0.0,0.0,0.0
0,81,16,16,86.0,85.7,94,96,1393.2,-1371.2,-4.1796
0,81,0,0,0.0,0.0,109,101,0.0,0.0,0.0
0,81,0,0,0.0,0.0,118,110,0.0,0.0,0.0
0,81,16,16,86.0,85.15,120,129,1393.2,-1362.4,-4.1796
0,81,16,16,86.85,85.8,131,139,1406.97,-1372.8,-4.22091
0,81,16,16,86.9,86.93,140,143,1407.7800000000002,-1390.88,-4.22334
0,81,0,0,0.0,0.0,152,150,0.0,0.0,0.0
0,81,16,16,86.9,86.01,164,169,1407.7800000000002,-1376.16,-4.22334
0,81,0,0,0.0,0.0,179,170,0.0,0.0,0.0
0,81,16,16,86.5,85.82,182,189,1401.3000000000002,-1373.12,-4.203900000000001
0,81,0,0,0.0,0.0,199,193,0.0,0.0,0.0
0,81,0,0,0.0,0.0,208,201,0.0,0.0,0.0
0,81,0,0,0.0,0.0,213,212,0.0,0.0,0.0
0,81,0,0,0.0,0.0,229,225,0.0,0.0,0.0
0,81,16,16,85.79,84.6,230,232,1389.7980000000002,-1353.6,-4.1693940000000005
0,81,0,0,0.0,0.0,244,240,0.0,0.0,0.0
0,81,16,16,84.35,83.69,252,257,1366.47,-1339.04,-4.09941
0,81,16,16,84.49,83.77,260,267,1368.738,-1340.32,-4.106214
0,81,16,16,84.5,84.0,276,279,1368.9,-1344.0,-4.1067
0,81,16,16,85.6,84.1,282,288,1386.72,-1345.6,-4.16016
0,81,0,0,0.0,0.0,297,294,0.0,0.0,0.0
0,81,16,16,86.0,85.05,303,308,1393.2,-1360.8,-4.1796
0,81,16,16,86.25,85.79,310,319,1397.25,-1372.64,-4.19175
0,81,0,0,0.0,0.0,325,320,0.0,0.0,0.0
0,81,16,16,85.89,85.35,336,339,1391.4180000000001,-1365.6,-4.174254
0,81,0,0,0.0,0.0,342,340,0.0,0.0,0.0
0,81,16,16,86.6,86.1,354,359,1402.92,-1377.6,-4.208760000000001
0,81,0,0,0.0,0.0,364,362,0.0,0.0,0.0
0,81,16,16,86.5,86.33,375,377,1401.3000000000002,-1381.28,-4.203900000000001
0,81,16,16,86.8,86.32,382,387,1406.16,-1381.12,-4.2184800000000005
0,81,0,0,0.0,0.0,394,390,0.0,0.0,0.0
0,81,0,0,0.0,0.0,408,404,0.0,0.0,0.0
0,81,16,16,86.3,85.91,414,419,1398.0600000000002,-1374.56,-4.194180000000001
0,81,16,16,86.42,85.98,422,429,1400.0040000000001,-1375.68,-4.200012
0,81,0,0,0.0,0.0,439,431,0.0,0.0,0.0
0,81,16,16,86.25,85.5,447,448,1397.25,-1368.0,-4.19175
0,81,16,16,88.46,86.05,450,457,1433.052,-1376.8,-4.299156
0,81,16,16,87.84,87.4,464,466,1423.008,-1398.4,-4.269024
0,81,16,16,88.25,87.5,472,474,1429.65,-1400.0,-4.288950000000001
0,81,0,0,0.0,0.0,484,481,0.0,0.0,0.0
0,81,16,16,88.0,87.6,490,497,1425.6000000000001,-1401.6,-4.276800000000001
0,81,0,0,0.0,0.0,504,501,0.0,0.0,0.0
0,81,0,0,0.0,0.0,513,510,0.0,0.0,0.0
0,81,0,0,0.0,0.0,528,520,0.0,0.0,0.0
0,81,16,16,87.75,87.21,531,539,1421.5500000000002,-1395.36,-4.2646500000000005
0,81,0,0,0.0,0.0,545,540,0.0,0.0,0.0
0,81,0,0,0.0,0.0,556,551,0.0,0.0,0.0
0,81,0,0,0.0,0.0,569,560,0.0,0.0,0.0
0,81,16,16,87.4,87.0,571,579,1415.88,-1392.0,-4.2476400000000005
0,81,16,16,87.75,87.5,580,584,1421.5500000000002,-1400.0,-4.2646500000000005
0,81,0,0,0.0,0.0,595,591,0.0,0.0,0.0
0,81,16,16,88.46,87.8,600,607,1433.052,-1404.8,-4.299156
0,81,16,16,90.0,88.35,610,616,1458.0,-1413.6,-4.374
0,81,16,16,92.68,89.15,620,627,1501.4160000000002,-1426.4,-4.5042480000000005
0,81,16,16,92.68,92.45,632,639,1501.4160000000002,-1479.2,-4.5042480000000005
0,81,0,0,0.0,0.0,649,640,0.0,0.0,0.0
0,81,0,0,0.0,0.0,659,650,0.0,0.0,0.0
0,81,0,0,0.0,0.0,669,660,0.0,0.0,0.0
0,81,0,0,0.0,0.0,679,670,0.0,0.0,0.0
0,81,0,0,0.0,0.0,689,680,0.0,0.0,0.0
0,81,16,16,94.5,92.68,697,699,1530.9,-1482.88,-4.592700000000001
0,81,16,16,97.0,95.4,700,704,1571.4,-1526.4,-4.7142
0,81,16,16,97.1,94.5,712,716,1573.02,-1512.0,-4.71906
0,81,0,0,0.0,0.0,729,728,0.0,0.0,0.0
0,81,0,0,0.0,0.0,734,730,0.0,0.0,0.0
0,81,0,0,0.0,0.0,748,740,0.0,0.0,0.0
0,81,16,16,96.24,95.35,750,751,1559.088,-1525.6,-4.677264
