,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,290,0,290,0.0,24.06,0,0,7000.0,7000.0,21.0
0,290,58,58,24.15,23.79,4,9,1400.7,-1379.82,-4.2021
0,290,58,58,24.33,24.1,10,15,1411.14,-1397.8000000000002,-4.233420000000001
0,290,0,0,0.0,0.0,28,21,0.0,0.0,0.0
0,290,0,0,0.0,0.0,39,33,0.0,0.0,0.0
0,290,58,58,24.0,23.8,40,46,1392.0,-1380.4,-4.176
0,290,58,58,24.19,23.82,50,59,1403.0200000000002,-1381.56,-4.209060000000001
0,290,58,58,24.2,24.06,62,68,1403.6000000000001,-1395.48,-4.210800000000001
0,290,58,58,24.7,24.3,70,78,1432.6000000000001,-1409.4,-4.2978000000000005
0,290,0,0,0.0,0.0,88,85,0.0,0.0,0.0
0,291,58,59,24.75,24.25,96,99,1435.5,-1430.75,-4.3065
0,291,0,0,0.0,0.0,109,100,0.0,0.0,0.0
0,291,58,58,24.49,24.3,111,118,1425.318,-1409.4,-4.275954
0,291,58,58,24.7,24.34,120,129,1437.54,-1411.72,-4.31262
0,292,58,59,25.35,24.7,130,139,1475.3700000000001,-1457.3,-4.42611
0,292,0,0,0.0,0.0,141,140,0.0,0.0,0.0
0,292,0,0,0.0,0.0,154,151,0.0,0.0,0.0
0,292,58,58,25.6,25.32,162,169,1495.0400000000002,-1468.56,-4.485120000000001
0,292,58,58,25.7,25.6,170,178,1500.88,-1484.8000000000002,-4.50264
0,292,58,58,25.85,25.61,180,189,1509.6400000000003,-1485.3799999999999,-4.528920000000001
0,292,58,58,25.87,25.86,190,199,1510.808,-1499.8799999999999,-4.532424
0,292,0,0,0.0,0.0,209,204,0.0,0.0,0.0
0,292,0,0,0.0,0.0,218,214,0.0,0.0,0.0
0,292,58,58,25.5,25.3,223,229,1489.2,-1467.4,-4.4676
0,292,58,58,25.54,25.46,236,238,1491.536,-1476.68,-4.474608
0,292,0,0,0.0,0.0,246,244,0.0,0.0,0.0
0,293,58,59,25.87,25.52,253,259,1510.808,-1505.68,-4.532424
0,293,0,0,0.0,0.0,269,260,0.0,0.0,0.0
0,293,0,0,0.0,0.0,279,272,0.0,0.0,0.0
0,293,0,0,0.0,0.0,289,280,0.0,0.0,0.0
0,293,0,0,0.0,0.0,296,293,0.0,0.0,0.0
0,294,58,59,25.68,25.25,300,306,1504.848,-1489.75,-4.514544
0,294,0,0,0.0,0.0,317,310,0.0,0.0,0.0
0,294,58,58,25.08,24.95,324,328,1474.704,-1447.1,-4.424112
0,294,0,0,0.0,0.0,339,333,0.0,0.0,0.0
0,295,58,59,25.2,24.77,342,349,1481.7600000000002,-1461.43,-4.445280000000001
0,295,0,0,0.0,0.0,358,350,0.0,0.0,0.0
0,295,59,59,25.3,25.04,361,368,1492.7,-1477.36,-4.4781
0,295,0,0,0.0,0.0,376,372,0.0,0.0,0.0
0,295,59,59,25.35,25.01,380,389,1495.65,-1475.5900000000001,-4.48695
0,295,59,59,25.5,25.35,390,399,1504.5,-1495.65,-4.5135
0,295,0,0,0.0,0.0,409,402,0.0,0.0,0.0
0,295,0,0,0.0,0.0,419,417,0.0,0.0,0.0
0,295,59,59,25.14,24.9,427,429,1483.2600000000002,-1469.1,-4.4497800000000005
0,295,0,0,0.0,0.0,439,431,0.0,0.0,0.0
0,295,59,59,25.25,25.0,445,448,1489.75,-1475.0,-4.469250000000001
0,296,59,60,25.92,25.07,450,457,1529.2800000000002,-1504.2,-4.587840000000001
0,296,0,0,0.0,0.0,464,460,0.0,0.0,0.0
0,296,0,0,0.0,0.0,475,470,0.0,0.0,0.0
0,296,0,0,0.0,0.0,489,482,0.0,0.0,0.0
0,297,59,60,25.69,25.0,491,499,1520.8480000000002,-1500.0,-4.562544000000001
0,297,59,59,25.7,25.4,501,504,1526.58,-1498.6,-4.57974
0,297,59,59,25.7,25.45,513,519,1526.58,-1501.55,-4.57974
0,297,59,59,25.65,25.5,522,526,1523.61,-1504.5,-4.57083
