,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,991,0,991,0.0,7.06,0,0,7000.0,7000.0,21.0
0,993,198,200,7.12,7.03,2,7,1411.1840000000002,-1406.0,-4.233552
0,995,198,200,7.1,7.0,11,19,1410.06,-1400.0,-4.23018
0,999,199,203,7.2,7.01,23,29,1432.8000000000002,-1423.03,-4.2984
0,999,0,0,0.0,0.0,39,31,0.0,0.0,0.0
0,999,0,0,0.0,0.0,48,42,0.0,0.0,0.0
0,999,0,0,0.0,0.0,57,52,0.0,0.0,0.0
0,1002,199,202,7.12,7.0,60,61,1422.576,-1414.0,-4.267728
0,1006,200,204,7.27,7.11,70,79,1456.9080000000001,-1450.44,-4.370724
0,1008,201,203,7.19,7.1,84,87,1446.6280000000002,-1441.3,-4.3398840000000005
0,1009,201,202,7.15,7.1,96,97,1441.4400000000003,-1434.1999999999998,-4.324320000000001
0,1011,201,203,7.18,7.11,102,109,1448.924,-1443.3300000000002,-4.346772
0,1013,202,204,7.25,7.14,112,119,1465.95,-1456.56,-4.39785
0,1014,202,203,7.3,7.25,121,129,1478.98,-1471.75,-4.43694
0,1019,202,207,7.5,7.31,130,139,1521.0,-1513.1699999999998,-4.563000000000001
0,1019,0,0,0.0,0.0,145,140,0.0,0.0,0.0
0,1019,0,0,0.0,0.0,158,156,0.0,0.0,0.0
0,1019,0,0,0.0,0.0,169,168,0.0,0.0,0.0
0,1019,0,0,0.0,0.0,175,170,0.0,0.0,0.0
0,1019,0,0,0.0,0.0,189,183,0.0,0.0,0.0
0,1019,0,0,0.0,0.0,199,192,0.0,0.0,0.0
0,1023,203,207,7.7,7.55,200,206,1569.2600000000002,-1562.85,-4.7077800000000005
0,1027,204,208,7.67,7.5,210,219,1569.2820000000002,-1560.0,-4.707846
0,1034,205,212,7.95,7.65,226,229,1632.9300000000003,-1621.8000000000002,-4.898790000000001
0,1037,206,209,8.0,7.86,233,239,1654.4,-1642.74,-4.9632
0,1039,207,209,8.04,7.94,243,248,1667.496,-1659.46,-5.0024880000000005
0,1044,207,212,8.19,8.0,251,257,1701.882,-1696.0,-5.105646
0,1044,0,0,0.0,0.0,268,260,0.0,0.0,0.0
0,1046,208,210,8.1,8.0,270,275,1691.28,-1680.0,-5.07384
0,1046,0,0,0.0,0.0,287,283,0.0,0.0,0.0
0,1046,0,0,0.0,0.0,299,292,0.0,0.0,0.0
0,1049,209,212,7.95,7.8,300,309,1663.1400000000003,-1653.6,-4.989420000000001
0,1052,209,212,7.95,7.82,310,313,1667.9100000000003,-1657.8400000000001,-5.003730000000001
0,1055,210,213,8.0,7.85,321,327,1683.2,-1672.05,-5.0496
0,1055,0,0,0.0,0.0,338,330,0.0,0.0,0.0
0,1055,211,211,7.99,7.95,340,344,1685.8900000000003,-1677.45,-5.057670000000001
0,1055,0,0,0.0,0.0,359,352,0.0,0.0,0.0
0,1058,211,214,7.75,7.6,367,369,1635.25,-1626.3999999999999,-4.90575
0,1058,0,0,0.0,0.0,372,370,0.0,0.0,0.0
0,1058,0,0,0.0,0.0,389,382,0.0,0.0,0.0
0,1058,0,0,0.0,0.0,399,390,0.0,0.0,0.0
0,1065,211,218,7.6,7.35,400,409,1608.1599999999999,-1602.3,-4.824479999999999
0,1065,0,0,0.0,0.0,419,410,0.0,0.0,0.0
0,1065,0,0,0.0,0.0,427,420,0.0,0.0,0.0
0,1067,213,215,7.6,7.48,431,437,1618.8000000000002,-1608.2,-4.856400000000001
0,1067,0,0,0.0,0.0,447,440,0.0,0.0,0.0
0,1067,0,0,0.0,0.0,457,450,0.0,0.0,0.0
0,1071,213,217,7.27,7.11,461,465,1551.418,-1542.8700000000001,-4.654254
0,1071,0,0,0.0,0.0,479,472,0.0,0.0,0.0
0,1071,0,0,0.0,0.0,489,484,0.0,0.0,0.0
0,1071,0,0,0.0,0.0,499,491,0.0,0.0,0.0
0,1071,0,0,0.0,0.0,509,503,0.0,0.0,0.0
0,1076,214,219,6.99,6.81,512,519,1497.258,-1491.3899999999999,-4.4917739999999995
0,1080,215,219,7.15,7.0,520,529,1538.6800000000003,-1533.0,-4.616040000000001
