,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,129,0,129,0.0,54.0,0,0,7000.0,7000.0,21.0
0,130,25,26,54.44,53.55,1,5,1404.552,-1392.3,-4.213655999999999
0,131,26,27,56.99,54.19,11,19,1481.74,-1463.1299999999999,-4.44522
0,131,26,26,57.16,56.51,27,29,1497.5919999999999,-1469.26,-4.492775999999999
0,131,0,0,0.0,0.0,32,30,0.0,0.0,0.0
0,131,0,0,0.0,0.0,49,40,0.0,0.0,0.0
0,131,26,26,59.0,57.16,54,57,1545.8000000000002,-1486.1599999999999,-4.6374
0,131,26,26,60.01,59.0,60,64,1572.262,-1534.0,-4.716786
0,131,0,0,0.0,0.0,77,73,0.0,0.0,0.0
0,131,0,0,0.0,0.0,87,80,0.0,0.0,0.0
0,131,0,0,0.0,0.0,98,90,0.0,0.0,0.0
0,131,26,26,59.7,59.01,100,109,1564.1400000000003,-1534.26,-4.692420000000001
0,131,26,26,60.01,59.8,112,119,1572.262,-1554.8,-4.716786
0,131,26,26,60.01,60.0,120,129,1572.262,-1560.0,-4.716786
0,132,26,27,62.9,60.0,136,139,1647.98,-1620.0,-4.9439400000000004
0,132,0,0,0.0,0.0,142,140,0.0,0.0,0.0
0,132,0,0,0.0,0.0,151,150,0.0,0.0,0.0
0,132,0,0,0.0,0.0,169,167,0.0,0.0,0.0
0,132,0,0,0.0,0.0,176,174,0.0,0.0,0.0
0,132,0,0,0.0,0.0,188,180,0.0,0.0,0.0
0,132,26,26,62.4,62.21,196,199,1647.36,-1617.46,-4.94208
0,132,0,0,0.0,0.0,204,200,0.0,0.0,0.0
0,132,26,26,62.39,62.15,210,218,1647.096,-1615.8999999999999,-4.941287999999999
0,132,0,0,0.0,0.0,228,220,0.0,0.0,0.0
0,132,26,26,62.4,62.03,232,238,1647.36,-1612.78,-4.94208
0,132,0,0,0.0,0.0,248,242,0.0,0.0,0.0
0,132,0,0,0.0,0.0,258,252,0.0,0.0,0.0
0,132,0,0,0.0,0.0,265,260,0.0,0.0,0.0
0,132,0,0,0.0,0.0,278,270,0.0,0.0,0.0
0,132,26,26,61.74,61.0,281,289,1629.9360000000001,-1586.0,-4.889808
0,132,26,26,61.69,61.5,296,297,1628.616,-1599.0,-4.885848
0,132,0,0,0.0,0.0,309,308,0.0,0.0,0.0
0,132,0,0,0.0,0.0,313,310,0.0,0.0,0.0
0,132,0,0,0.0,0.0,323,322,0.0,0.0,0.0
0,132,0,0,0.0,0.0,337,330,0.0,0.0,0.0
0,132,26,26,61.35,61.59,340,343,1619.64,-1601.3400000000001,-4.85892
0,132,0,0,0.0,0.0,358,351,0.0,0.0,0.0
0,132,0,0,0.0,0.0,368,360,0.0,0.0,0.0
0,132,26,26,60.0,59.66,370,373,1584.0,-1551.1599999999999,-4.752
0,132,26,26,60.5,60.0,380,387,1597.2,-1560.0,-4.7916
0,132,26,26,60.55,60.3,391,399,1598.52,-1567.8,-4.79556
0,132,26,26,61.0,60.55,402,409,1610.4,-1574.3,-4.8312
0,132,0,0,0.0,0.0,416,414,0.0,0.0,0.0
0,132,0,0,0.0,0.0,426,421,0.0,0.0,0.0
0,132,0,0,0.0,0.0,439,430,0.0,0.0,0.0
0,132,0,0,0.0,0.0,448,440,0.0,0.0,0.0
0,132,0,0,0.0,0.0,452,450,0.0,0.0,0.0
0,132,0,0,0.0,0.0,468,461,0.0,0.0,0.0
0,132,26,26,59.94,59.5,472,479,1582.4160000000002,-1547.0,-4.747248
0,132,26,26,60.32,59.94,480,489,1592.448,-1558.44,-4.777344
0,132,26,26,60.8,60.39,490,496,1605.12,-1570.14,-4.815359999999999
0,132,26,26,60.9,60.7,500,509,1607.7600000000002,-1578.2,-4.8232800000000005
0,132,26,26,61.0,60.89,510,518,1610.4,-1583.14,-4.8312
0,132,0,0,0.0,0.0,523,521,0.0,0.0,0.0
0,132,26,26,61.38,61.2,530,539,1620.4320000000002,-1591.2,-4.861296
0,132,0,0,0.0,0.0,541,540,0.0,0.0,0.0
0,132,26,26,61.94,61.55,551,559,1635.2160000000001,-1600.3,-4.905648
