,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,48,0,48,0.0,143.95,0,0,7000.0,7000.0,21.0
0,48,9,9,144.37,143.7,2,9,1385.9520000000002,-1293.3,-4.157856000000001
0,48,0,0,0.0,0.0,19,13,0.0,0.0,0.0
0,48,0,0,0.0,0.0,29,26,0.0,0.0,0.0
0,48,0,0,0.0,0.0,37,32,0.0,0.0,0.0
0,48,9,9,142.5,142.1,43,47,1368.0,-1278.8999999999999,-4.104
0,48,0,0,0.0,0.0,58,50,0.0,0.0,0.0
0,48,9,9,142.0,140.5,61,64,1363.2,-1264.5,-4.0896
0,48,9,9,144.0,141.0,71,79,1382.4,-1269.0,-4.147200000000001
0,48,9,9,144.5,143.81,85,89,1387.2,-1294.29,-4.1616
0,48,0,0,0.0,0.0,99,91,0.0,0.0,0.0
0,48,9,9,145.0,144.49,100,107,1392.0,-1300.41,-4.176
0,48,9,9,145.55,145.0,111,119,1397.2800000000002,-1305.0,-4.19184
0,48,9,9,145.94,145.5,121,129,1401.0240000000001,-1309.5,-4.203072000000001
0,48,0,0,0.0,0.0,139,136,0.0,0.0,0.0
0,48,0,0,0.0,0.0,142,140,0.0,0.0,0.0
0,48,9,9,145.9,145.55,150,156,1400.6400000000003,-1309.95,-4.20192
0,48,9,9,146.0,145.4,161,169,1401.6000000000001,-1308.6000000000001,-4.2048000000000005
0,48,9,9,146.25,146.0,170,177,1404.0,-1314.0,-4.212
0,48,9,9,146.3,145.75,180,189,1404.4800000000002,-1311.75,-4.21344
0,48,0,0,0.0,0.0,198,193,0.0,0.0,0.0
0,48,9,9,146.62,146.2,200,209,1407.5520000000001,-1315.8,-4.222656
0,48,0,0,0.0,0.0,219,213,0.0,0.0,0.0
0,48,0,0,0.0,0.0,229,228,0.0,0.0,0.0
0,48,9,9,146.5,146.0,234,239,1406.4,-1314.0,-4.2192
0,48,9,9,147.3,146.55,240,247,1414.0800000000002,-1318.95,-4.242240000000001
0,48,9,9,147.49,147.0,254,258,1415.9040000000002,-1323.0,-4.247712000000001
0,48,0,0,0.0,0.0,267,262,0.0,0.0,0.0
0,48,0,0,0.0,0.0,279,271,0.0,0.0,0.0
0,48,0,0,0.0,0.0,289,284,0.0,0.0,0.0
0,48,0,0,0.0,0.0,298,292,0.0,0.0,0.0
0,48,9,9,144.5,144.0,303,309,1387.2,-1296.0,-4.1616
0,48,0,0,0.0,0.0,318,312,0.0,0.0,0.0
0,48,0,0,0.0,0.0,329,321,0.0,0.0,0.0
0,48,0,0,0.0,0.0,337,330,0.0,0.0,0.0
0,48,9,9,144.71,143.99,340,345,1389.2160000000001,-1295.91,-4.167648000000001
0,48,9,9,144.3,143.9,350,355,1385.2800000000002,-1295.1000000000001,-4.15584
0,48,0,0,0.0,0.0,369,360,0.0,0.0,0.0
0,48,0,0,0.0,0.0,379,372,0.0,0.0,0.0
0,48,0,0,0.0,0.0,389,382,0.0,0.0,0.0
0,48,9,9,142.8,142.1,393,397,1370.88,-1278.8999999999999,-4.11264
0,48,0,0,0.0,0.0,409,400,0.0,0.0,0.0
0,48,9,9,142.1,142.01,416,418,1364.1599999999999,-1278.09,-4.092479999999999
0,48,9,9,142.8,142.07,420,428,1370.88,-1278.6299999999999,-4.11264
0,48,0,0,0.0,0.0,435,431,0.0,0.0,0.0
0,48,9,9,142.98,142.5,444,447,1372.608,-1282.5,-4.117824
0,48,9,9,144.0,142.5,451,455,1382.4,-1282.5,-4.147200000000001
0,48,9,9,144.85,144.03,465,469,1390.56,-1296.27,-4.171679999999999
0,48,9,9,145.1,144.7,472,473,1392.96,-1302.3,-4.1788799999999995
