,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,1386,0,1386,0.0,5.05,0,0,7000.0,7000.0,21.0
0,1386,0,0,0.0,0.0,5,1,0.0,0.0,0.0
0,1396,277,287,5.25,5.05,10,15,1455.3000000000002,-1449.35,-4.365900000000001
0,1400,279,283,5.25,5.15,25,29,1465.8000000000002,-1457.45,-4.397400000000001
0,1400,280,280,5.27,5.24,35,39,1475.6,-1467.2,-4.426799999999999
0,1400,0,0,0.0,0.0,49,47,0.0,0.0,0.0
0,1400,280,280,5.3,5.27,50,59,1484.0,-1475.6,-4.452
0,1400,0,0,0.0,0.0,69,60,0.0,0.0,0.0
0,1405,280,285,5.33,5.22,72,78,1492.4,-1487.6999999999998,-4.477200000000001
0,1409,281,285,5.4,5.3,81,89,1517.4000000000003,-1510.5,-4.552200000000001
0,1409,0,0,0.0,0.0,99,90,0.0,0.0,0.0
0,1413,281,285,5.38,5.3,100,102,1516.084,-1510.5,-4.548252
0,1417,282,286,5.38,5.3,111,116,1520.388,-1515.8,-4.561164
0,1417,0,0,0.0,0.0,128,121,0.0,0.0,0.0
0,1421,283,287,5.39,5.3,133,139,1527.5259999999998,-1521.1,-4.582577999999999
0,1421,0,0,0.0,0.0,142,140,0.0,0.0,0.0
0,1421,284,284,5.51,5.49,150,155,1565.942,-1559.16,-4.697826
0,1421,0,0,0.0,0.0,168,160,0.0,0.0,0.0
0,1421,0,0,0.0,0.0,176,170,0.0,0.0,0.0
0,1424,284,287,5.5,5.42,180,187,1563.1000000000001,-1555.54,-4.6893
0,1426,284,286,5.5,5.45,194,199,1566.4,-1558.7,-4.6992
0,1426,0,0,0.0,0.0,208,203,0.0,0.0,0.0
0,1426,0,0,0.0,0.0,217,214,0.0,0.0,0.0
0,1426,0,0,0.0,0.0,229,227,0.0,0.0,0.0
0,1426,0,0,0.0,0.0,239,231,0.0,0.0,0.0
0,1432,285,291,5.5,5.37,243,249,1568.6000000000001,-1562.67,-4.705800000000001
0,1432,0,0,0.0,0.0,253,250,0.0,0.0,0.0
0,1432,0,0,0.0,0.0,269,261,0.0,0.0,0.0
0,1436,286,290,5.6,5.5,270,278,1603.8400000000001,-1595.0,-4.811520000000001
0,1436,0,0,0.0,0.0,284,283,0.0,0.0,0.0
0,1436,0,0,0.0,0.0,299,290,0.0,0.0,0.0
0,1436,0,0,0.0,0.0,308,304,0.0,0.0,0.0
0,1441,287,292,5.51,5.4,310,319,1582.472,-1576.8000000000002,-4.747415999999999
0,1441,288,288,5.53,5.5,328,329,1593.746,-1584.0,-4.781238
0,1441,0,0,0.0,0.0,337,334,0.0,0.0,0.0
0,1441,0,0,0.0,0.0,344,340,0.0,0.0,0.0
0,1448,288,295,5.75,5.6,354,359,1657.15,-1652.0,-4.97145
0,1450,289,291,5.75,5.7,363,369,1665.2,-1658.7,-4.9956000000000005
0,1452,290,292,5.74,5.68,372,376,1664.6000000000001,-1658.56,-4.9938
0,1457,290,295,5.78,5.66,382,389,1678.512,-1669.7,-5.035536
0,1458,291,292,5.8,5.76,391,398,1690.1200000000001,-1681.9199999999998,-5.07036
0,1460,291,293,5.85,5.8,401,409,1705.86,-1699.3999999999999,-5.117579999999999
0,1461,292,293,5.89,5.85,410,417,1719.88,-1714.05,-5.1596400000000004
0,1460,292,291,5.9,5.89,420,423,1723.98,-1713.99,-5.171939999999999
0,1461,292,293,5.95,5.9,432,439,1737.4,-1728.7,-5.2122
0,1462,292,293,5.97,5.92,445,449,1744.4340000000002,-1734.56,-5.233302
0,1474,292,304,6.0,5.75,453,458,1754.4,-1748.0,-5.2632
0,1478,294,298,6.1,6.0,460,465,1798.28,-1788.0,-5.394839999999999
0,1483,295,300,6.18,6.06,473,475,1826.808,-1817.9999999999998,-5.480423999999999
0,1486,296,299,6.2,6.12,483,489,1838.92,-1829.88,-5.5167600000000006
0,1487,297,298,6.19,6.15,494,497,1839.6680000000001,-1832.7,-5.519004
0,1487,0,0,0.0,0.0,507,500,0.0,0.0,0.0
0,1487,0,0,0.0,0.0,513,512,0.0,0.0,0.0
0,1490,297,300,6.1,6.01,520,525,1814.1399999999999,-1803.0,-5.442419999999999
0,1490,0,0,0.0,0.0,537,530,0.0,0.0,0.0
0,1490,0,0,0.0,0.0,545,540,0.0,0.0,0.0
0,1500,298,308,6.24,6.0,551,555,1859.5200000000002,-1848.0,-5.57856
0,1501,300,301,6.3,6.25,560,565,1890.0,-1881.25,-5.67
0,1501,0,0,0.0,0.0,576,570,0.0,0.0,0.0
0,1501,0,0,0.0,0.0,589,584,0.0,0.0,0.0
0,1504,300,303,6.24,6.15,591,598,1873.248,-1863.45,-5.619744
0,1504,0,0,0.0,0.0,609,605,0.0,0.0,0.0
0,1504,0,0,0.0,0.0,617,615,0.0,0.0,0.0
0,1504,0,0,0.0,0.0,627,624,0.0,0.0,0.0
0,1506,300,302,6.04,5.99,635,638,1816.832,-1808.98,-5.450496
0,1506,0,0,0.0,0.0,649,640,0.0,0.0,0.0
0,1506,0,0,0.0,0.0,659,652,0.0,0.0,0.0
0,1507,301,302,6.0,5.96,660,669,1807.2,-1799.92,-5.4216
0,1506,301,300,6.0,5.99,672,676,1808.4,-1797.0,-5.4252
