,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,225,0,225,0.0,31.1,0,0,7000.0,7000.0,21.0
0,225,45,45,31.24,31.03,1,6,1405.8000000000002,-1396.3500000000001,-4.2174000000000005
0,225,0,0,0.0,0.0,19,15,0.0,0.0,0.0
0,225,0,0,0.0,0.0,27,25,0.0,0.0,0.0
0,225,0,0,0.0,0.0,36,30,0.0,0.0,0.0
0,224,45,44,30.97,30.89,43,49,1393.65,-1359.16,-4.18095
0,224,0,0,0.0,0.0,57,55,0.0,0.0,0.0
0,225,44,45,32.0,31.3,61,66,1433.6000000000001,-1408.5,-4.300800000000001
0,225,0,0,0.0,0.0,79,74,0.0,0.0,0.0
0,225,45,45,31.89,31.5,80,86,1435.0500000000002,-1417.5,-4.30515
0,225,45,45,31.75,31.65,95,98,1428.75,-1424.25,-4.28625
0,225,45,45,31.99,31.8,100,109,1439.5500000000002,-1431.0,-4.318650000000001
0,225,45,45,32.1,31.93,111,119,1444.5,-1436.85,-4.3335
0,225,0,0,0.0,0.0,128,125,0.0,0.0,0.0
0,225,45,45,32.45,32.0,131,139,1460.2500000000002,-1440.0,-4.380750000000001
0,225,0,0,0.0,0.0,148,140,0.0,0.0,0.0
0,225,0,0,0.0,0.0,159,152,0.0,0.0,0.0
0,225,45,45,32.49,32.39,160,169,1462.0500000000002,-1457.55,-4.386150000000001
0,224,45,44,32.49,32.49,170,179,1462.0500000000002,-1429.5600000000002,-4.386150000000001
0,224,0,0,0.0,0.0,188,185,0.0,0.0,0.0
0,224,0,0,0.0,0.0,199,190,0.0,0.0,0.0
0,224,44,44,32.49,32.3,200,209,1455.5520000000001,-1421.1999999999998,-4.366656000000001
0,224,0,0,0.0,0.0,212,210,0.0,0.0,0.0
0,224,0,0,0.0,0.0,226,223,0.0,0.0,0.0
0,224,0,0,0.0,0.0,239,232,0.0,0.0,0.0
0,224,0,0,0.0,0.0,244,240,0.0,0.0,0.0
0,224,0,0,0.0,0.0,257,253,0.0,0.0,0.0
0,224,44,44,32.49,32.39,263,269,1455.5520000000001,-1425.16,-4.366656000000001
0,225,44,45,33.25,32.33,273,279,1489.6000000000001,-1454.85,-4.468800000000001
0,225,0,0,0.0,0.0,289,280,0.0,0.0,0.0
0,225,45,45,33.0,32.6,293,297,1485.0,-1467.0,-4.455
0,225,45,45,33.2,32.91,302,307,1494.0000000000002,-1480.9499999999998,-4.482
0,224,45,44,33.0,32.91,313,317,1485.0,-1448.04,-4.455
0,224,0,0,0.0,0.0,329,320,0.0,0.0,0.0
0,224,44,44,32.8,32.7,333,339,1469.4399999999998,-1438.8000000000002,-4.40832
0,224,0,0,0.0,0.0,347,340,0.0,0.0,0.0
0,225,44,45,33.15,32.75,350,357,1485.12,-1473.75,-4.45536
0,225,45,45,33.2,33.0,360,368,1494.0000000000002,-1485.0,-4.482
0,224,45,44,33.28,33.24,370,379,1497.6000000000001,-1462.5600000000002,-4.492800000000001
0,224,0,0,0.0,0.0,388,385,0.0,0.0,0.0
0,224,44,44,33.3,33.24,392,398,1491.84,-1462.5600000000002,-4.4755199999999995
0,224,44,44,33.35,33.12,401,409,1494.0800000000002,-1457.28,-4.482240000000001
0,224,44,44,33.4,33.27,411,419,1496.32,-1463.88,-4.48896
0,224,0,0,0.0,0.0,428,427,0.0,0.0,0.0
0,224,0,0,0.0,0.0,439,433,0.0,0.0,0.0
0,224,44,44,33.4,33.26,440,449,1496.32,-1463.4399999999998,-4.48896
0,225,44,45,34.0,33.34,450,453,1523.2,-1500.3000000000002,-4.5696
0,225,45,45,34.1,33.94,460,468,1534.5,-1527.3,-4.6034999999999995
0,225,0,0,0.0,0.0,479,470,0.0,0.0,0.0
0,225,45,45,34.1,33.81,480,484,1534.5,-1521.45,-4.6034999999999995
0,225,0,0,0.0,0.0,498,491,0.0,0.0,0.0
0,224,45,44,34.11,34.11,500,508,1534.95,-1500.84,-4.60485
0,224,0,0,0.0,0.0,517,510,0.0,0.0,0.0
0,224,0,0,0.0,0.0,527,521,0.0,0.0,0.0
0,224,44,44,34.11,33.9,535,539,1528.128,-1491.6,-4.584383999999999
0,224,0,0,0.0,0.0,549,540,0.0,0.0,0.0
0,225,44,45,34.39,34.0,550,554,1540.6720000000003,-1530.0,-4.622016
0,225,0,0,0.0,0.0,569,562,0.0,0.0,0.0
0,225,0,0,0.0,0.0,577,570,0.0,0.0,0.0
0,225,45,45,33.7,33.35,580,589,1516.5000000000002,-1500.75,-4.549500000000001
0,225,45,45,34.0,33.73,590,592,1530.0,-1517.85,-4.59
0,225,45,45,34.55,33.75,601,609,1554.75,-1518.75,-4.66425
0,225,45,45,34.9,34.65,610,619,1570.5,-1559.25,-4.7115
0,225,0,0,0.0,0.0,626,621,0.0,0.0,0.0
0,225,45,45,35.29,34.99,630,638,1588.0500000000002,-1574.5500000000002,-4.76415
0,225,45,45,35.35,35.2,640,649,1590.75,-1584.0000000000002,-4.77225
0,225,0,0,0.0,0.0,653,652,0.0,0.0,0.0
0,225,0,0,0.0,0.0,667,665,0.0,0.0,0.0
0,225,0,0,0.0,0.0,679,674,0.0,0.0,0.0
0,225,0,0,0.0,0.0,683,681,0.0,0.0,0.0
0,225,45,45,35.59,35.15,695,699,1601.5500000000002,-1581.75,-4.8046500000000005
0,224,45,44,35.78,35.7,700,709,1610.1000000000001,-1570.8000000000002,-4.8303
0,224,0,0,0.0,0.0,714,710,0.0,0.0,0.0
0,224,44,44,35.78,35.62,722,729,1602.9440000000002,-1567.28,-4.808832000000001
0,226,44,46,37.0,35.62,732,739,1657.6000000000001,-1638.52,-4.9728
0,226,0,0,0.0,0.0,749,740,0.0,0.0,0.0
0,226,45,45,37.09,36.75,750,755,1676.468,-1653.75,-5.029404
0,226,0,0,0.0,0.0,765,761,0.0,0.0,0.0
0,226,45,45,37.0,36.9,771,773,1672.4,-1660.5,-5.017200000000001
0,226,45,45,37.0,36.8,782,788,1672.4,-1655.9999999999998,-5.017200000000001
0,226,45,45,37.5,36.9,791,799,1695.0,-1660.5,-5.085
0,226,0,0,0.0,0.0,806,804,0.0,0.0,0.0
0,226,0,0,0.0,0.0,819,811,0.0,0.0,0.0
0,226,0,0,0.0,0.0,828,823,0.0,0.0,0.0
0,226,0,0,0.0,0.0,839,830,0.0,0.0,0.0
0,226,45,45,36.9,36.5,840,849,1667.88,-1642.5,-5.003640000000001
0,226,45,45,36.8,36.6,854,859,1663.36,-1647.0,-4.990079999999999
0,226,45,45,37.0,36.76,861,869,1672.4,-1654.1999999999998,-5.017200000000001
0,226,45,45,37.0,36.95,876,879,1672.4,-1662.7500000000002,-5.017200000000001
0,226,45,45,37.01,37.0,887,889,1672.852,-1665.0,-5.018556
0,226,0,0,0.0,0.0,899,890,0.0,0.0,0.0
0,226,0,0,0.0,0.0,904,901,0.0,0.0,0.0
0,226,45,45,37.0,36.4,911,919,1672.4,-1638.0,-5.017200000000001
0,226,0,0,0.0,0.0,927,920,0.0,0.0,0.0
0,226,45,45,37.05,36.91,932,939,1674.6599999999999,-1660.9499999999998,-5.023979999999999
0,226,45,45,37.45,37.1,940,946,1692.7400000000002,-1669.5,-5.078220000000001
0,226,0,0,0.0,0.0,956,950,0.0,0.0,0.0
0,226,0,0,0.0,0.0,969,960,0.0,0.0,0.0
0,226,0,0,0.0,0.0,979,972,0.0,0.0,0.0
0,226,0,0,0.0,0.0,989,983,0.0,0.0,0.0
0,226,0,0,0.0,0.0,998,992,0.0,0.0,0.0
0,226,45,45,36.45,36.3,1002,1005,1647.5400000000002,-1633.4999999999998,-4.942620000000001
0,226,45,45,36.49,36.3,1012,1019,1649.348,-1633.4999999999998,-4.948044
0,226,0,0,0.0,0.0,1022,1020,0.0,0.0,0.0
0,226,45,45,36.48,36.11,1030,1038,1648.896,-1624.95,-4.946688
0,226,0,0,0.0,0.0,1047,1040,0.0,0.0,0.0
0,226,45,45,36.49,36.0,1051,1059,1649.348,-1620.0,-4.948044
0,226,0,0,0.0,0.0,1067,1065,0.0,0.0,0.0
0,226,45,45,36.85,36.55,1071,1078,1665.6200000000001,-1644.7499999999998,-4.996860000000001
0,226,0,0,0.0,0.0,1087,1084,0.0,0.0,0.0
0,226,45,45,37.0,36.64,1090,1099,1672.4,-1648.8,-5.017200000000001
0,226,0,0,0.0,0.0,1109,1101,0.0,0.0,0.0
0,226,45,45,37.0,36.62,1110,1119,1672.4,-1647.8999999999999,-5.017200000000001
0,226,45,45,37.22,37.0,1120,1126,1682.344,-1665.0,-5.047032
0,226,0,0,0.0,0.0,1137,1132,0.0,0.0,0.0
