,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,94,0,94,0.0,74.0,0,0,7000.0,7000.0,21.0
0,94,18,18,74.4,74.0,0,4,1398.7200000000003,-1332.0,-4.196160000000001
0,94,18,18,74.97,74.12,13,16,1409.4360000000001,-1334.16,-4.228308
0,94,0,0,0.0,0.0,29,20,0.0,0.0,0.0
0,94,0,0,0.0,0.0,39,30,0.0,0.0,0.0
0,94,18,18,74.0,73.61,42,49,1391.2,-1324.98,-4.1736
0,94,0,0,0.0,0.0,58,53,0.0,0.0,0.0
0,94,18,18,74.1,73.7,62,69,1393.08,-1326.6000000000001,-4.17924
0,94,18,18,74.25,73.98,72,78,1395.9,-1331.64,-4.1877
0,94,0,0,0.0,0.0,89,85,0.0,0.0,0.0
0,94,0,0,0.0,0.0,97,90,0.0,0.0,0.0
0,94,18,18,74.34,74.02,100,105,1397.592,-1332.36,-4.192776
0,94,18,18,74.5,74.3,112,118,1400.6000000000001,-1337.3999999999999,-4.2018
0,94,0,0,0.0,0.0,129,128,0.0,0.0,0.0
0,94,0,0,0.0,0.0,137,131,0.0,0.0,0.0
0,94,18,18,74.38,74.28,140,147,1398.344,-1337.04,-4.195032
0,94,18,18,74.5,74.3,150,159,1400.6000000000001,-1337.3999999999999,-4.2018
0,94,18,18,74.69,74.5,160,169,1404.172,-1341.0,-4.212516
0,94,0,0,0.0,0.0,179,172,0.0,0.0,0.0
0,94,18,18,74.4,74.25,180,184,1398.7200000000003,-1336.5,-4.196160000000001
0,94,0,0,0.0,0.0,199,194,0.0,0.0,0.0
0,94,18,18,74.54,74.0,204,209,1401.352,-1332.0,-4.204056
0,94,18,18,74.75,74.6,210,219,1405.3000000000002,-1342.8,-4.2159
0,94,18,18,74.89,74.8,220,229,1407.932,-1346.3999999999999,-4.223796
0,94,18,18,75.0,74.9,230,235,1410.0,-1348.2,-4.23
0,94,0,0,0.0,0.0,249,247,0.0,0.0,0.0
0,94,0,0,0.0,0.0,259,250,0.0,0.0,0.0
0,94,0,0,0.0,0.0,266,261,0.0,0.0,0.0
0,94,0,0,0.0,0.0,279,271,0.0,0.0,0.0
0,94,18,18,74.25,73.91,284,289,1395.9,-1330.3799999999999,-4.1877
0,94,0,0,0.0,0.0,299,291,0.0,0.0,0.0
0,94,18,18,74.0,73.7,302,308,1391.2,-1326.6000000000001,-4.1736
0,94,0,0,0.0,0.0,318,310,0.0,0.0,0.0
0,94,0,0,0.0,0.0,328,322,0.0,0.0,0.0
0,94,0,0,0.0,0.0,336,331,0.0,0.0,0.0
0,94,0,0,0.0,0.0,348,340,0.0,0.0,0.0
0,94,18,18,73.75,73.13,355,358,1386.5,-1316.34,-4.1594999999999995
0,94,0,0,0.0,0.0,368,364,0.0,0.0,0.0
0,94,18,18,73.78,73.6,374,377,1387.064,-1324.8,-4.161192000000001
0,94,0,0,0.0,0.0,389,381,0.0,0.0,0.0
0,94,0,0,0.0,0.0,399,398,0.0,0.0,0.0
0,94,18,18,73.7,73.6,400,407,1385.5600000000002,-1324.8,-4.156680000000001
0,94,0,0,0.0,0.0,418,413,0.0,0.0,0.0
0,94,0,0,0.0,0.0,427,422,0.0,0.0,0.0
0,94,18,18,73.8,73.52,430,436,1387.44,-1323.36,-4.16232
0,94,18,18,73.85,73.62,442,449,1388.38,-1325.16,-4.16514
0,95,18,19,76.0,73.9,450,459,1428.8000000000002,-1404.1000000000001,-4.2864
0,95,19,19,76.9,76.25,460,467,1461.1000000000004,-1448.75,-4.383300000000001
0,94,19,18,76.7,76.5,472,476,1457.3000000000002,-1377.0,-4.371900000000001
0,94,0,0,0.0,0.0,488,480,0.0,0.0,0.0
0,94,0,0,0.0,0.0,495,490,0.0,0.0,0.0
0,94,18,18,76.25,76.0,500,506,1433.5,-1368.0,-4.3005
0,94,18,18,76.3,76.1,512,513,1434.44,-1369.8,-4.30332
0,94,0,0,0.0,0.0,527,520,0.0,0.0,0.0
0,94,0,0,0.0,0.0,537,534,0.0,0.0,0.0
0,94,0,0,0.0,0.0,547,540,0.0,0.0,0.0
0,94,0,0,0.0,0.0,559,550,0.0,0.0,0.0
0,94,18,18,76.39,76.0,560,569,1436.132,-1368.0,-4.308396
0,94,0,0,0.0,0.0,579,576,0.0,0.0,0.0
0,94,0,0,0.0,0.0,587,584,0.0,0.0,0.0
0,94,0,0,0.0,0.0,599,590,0.0,0.0,0.0
0,94,18,18,76.15,75.76,601,609,1431.6200000000001,-1363.68,-4.294860000000001
0,94,18,18,76.3,76.15,610,618,1434.44,-1370.7,-4.30332
0,94,0,0,0.0,0.0,626,623,0.0,0.0,0.0
0,94,0,0,0.0,0.0,639,633,0.0,0.0,0.0
0,94,18,18,75.85,75.71,640,645,1425.98,-1362.78,-4.27794
0,94,18,18,76.09,75.89,650,659,1430.4920000000002,-1366.02,-4.291476000000001
0,94,18,18,76.19,76.08,660,669,1432.372,-1369.44,-4.297116000000001
0,94,18,18,76.25,76.2,670,679,1433.5,-1371.6000000000001,-4.3005
0,94,18,18,76.3,76.24,685,689,1434.44,-1372.32,-4.30332
0,94,18,18,76.3,76.3,690,694,1434.44,-1373.3999999999999,-4.30332
0,94,18,18,76.51,76.2,700,708,1438.3880000000001,-1371.6000000000001,-4.315164
0,94,18,18,76.78,76.3,714,719,1443.464,-1373.3999999999999,-4.330392
0,94,18,18,76.95,76.75,720,729,1446.66,-1381.5,-4.33998
0,94,0,0,0.0,0.0,739,734,0.0,0.0,0.0
0,94,0,0,0.0,0.0,745,740,0.0,0.0,0.0
0,94,18,18,77.2,76.99,750,755,1451.3600000000001,-1385.82,-4.354080000000001
0,94,0,0,0.0,0.0,769,761,0.0,0.0,0.0
0,94,18,18,77.29,76.95,770,779,1453.0520000000001,-1385.1000000000001,-4.3591560000000005
0,94,18,18,77.3,77.3,780,789,1453.24,-1391.3999999999999,-4.35972
0,94,18,18,77.34,77.3,790,799,1453.9920000000002,-1391.3999999999999,-4.361976
0,94,0,0,0.0,0.0,809,800,0.0,0.0,0.0
0,94,0,0,0.0,0.0,816,810,0.0,0.0,0.0
0,94,0,0,0.0,0.0,829,820,0.0,0.0,0.0
0,94,0,0,0.0,0.0,839,830,0.0,0.0,0.0
0,94,18,18,76.85,76.74,846,847,1444.78,-1381.32,-4.33434
0,94,18,18,77.0,76.8,852,859,1447.6000000000001,-1382.3999999999999,-4.3428
0,94,0,0,0.0,0.0,867,860,0.0,0.0,0.0
0,94,18,18,77.2,76.99,870,877,1451.3600000000001,-1385.82,-4.354080000000001
0,94,0,0,0.0,0.0,886,881,0.0,0.0,0.0
0,94,18,18,77.33,77.13,890,899,1453.804,-1388.34,-4.3614120000000005
0,94,18,18,77.34,77.33,900,905,1453.9920000000002,-1391.94,-4.361976
0,95,18,19,78.5,77.34,910,919,1475.8000000000002,-1469.46,-4.4274000000000004
0,94,19,18,78.55,78.45,926,929,1492.45,-1412.1000000000001,-4.47735
0,94,18,18,79.2,78.55,930,939,1488.96,-1413.8999999999999,-4.46688
0,94,0,0,0.0,0.0,946,940,0.0,0.0,0.0
0,94,18,18,79.0,78.49,953,959,1485.2,-1412.82,-4.4556000000000004
0,94,0,0,0.0,0.0,969,963,0.0,0.0,0.0
0,94,0,0,0.0,0.0,975,970,0.0,0.0,0.0
0,94,0,0,0.0,0.0,988,981,0.0,0.0,0.0
0,94,0,0,0.0,0.0,999,990,0.0,0.0,0.0
0,94,0,0,0.0,0.0,1009,1000,0.0,0.0,0.0
0,94,18,18,78.24,78.0,1011,1013,1470.912,-1404.0,-4.412736
0,94,18,18,78.7,78.0,1020,1029,1479.5600000000002,-1404.0,-4.438680000000001
0,94,18,18,79.35,78.9,1030,1038,1491.78,-1420.2,-4.47534
0,94,18,18,79.57,79.35,1040,1048,1495.916,-1428.3,-4.487748
0,94,18,18,79.97,79.43,1050,1058,1503.4360000000001,-1429.7400000000002,-4.510308000000001
0,94,18,18,80.28,79.9,1061,1069,1509.2640000000001,-1438.2,-4.527792
0,94,18,18,80.55,80.3,1070,1075,1514.3400000000001,-1445.3999999999999,-4.54302
0,94,0,0,0.0,0.0,1089,1081,0.0,0.0,0.0
0,94,18,18,80.05,79.7,1095,1097,1504.94,-1434.6000000000001,-4.51482
0,94,18,18,79.99,79.81,1102,1106,1503.812,-1436.58,-4.511436
0,94,18,18,79.9,79.6,1114,1119,1502.1200000000001,-1432.8,-4.50636
0,94,18,18,80.25,79.82,1120,1129,1508.7,-1436.7599999999998,-4.5261000000000005
0,94,18,18,80.5,80.3,1130,1137,1513.4,-1445.3999999999999,-4.5402000000000005
0,94,0,0,0.0,0.0,1149,1140,0.0,0.0,0.0
0,94,0,0,0.0,0.0,1159,1154,0.0,0.0,0.0
0,94,18,18,80.5,79.86,1166,1169,1513.4,-1437.48,-4.5402000000000005
0,94,18,18,81.0,80.7,1170,1179,1522.8000000000002,-1452.6000000000001,-4.5684000000000005
0,94,0,0,0.0,0.0,1183,1180,0.0,0.0,0.0
0,94,18,18,80.99,80.85,1190,1198,1522.612,-1455.3,-4.567836000000001
0,94,18,18,81.2,80.8,1200,1209,1526.5600000000002,-1454.3999999999999,-4.579680000000001
0,94,0,0,0.0,0.0,1219,1212,0.0,0.0,0.0
0,94,18,18,81.2,80.2,1221,1229,1526.5600000000002,-1443.6000000000001,-4.579680000000001
0,94,0,0,0.0,0.0,1239,1233,0.0,0.0,0.0
0,94,18,18,81.2,80.99,1243,1247,1526.5600000000002,-1457.82,-4.579680000000001
0,94,18,18,81.6,81.0,1251,1258,1534.08,-1458.0,-4.60224
0,94,18,18,82.15,81.6,1260,1269,1544.42,-1468.8,-4.63326
0,94,18,18,82.5,82.26,1271,1279,1551.0,-1480.68,-4.653
