,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,40,0,40,0.0,173.98,0,0,7000.0,7000.0,21.0
0,40,8,8,175.0,173.76,1,9,1400.0,-1390.08,-4.2
0,40,0,0,0.0,0.0,16,13,0.0,0.0,0.0
0,40,8,8,175.24,174.49,21,29,1401.92,-1395.92,-4.205760000000001
0,40,0,0,0.0,0.0,39,32,0.0,0.0,0.0
0,40,0,0,0.0,0.0,49,42,0.0,0.0,0.0
0,40,8,8,174.85,173.8,58,59,1398.8000000000002,-1390.4,-4.196400000000001
0,40,0,0,0.0,0.0,69,63,0.0,0.0,0.0
0,40,0,0,0.0,0.0,79,70,0.0,0.0,0.0
0,40,8,8,173.09,172.25,80,88,1384.7200000000003,-1378.0,-4.154160000000001
0,40,0,0,0.0,0.0,97,93,0.0,0.0,0.0
0,40,0,0,0.0,0.0,109,100,0.0,0.0,0.0
0,40,0,0,0.0,0.0,119,110,0.0,0.0,0.0
0,40,8,8,171.0,170.35,120,129,1368.0,-1362.8,-4.104
0,40,0,0,0.0,0.0,136,131,0.0,0.0,0.0
0,40,0,0,0.0,0.0,148,141,0.0,0.0,0.0
0,40,0,0,0.0,0.0,157,150,0.0,0.0,0.0
0,40,8,8,171.0,170.15,161,168,1368.0,-1361.2,-4.104
0,39,8,7,171.25,170.99,170,175,1370.0,-1196.93,-4.11
0,39,7,7,171.5,171.0,180,189,1337.7,-1197.0,-4.0131
0,39,7,7,172.0,170.7,198,199,1341.6000000000001,-1194.8999999999999,-4.0248
0,39,7,7,175.0,172.39,200,204,1365.0,-1206.73,-4.095
0,39,7,7,176.25,175.5,210,217,1374.75,-1228.5,-4.12425
0,39,0,0,0.0,0.0,229,228,0.0,0.0,0.0
0,39,7,7,177.0,176.0,230,239,1380.6000000000001,-1232.0,-4.1418
0,39,7,7,177.85,176.99,244,249,1387.23,-1238.93,-4.16169
0,39,7,7,179.6,178.0,250,259,1400.88,-1246.0,-4.202640000000001
0,39,7,7,179.6,179.6,260,263,1400.88,-1257.2,-4.202640000000001
0,39,0,0,0.0,0.0,279,270,0.0,0.0,0.0
0,39,0,0,0.0,0.0,288,280,0.0,0.0,0.0
0,39,0,0,0.0,0.0,299,290,0.0,0.0,0.0
0,39,7,7,178.55,177.51,305,309,1392.6900000000003,-1242.57,-4.178070000000001
0,39,7,7,179.0,178.5,310,317,1396.2,-1249.5,-4.1886
0,39,0,0,0.0,0.0,328,320,0.0,0.0,0.0
0,39,7,7,178.7,178.39,331,339,1393.86,-1248.73,-4.181579999999999
0,39,0,0,0.0,0.0,349,340,0.0,0.0,0.0
0,39,0,0,0.0,0.0,359,350,0.0,0.0,0.0
0,39,7,7,177.9,177.12,363,367,1387.6200000000001,-1239.8400000000001,-4.16286
