,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,35,0,35,0.0,199.73,0,0,7000.0,7000.0,21.0
0,35,0,0,0.0,0.0,9,2,0.0,0.0,0.0
0,35,0,0,0.0,0.0,19,15,0.0,0.0,0.0
0,35,0,0,0.0,0.0,29,20,0.0,0.0,0.0
0,35,0,0,0.0,0.0,39,30,0.0,0.0,0.0
0,35,7,7,194.9,194.0,40,49,1364.3000000000002,-1358.0,-4.0929
0,35,7,7,196.0,194.7,50,59,1372.0,-1362.8999999999999,-4.116
0,35,0,0,0.0,0.0,68,60,0.0,0.0,0.0
0,35,0,0,0.0,0.0,78,73,0.0,0.0,0.0
0,35,0,0,0.0,0.0,86,80,0.0,0.0,0.0
0,35,7,7,191.49,190.5,90,96,1340.4300000000003,-1333.5,-4.0212900000000005
0,35,0,0,0.0,0.0,106,102,0.0,0.0,0.0
0,35,7,7,193.4,191.4,110,117,1353.8000000000002,-1339.8,-4.061400000000001
0,35,7,7,192.9,192.0,127,129,1350.3000000000002,-1344.0,-4.0509
0,35,7,7,194.99,190.1,138,139,1364.9300000000003,-1330.7,-4.0947900000000015
0,35,0,0,0.0,0.0,149,140,0.0,0.0,0.0
0,35,7,7,197.0,196.0,151,159,1379.0,-1372.0,-4.137
0,35,0,0,0.0,0.0,168,166,0.0,0.0,0.0
0,35,7,7,197.98,196.75,176,179,1385.86,-1377.25,-4.15758
0,35,7,7,199.0,197.0,181,189,1393.0,-1379.0,-4.179
0,35,0,0,0.0,0.0,199,192,0.0,0.0,0.0
0,35,7,7,197.3,195.5,204,206,1381.1000000000001,-1368.5,-4.143300000000001
0,35,7,7,196.98,195.5,213,217,1378.86,-1368.5,-4.1365799999999995
0,35,0,0,0.0,0.0,229,227,0.0,0.0,0.0
0,35,7,7,196.25,195.4,232,239,1373.75,-1367.8,-4.12125
0,35,7,7,196.9,196.0,240,249,1378.3000000000002,-1372.0,-4.134900000000001
0,35,0,0,0.0,0.0,258,251,0.0,0.0,0.0
0,35,0,0,0.0,0.0,269,261,0.0,0.0,0.0
0,35,7,7,196.99,195.0,273,279,1378.9300000000003,-1365.0,-4.136790000000001
0,35,0,0,0.0,0.0,289,283,0.0,0.0,0.0
0,35,0,0,0.0,0.0,298,293,0.0,0.0,0.0
0,35,7,7,196.3,195.45,300,309,1374.1000000000001,-1368.1499999999999,-4.1223
0,35,7,7,196.2,195.01,313,319,1373.4,-1365.07,-4.1202000000000005
0,35,0,0,0.0,0.0,326,321,0.0,0.0,0.0
0,35,7,7,196.8,196.0,330,339,1377.6000000000001,-1372.0,-4.1328000000000005
0,35,0,0,0.0,0.0,345,340,0.0,0.0,0.0
0,35,0,0,0.0,0.0,355,350,0.0,0.0,0.0
0,35,7,7,196.6,196.0,365,369,1376.2,-1372.0,-4.1286000000000005
0,35,7,7,197.1,196.2,371,374,1379.7,-1373.3999999999999,-4.1391
0,35,7,7,197.5,196.9,380,389,1382.5,-1378.3,-4.1475
0,34,7,6,198.0,197.5,391,396,1386.0,-1185.0,-4.158
0,34,6,6,198.0,197.59,401,405,1346.4,-1185.54,-4.0392
0,34,0,0,0.0,0.0,417,410,0.0,0.0,0.0
0,34,0,0,0.0,0.0,429,422,0.0,0.0,0.0
0,34,0,0,0.0,0.0,436,432,0.0,0.0,0.0
0,34,0,0,0.0,0.0,449,440,0.0,0.0,0.0
0,34,6,6,198.99,197.0,450,456,1353.132,-1182.0,-4.059396
0,34,6,6,199.47,198.8,463,467,1356.396,-1192.8000000000002,-4.069188
0,34,6,6,200.0,198.99,473,479,1360.0,-1193.94,-4.08
0,34,6,6,200.5,200.0,483,488,1363.4,-1200.0,-4.0902
0,34,0,0,0.0,0.0,499,491,0.0,0.0,0.0
0,34,6,6,200.99,200.15,500,509,1366.732,-1200.9,-4.1001959999999995
0,34,6,6,201.5,201.0,512,517,1370.2,-1206.0,-4.1106
0,34,6,6,202.0,201.8,520,525,1373.6000000000001,-1210.8000000000002,-4.120800000000001
0,34,0,0,0.0,0.0,535,531,0.0,0.0,0.0
0,34,0,0,0.0,0.0,548,540,0.0,0.0,0.0
0,34,6,6,201.9,200.75,551,557,1372.92,-1204.5,-4.11876
0,34,0,0,0.0,0.0,569,560,0.0,0.0,0.0
0,34,6,6,201.0,200.0,570,578,1366.8000000000002,-1200.0,-4.1004000000000005
0,34,0,0,0.0,0.0,583,580,0.0,0.0,0.0
0,34,6,6,200.84,199.76,591,596,1365.7120000000002,-1198.56,-4.097136000000001
0,34,6,6,200.99,199.55,606,609,1366.732,-1197.3000000000002,-4.1001959999999995
0,34,6,6,202.75,200.75,610,619,1378.7,-1204.5,-4.1361
0,34,6,6,204.65,202.8,620,627,1391.6200000000001,-1216.8000000000002,-4.174860000000001
0,34,6,6,205.0,204.1,633,639,1394.0,-1224.6,-4.182
0,34,0,0,0.0,0.0,649,640,0.0,0.0,0.0
0,34,6,6,205.44,205.0,654,659,1396.9920000000002,-1230.0,-4.190976000000001
0,34,6,6,205.5,205.45,660,664,1397.4,-1232.6999999999998,-4.192200000000001
0,34,6,6,205.8,205.66,670,676,1399.4400000000003,-1233.96,-4.198320000000001
0,34,6,6,205.9,205.8,681,685,1400.1200000000001,-1234.8000000000002,-4.20036
0,34,0,0,0.0,0.0,699,698,0.0,0.0,0.0
0,34,0,0,0.0,0.0,705,700,0.0,0.0,0.0
0,34,6,6,204.44,203.02,714,719,1390.192,-1218.1200000000001,-4.170576
0,34,0,0,0.0,0.0,729,723,0.0,0.0,0.0
0,34,0,0,0.0,0.0,739,733,0.0,0.0,0.0
0,34,6,6,203.0,202.5,740,743,1380.4,-1215.0,-4.1412
0,34,0,0,0.0,0.0,759,750,0.0,0.0,0.0
0,34,0,0,0.0,0.0,766,760,0.0,0.0,0.0
0,34,0,0,0.0,0.0,775,771,0.0,0.0,0.0
0,34,6,6,199.69,199.0,781,786,1357.892,-1194.0,-4.073676
0,34,0,0,0.0,0.0,796,790,0.0,0.0,0.0
0,34,6,6,199.8,198.1,800,807,1358.6400000000003,-1188.6,-4.075920000000001
0,34,0,0,0.0,0.0,816,811,0.0,0.0,0.0
0,34,6,6,198.0,197.12,826,829,1346.4,-1182.72,-4.0392
0,34,6,6,198.4,197.3,830,838,1349.1200000000001,-1183.8000000000002,-4.04736
0,34,6,6,199.97,198.95,840,849,1359.796,-1193.6999999999998,-4.079388
0,34,0,0,0.0,0.0,858,850,0.0,0.0,0.0
0,34,6,6,200.0,199.45,860,869,1360.0,-1196.6999999999998,-4.08
0,34,6,6,201.0,200.0,870,879,1366.8000000000002,-1200.0,-4.1004000000000005
0,34,0,0,0.0,0.0,889,881,0.0,0.0,0.0
0,34,0,0,0.0,0.0,897,896,0.0,0.0,0.0
0,34,6,6,200.08,200.0,900,906,1360.544,-1200.0,-4.081632
0,34,0,0,0.0,0.0,919,914,0.0,0.0,0.0
0,34,6,6,199.99,198.51,922,929,1359.932,-1191.06,-4.079796
0,34,6,6,200.0,199.15,930,939,1360.0,-1194.9,-4.08
0,34,0,0,0.0,0.0,949,940,0.0,0.0,0.0
0,34,6,6,201.0,199.05,953,959,1366.8000000000002,-1194.3000000000002,-4.1004000000000005
0,34,6,6,201.9,201.1,960,969,1372.92,-1206.6,-4.11876
0,34,6,6,202.1,201.85,973,977,1374.28,-1211.1,-4.12284
0,34,6,6,202.5,202.0,980,989,1377.0,-1212.0,-4.130999999999999
