,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,141,0,141,0.0,49.5,0,0,7000.0,7000.0,21.0
0,142,28,29,52.5,49.5,0,7,1480.5,-1435.5,-4.4415
0,142,0,0,0.0,0.0,17,11,0.0,0.0,0.0
0,143,28,29,52.2,50.0,21,28,1482.4800000000002,-1450.0,-4.447440000000001
0,143,0,0,0.0,0.0,35,31,0.0,0.0,0.0
0,143,0,0,0.0,0.0,45,42,0.0,0.0,0.0
0,143,28,28,51.5,50.75,56,58,1472.9,-1421.0,-4.4187
0,144,28,29,54.0,51.5,63,67,1544.4,-1493.5,-4.6332
0,147,28,31,57.15,52.0,75,79,1645.92,-1612.0,-4.93776
0,148,29,30,59.45,57.52,80,83,1747.83,-1725.6000000000001,-5.2434899999999995
0,148,0,0,0.0,0.0,95,94,0.0,0.0,0.0
0,149,29,30,60.49,59.0,100,109,1790.5040000000001,-1770.0,-5.371512
0,150,29,30,62.0,60.01,113,119,1847.6000000000001,-1800.3,-5.5428
0,150,30,30,64.99,63.0,120,129,1949.7,-1890.0,-5.8491
0,152,30,32,69.25,63.01,133,139,2077.5,-2016.32,-6.2325
0,152,0,0,0.0,0.0,147,140,0.0,0.0,0.0
0,152,0,0,0.0,0.0,157,155,0.0,0.0,0.0
0,152,0,0,0.0,0.0,169,161,0.0,0.0,0.0
0,153,30,31,71.79,70.0,170,177,2182.4160000000006,-2170.0,-6.547248000000002
0,153,0,0,0.0,0.0,188,182,0.0,0.0,0.0
0,153,0,0,0.0,0.0,199,192,0.0,0.0,0.0
0,153,0,0,0.0,0.0,208,203,0.0,0.0,0.0
0,154,30,31,68.0,66.5,213,218,2080.8,-2061.5,-6.2424
0,155,30,31,69.0,68.0,224,228,2125.2000000000003,-2108.0,-6.3756
0,155,0,0,0.0,0.0,239,234,0.0,0.0,0.0
0,156,31,32,70.0,67.01,243,246,2170.0,-2144.32,-6.51
0,156,0,0,0.0,0.0,259,252,0.0,0.0,0.0
0,158,31,33,72.33,68.0,262,269,2256.696,-2244.0,-6.770087999999999
0,158,0,0,0.0,0.0,275,270,0.0,0.0,0.0
0,159,31,32,71.8,70.25,280,289,2268.88,-2248.0,-6.80664
0,159,0,0,0.0,0.0,298,295,0.0,0.0,0.0
0,160,31,32,71.7,71.0,304,309,2280.0600000000004,-2272.0,-6.840180000000002
0,160,32,32,72.0,71.5,316,319,2304.0,-2288.0,-6.911999999999999
0,160,32,32,72.33,71.52,326,329,2314.56,-2288.64,-6.94368
0,159,32,31,72.33,72.33,330,339,2314.56,-2242.23,-6.94368
0,159,0,0,0.0,0.0,342,340,0.0,0.0,0.0
0,160,31,32,73.99,72.35,352,359,2352.882,-2315.2,-7.058646
0,160,32,32,74.4,73.85,362,368,2380.8,-2363.2,-7.1424
0,160,32,32,74.43,74.0,372,379,2381.76,-2368.0,-7.1452800000000005
0,160,0,0,0.0,0.0,386,381,0.0,0.0,0.0
0,160,32,32,75.0,74.45,390,395,2400.0,-2382.4,-7.2
0,160,32,32,75.45,74.65,400,408,2414.4,-2388.8,-7.243200000000001
0,160,32,32,75.0,74.5,410,419,2400.0,-2384.0,-7.2
0,160,32,32,75.4,74.9,428,429,2412.8,-2396.8,-7.2384
0,160,0,0,0.0,0.0,435,430,0.0,0.0,0.0
0,160,0,0,0.0,0.0,449,443,0.0,0.0,0.0
0,160,32,32,74.0,72.1,450,459,2368.0,-2307.2,-7.104
0,160,0,0,0.0,0.0,469,460,0.0,0.0,0.0
0,160,0,0,0.0,0.0,479,474,0.0,0.0,0.0
0,160,0,0,0.0,0.0,481,480,0.0,0.0,0.0
0,160,32,32,72.4,71.0,490,495,2316.8,-2272.0,-6.950400000000001
0,160,0,0,0.0,0.0,508,505,0.0,0.0,0.0
0,160,32,32,72.49,72.01,516,519,2319.68,-2304.32,-6.959039999999999
0,160,0,0,0.0,0.0,526,520,0.0,0.0,0.0
0,160,32,32,72.75,72.35,530,538,2328.0,-2315.2,-6.984
0,160,32,32,72.74,72.51,540,549,2327.68,-2320.32,-6.98304
0,160,32,32,74.0,73.02,550,555,2368.0,-2336.64,-7.104
0,160,32,32,73.8,73.0,560,563,2361.6,-2336.0,-7.0847999999999995
0,160,0,0,0.0,0.0,575,570,0.0,0.0,0.0
0,160,32,32,73.8,73.0,581,586,2361.6,-2336.0,-7.0847999999999995
0,160,32,32,73.48,73.0,592,595,2351.36,-2336.0,-7.05408
0,160,0,0,0.0,0.0,609,600,0.0,0.0,0.0
0,160,0,0,0.0,0.0,619,610,0.0,0.0,0.0
0,160,0,0,0.0,0.0,627,623,0.0,0.0,0.0
0,161,32,33,57.0,55.0,631,639,1824.0,-1815.0,-5.4719999999999995
0,161,0,0,0.0,0.0,648,642,0.0,0.0,0.0
0,162,32,33,56.7,55.0,654,659,1825.7400000000002,-1815.0,-5.477220000000001
0,162,0,0,0.0,0.0,667,662,0.0,0.0,0.0
0,162,0,0,0.0,0.0,675,670,0.0,0.0,0.0
0,162,0,0,0.0,0.0,688,680,0.0,0.0,0.0
0,165,32,35,58.99,54.05,695,699,1911.2760000000003,-1891.75,-5.733828000000001
0,165,0,0,0.0,0.0,709,700,0.0,0.0,0.0
0,167,33,35,57.69,54.0,712,719,1903.7700000000002,-1890.0,-5.711310000000001
0,168,33,34,59.64,57.89,720,726,1991.9759999999999,-1968.26,-5.975927999999999
0,170,33,35,60.0,57.15,734,737,2016.0,-2000.25,-6.048
0,170,0,0,0.0,0.0,747,740,0.0,0.0,0.0
0,170,34,34,61.95,60.5,751,757,2106.3,-2057.0,-6.3189
0,170,34,34,63.0,61.5,764,769,2142.0,-2091.0,-6.426
0,170,0,0,0.0,0.0,771,770,0.0,0.0,0.0
0,170,0,0,0.0,0.0,789,781,0.0,0.0,0.0
0,171,34,35,65.5,63.0,794,799,2227.0,-2205.0,-6.681
0,171,0,0,0.0,0.0,806,800,0.0,0.0,0.0
0,171,34,34,65.94,65.74,810,819,2255.148,-2235.16,-6.7654440000000005
0,171,0,0,0.0,0.0,828,821,0.0,0.0,0.0
0,171,0,0,0.0,0.0,833,830,0.0,0.0,0.0
0,171,0,0,0.0,0.0,844,840,0.0,0.0,0.0
0,171,0,0,0.0,0.0,859,858,0.0,0.0,0.0
0,172,34,35,62.85,61.0,864,868,2149.4700000000003,-2135.0,-6.44841
0,173,34,35,62.5,61.01,877,879,2150.0,-2135.35,-6.45
0,173,34,34,61.98,61.12,880,888,2144.508,-2078.08,-6.4335239999999985
0,173,0,0,0.0,0.0,895,893,0.0,0.0,0.0
0,173,0,0,0.0,0.0,908,904,0.0,0.0,0.0
0,173,0,0,0.0,0.0,913,910,0.0,0.0,0.0
0,175,34,36,62.5,59.61,922,929,2162.5,-2145.96,-6.4875
0,175,0,0,0.0,0.0,936,930,0.0,0.0,0.0
0,174,35,34,62.15,61.99,940,945,2175.25,-2107.66,-6.5257499999999995
0,174,0,0,0.0,0.0,959,954,0.0,0.0,0.0
0,175,34,35,60.5,59.89,960,969,2105.4,-2096.15,-6.3162
0,175,35,35,62.63,61.35,970,979,2192.05,-2147.25,-6.57615
0,175,0,0,0.0,0.0,988,987,0.0,0.0,0.0
0,175,35,35,63.02,62.3,990,999,2205.7000000000003,-2180.5,-6.617100000000001
0,175,0,0,0.0,0.0,1005,1004,0.0,0.0,0.0
0,175,0,0,0.0,0.0,1019,1010,0.0,0.0,0.0
0,175,0,0,0.0,0.0,1029,1023,0.0,0.0,0.0
0,175,0,0,0.0,0.0,1034,1030,0.0,0.0,0.0
0,175,35,35,61.0,60.0,1041,1049,2135.0,-2100.0,-6.405
0,175,35,35,62.15,60.26,1051,1059,2175.25,-2109.1,-6.5257499999999995
0,175,0,0,0.0,0.0,1069,1062,0.0,0.0,0.0
0,175,0,0,0.0,0.0,1079,1070,0.0,0.0,0.0
0,175,35,35,57.45,57.0,1084,1088,2010.75,-1995.0,-6.03225
0,175,35,35,58.5,57.0,1091,1099,2047.5,-1995.0,-6.1425
0,175,0,0,0.0,0.0,1109,1107,0.0,0.0,0.0
0,175,0,0,0.0,0.0,1115,1110,0.0,0.0,0.0
0,175,0,0,0.0,0.0,1129,1120,0.0,0.0,0.0
0,175,35,35,56.5,56.0,1135,1139,1977.5,-1960.0,-5.9325
0,174,35,34,56.0,56.45,1140,1144,1960.0,-1919.3000000000002,-5.88
0,175,34,35,55.01,54.0,1154,1159,1914.348,-1890.0,-5.743044
0,175,0,0,0.0,0.0,1163,1160,0.0,0.0,0.0
0,175,35,35,54.14,52.6,1173,1175,1894.9,-1841.0,-5.6847
0,176,35,36,55.6,53.55,1181,1189,1946.0,-1927.8,-5.838
0,176,0,0,0.0,0.0,1199,1191,0.0,0.0,0.0
0,176,0,0,0.0,0.0,1208,1200,0.0,0.0,0.0
0,177,35,36,54.4,53.0,1210,1219,1914.88,-1908.0,-5.74464
0,178,35,36,55.5,53.99,1221,1223,1964.7,-1943.64,-5.8941
0,178,0,0,0.0,0.0,1237,1236,0.0,0.0,0.0
0,179,35,36,54.0,53.0,1244,1247,1922.4,-1908.0,-5.767200000000001
0,179,0,0,0.0,0.0,1259,1252,0.0,0.0,0.0
0,179,0,0,0.0,0.0,1267,1260,0.0,0.0,0.0
0,180,35,36,51.9,50.57,1270,1276,1858.0200000000002,-1820.52,-5.574060000000001
0,180,0,0,0.0,0.0,1287,1280,0.0,0.0,0.0
0,180,36,36,52.25,51.5,1290,1299,1881.0,-1854.0,-5.643
0,179,36,35,52.55,52.49,1300,1302,1891.8000000000002,-1837.15,-5.675400000000001
0,179,35,35,52.98,52.55,1315,1319,1896.6840000000002,-1839.25,-5.6900520000000006
0,179,0,0,0.0,0.0,1326,1321,0.0,0.0,0.0
0,181,35,37,55.0,53.0,1330,1338,1969.0,-1961.0,-5.906999999999999
0,181,0,0,0.0,0.0,1347,1340,0.0,0.0,0.0
0,181,0,0,0.0,0.0,1358,1350,0.0,0.0,0.0
0,181,0,0,0.0,0.0,1364,1360,0.0,0.0,0.0
0,182,36,37,52.35,50.12,1370,1378,1895.0700000000002,-1854.4399999999998,-5.6852100000000005
0,182,36,36,52.69,52.0,1380,1386,1917.9160000000002,-1872.0,-5.753748000000001
0,182,0,0,0.0,0.0,1399,1396,0.0,0.0,0.0
0,182,36,36,53.0,52.69,1400,1404,1929.2,-1896.84,-5.7876
0,182,0,0,0.0,0.0,1416,1412,0.0,0.0,0.0
0,182,0,0,0.0,0.0,1426,1420,0.0,0.0,0.0
0,183,36,37,54.15,52.9,1430,1439,1971.06,-1957.3,-5.91318
0,183,0,0,0.0,0.0,1449,1446,0.0,0.0,0.0
0,184,36,37,54.01,53.0,1450,1459,1976.766,-1961.0,-5.9302980000000005
0,185,36,37,54.75,54.01,1461,1469,2014.8000000000002,-1998.37,-6.0444
0,185,37,37,54.95,54.75,1470,1479,2033.15,-2025.75,-6.099450000000001
0,185,37,37,55.5,54.95,1480,1489,2053.5,-2033.15,-6.1605
0,185,37,37,55.64,55.15,1491,1498,2058.68,-2040.55,-6.1760399999999995
0,186,37,38,56.95,54.56,1504,1508,2107.15,-2073.28,-6.32145
0,186,0,0,0.0,0.0,1515,1510,0.0,0.0,0.0
0,186,37,37,55.5,55.0,1522,1525,2064.6,-2035.0,-6.1938
0,186,37,37,55.7,55.0,1534,1538,2072.0400000000004,-2035.0,-6.216120000000001
0,186,0,0,0.0,0.0,1547,1540,0.0,0.0,0.0
0,186,37,37,55.2,54.75,1551,1555,2053.44,-2025.75,-6.1603200000000005
0,187,37,38,57.75,55.25,1560,1569,2148.3,-2099.5,-6.4449000000000005
0,188,37,38,58.25,57.0,1570,1575,2178.55,-2166.0,-6.53565
0,190,37,39,60.93,58.0,1581,1588,2290.9680000000003,-2262.0,-6.872904000000001
0,190,0,0,0.0,0.0,1598,1590,0.0,0.0,0.0
0,190,0,0,0.0,0.0,1606,1605,0.0,0.0,0.0
0,190,38,38,58.34,57.0,1616,1619,2216.92,-2166.0,-6.65076
0,190,38,38,59.19,58.88,1621,1627,2249.2200000000003,-2237.44,-6.747660000000001
0,190,0,0,0.0,0.0,1639,1636,0.0,0.0,0.0
0,190,0,0,0.0,0.0,1646,1643,0.0,0.0,0.0
0,190,0,0,0.0,0.0,1659,1650,0.0,0.0,0.0
0,190,38,38,58.2,57.1,1660,1662,2211.6,-2169.8,-6.634799999999999
0,190,38,38,58.0,57.55,1670,1674,2204.0,-2186.9,-6.611999999999999
0,190,38,38,57.75,56.55,1685,1687,2194.5,-2148.9,-6.583500000000001
0,190,38,38,58.5,57.75,1690,1698,2223.0,-2194.5,-6.669
0,190,38,38,58.9,57.99,1706,1707,2238.2000000000003,-2203.62,-6.714600000000001
0,190,0,0,0.0,0.0,1715,1710,0.0,0.0,0.0
0,190,38,38,58.0,57.5,1721,1726,2204.0,-2185.0,-6.611999999999999
0,190,38,38,58.0,57.7,1738,1739,2204.0,-2192.6,-6.611999999999999
0,189,38,37,58.0,58.0,1740,1746,2204.0,-2146.0,-6.611999999999999
0,189,0,0,0.0,0.0,1757,1754,0.0,0.0,0.0
0,190,37,38,59.35,57.9,1760,1764,2243.43,-2200.2,-6.730289999999999
0,190,0,0,0.0,0.0,1778,1771,0.0,0.0,0.0
0,190,0,0,0.0,0.0,1788,1783,0.0,0.0,0.0
0,190,0,0,0.0,0.0,1799,1797,0.0,0.0,0.0
0,190,38,38,58.75,58.0,1802,1809,2232.5,-2204.0,-6.6975
0,190,0,0,0.0,0.0,1816,1810,0.0,0.0,0.0
0,190,38,38,59.15,58.0,1825,1827,2247.7000000000003,-2204.0,-6.743100000000001
0,190,0,0,0.0,0.0,1835,1830,0.0,0.0,0.0
0,190,0,0,0.0,0.0,1849,1843,0.0,0.0,0.0
0,190,38,38,59.0,58.6,1850,1855,2242.0,-2226.8,-6.726
0,190,0,0,0.0,0.0,1866,1861,0.0,0.0,0.0
0,190,38,38,58.5,57.0,1876,1877,2223.0,-2166.0,-6.669
0,190,0,0,0.0,0.0,1886,1881,0.0,0.0,0.0
0,191,38,39,57.0,54.1,1894,1899,2166.0,-2109.9,-6.497999999999999
0,191,38,38,57.95,57.0,1904,1909,2213.69,-2166.0,-6.64107
0,191,38,38,59.0,57.99,1910,1919,2253.8,-2203.62,-6.7614
0,191,38,38,60.0,59.24,1920,1929,2292.0,-2251.12,-6.876
