,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,4242,0,4242,0.0,1.65,0,0,7000.0,7000.0,21.0
0,4242,0,0,0.0,0.0,9,2,0.0,0.0,0.0
0,4242,0,0,0.0,0.0,19,15,0.0,0.0,0.0
0,4298,848,904,1.69,1.58,20,26,1433.796,-1428.3200000000002,-4.301388
0,4298,0,0,0.0,0.0,39,33,0.0,0.0,0.0
0,4323,859,884,1.6,1.55,45,49,1375.3600000000001,-1370.2,-4.12608
0,4342,864,883,1.64,1.6,54,59,1417.944,-1412.8000000000002,-4.253832
0,4383,868,909,1.68,1.6,60,69,1458.912,-1454.4,-4.376736
0,4383,0,0,0.0,0.0,79,71,0.0,0.0,0.0
0,4383,0,0,0.0,0.0,89,84,0.0,0.0,0.0
0,4383,0,0,0.0,0.0,99,90,0.0,0.0,0.0
0,4429,876,922,1.53,1.45,100,105,1341.198,-1336.8999999999999,-4.023594
0,4457,885,913,1.5,1.45,111,112,1328.7,-1323.85,-3.9861000000000004
0,4457,0,0,0.0,0.0,124,121,0.0,0.0,0.0
0,4504,891,938,1.5,1.42,137,139,1337.1000000000001,-1331.96,-4.0113
0,4504,0,0,0.0,0.0,149,140,0.0,0.0,0.0
0,4504,0,0,0.0,0.0,158,155,0.0,0.0,0.0
0,4514,900,910,1.52,1.5,160,161,1369.2160000000001,-1365.0,-4.107648
0,4524,902,912,1.51,1.49,176,179,1363.228,-1358.8799999999999,-4.089684
0,4539,904,919,1.55,1.52,180,184,1402.44,-1396.88,-4.20732
0,4585,907,953,1.59,1.51,191,199,1443.402,-1439.03,-4.330206
0,4628,917,960,1.67,1.59,200,209,1531.39,-1526.4,-4.59417
0,4631,925,928,1.7,1.69,210,219,1573.52,-1568.32,-4.72056
0,4644,926,939,1.73,1.7,220,226,1602.326,-1596.3,-4.806978
0,4652,928,936,1.71,1.69,234,239,1588.248,-1581.84,-4.764744
0,4652,0,0,0.0,0.0,245,240,0.0,0.0,0.0
0,4652,0,0,0.0,0.0,254,250,0.0,0.0,0.0
0,4671,930,949,1.7,1.66,261,268,1581.68,-1575.34,-4.74504
0,4671,0,0,0.0,0.0,278,277,0.0,0.0,0.0
0,4690,934,953,1.75,1.71,280,289,1634.8500000000001,-1629.6299999999999,-4.90455
0,4708,938,956,1.79,1.75,290,297,1679.0200000000002,-1673.0,-5.03706
0,4727,941,960,1.8,1.76,302,307,1694.88,-1689.6,-5.08464
0,4727,0,0,0.0,0.0,317,314,0.0,0.0,0.0
0,4727,0,0,0.0,0.0,328,324,0.0,0.0,0.0
0,4727,0,0,0.0,0.0,334,330,0.0,0.0,0.0
0,4727,0,0,0.0,0.0,342,340,0.0,0.0,0.0
0,4740,945,958,1.85,1.82,355,358,1748.9900000000002,-1743.5600000000002,-5.24697
0,4740,0,0,0.0,0.0,369,360,0.0,0.0,0.0
0,4753,948,961,1.8,1.77,371,377,1706.4,-1700.97,-5.1192
0,4753,0,0,0.0,0.0,387,383,0.0,0.0,0.0
0,4772,950,969,1.81,1.77,392,396,1720.5860000000002,-1715.13,-5.161758000000001
0,4772,0,0,0.0,0.0,409,400,0.0,0.0,0.0
0,4785,954,967,1.78,1.75,415,419,1698.832,-1692.25,-5.096496
0,4785,0,0,0.0,0.0,426,422,0.0,0.0,0.0
0,4785,0,0,0.0,0.0,432,430,0.0,0.0,0.0
0,4785,0,0,0.0,0.0,449,447,0.0,0.0,0.0
0,4885,957,1057,1.95,1.76,450,459,1866.15,-1860.32,-5.598450000000001
0,4897,977,989,1.98,1.95,461,463,1934.46,-1928.55,-5.80338
0,4909,979,991,1.99,1.96,471,475,1949.0060000000003,-1942.36,-5.847018
0,4909,0,0,0.0,0.0,489,480,0.0,0.0,0.0
0,4917,981,989,1.91,1.89,490,496,1875.2380000000003,-1869.2099999999998,-5.625714
0,4935,983,1001,1.94,1.9,502,509,1907.796,-1901.8999999999999,-5.723388
0,4937,987,989,1.94,1.93,514,518,1914.78,-1908.77,-5.74434
0,4958,987,1008,2.07,2.02,520,529,2043.9179999999997,-2036.16,-6.131753999999999
0,4958,0,0,0.0,0.0,538,531,0.0,0.0,0.0
0,4958,0,0,0.0,0.0,549,540,0.0,0.0,0.0
0,4981,991,1014,1.99,1.94,552,559,1973.284,-1967.1599999999999,-5.919852
0,4988,996,1003,2.01,1.99,560,566,2002.362,-1995.97,-6.007086000000001
0,5020,997,1029,2.07,2.0,570,577,2065.032,-2058.0,-6.1950959999999995
0,5041,1004,1025,2.1,2.05,581,586,2108.4,-2101.25,-6.3252
0,5041,0,0,0.0,0.0,598,594,0.0,0.0,0.0
0,5102,1008,1069,2.15,2.02,603,609,2167.63,-2159.38,-6.50289
0,5138,1020,1056,2.17,2.09,611,614,2214.268,-2207.04,-6.642804
0,5185,1027,1074,2.16,2.06,625,629,2219.616,-2212.44,-6.658847999999999
0,5201,1037,1053,2.15,2.11,636,639,2229.55,-2221.83,-6.68865
0,5207,1040,1046,2.17,2.15,640,649,2257.234,-2248.9,-6.771701999999999
0,5213,1041,1047,2.19,2.17,650,659,2280.666,-2271.99,-6.841998
0,5213,0,0,0.0,0.0,667,661,0.0,0.0,0.0
0,5213,0,0,0.0,0.0,679,671,0.0,0.0,0.0
0,5213,0,0,0.0,0.0,689,684,0.0,0.0,0.0
0,5224,1042,1053,2.18,2.15,691,699,2272.868,-2263.95,-6.818604
0,5245,1044,1065,2.22,2.17,701,708,2319.456,-2311.0499999999997,-6.958368
0,5284,1049,1088,2.28,2.19,710,719,2391.72,-2382.72,-7.17516
0,5295,1056,1067,2.3,2.27,721,729,2430.64,-2422.09,-7.291919999999999
0,5328,1059,1092,2.37,2.29,732,739,2509.8300000000004,-2500.68,-7.529490000000001
0,5334,1065,1071,2.4,2.38,741,746,2557.44,-2548.98,-7.67232
0,5334,0,0,0.0,0.0,756,751,0.0,0.0,0.0
0,5334,0,0,0.0,0.0,768,760,0.0,0.0,0.0
0,5334,0,0,0.0,0.0,778,770,0.0,0.0,0.0
0,5359,1066,1091,2.32,2.26,782,786,2474.976,-2465.66,-7.424928
0,5359,0,0,0.0,0.0,797,793,0.0,0.0,0.0
0,5359,0,0,0.0,0.0,807,800,0.0,0.0,0.0
0,5359,0,0,0.0,0.0,817,810,0.0,0.0,0.0
0,5366,1071,1078,2.14,2.12,820,823,2293.652,-2285.36,-6.880956
0,5403,1073,1110,2.2,2.12,831,835,2361.0400000000004,-2353.2000000000003,-7.083120000000001
0,5403,0,0,0.0,0.0,849,845,0.0,0.0,0.0
0,5425,1080,1102,2.19,2.14,850,859,2366.514,-2358.28,-7.0995420000000005
0,5425,0,0,0.0,0.0,869,860,0.0,0.0,0.0
0,5425,0,0,0.0,0.0,878,872,0.0,0.0,0.0
0,5426,1085,1086,2.11,2.1,880,887,2289.35,-2280.6,-6.868049999999999
0,5459,1085,1118,2.17,2.1,890,895,2354.884,-2347.8,-7.064652
0,5459,0,0,0.0,0.0,907,901,0.0,0.0,0.0
0,5459,0,0,0.0,0.0,917,910,0.0,0.0,0.0
0,5489,1091,1121,2.06,2.0,927,929,2249.108,-2242.0,-6.747324
0,5489,0,0,0.0,0.0,937,930,0.0,0.0,0.0
0,5530,1097,1138,2.08,2.0,940,949,2283.4240000000004,-2276.0,-6.850272000000001
0,5591,1106,1167,2.17,2.05,951,958,2400.02,-2392.35,-7.20006
0,5591,0,0,0.0,0.0,966,962,0.0,0.0,0.0
0,5591,0,0,0.0,0.0,976,970,0.0,0.0,0.0
0,5591,0,0,0.0,0.0,989,980,0.0,0.0,0.0
0,5591,0,0,0.0,0.0,999,998,0.0,0.0,0.0
0,5598,1118,1125,2.03,2.01,1000,1002,2269.946,-2261.2499999999995,-6.809838
0,5598,0,0,0.0,0.0,1019,1015,0.0,0.0,0.0
0,5701,1119,1222,2.19,2.0,1023,1029,2451.924,-2444.0,-7.355772
0,5701,0,0,0.0,0.0,1033,1031,0.0,0.0,0.0
0,5724,1140,1163,2.19,2.14,1041,1046,2497.0380000000005,-2488.82,-7.491114000000001
0,5724,0,0,0.0,0.0,1052,1051,0.0,0.0,0.0
0,5724,0,0,0.0,0.0,1069,1062,0.0,0.0,0.0
0,5724,0,0,0.0,0.0,1077,1071,0.0,0.0,0.0
0,5783,1144,1203,2.12,2.01,1082,1088,2426.976,-2418.0299999999997,-7.280928
0,5783,0,0,0.0,0.0,1098,1090,0.0,0.0,0.0
0,5783,0,0,0.0,0.0,1105,1100,0.0,0.0,0.0
0,5862,1156,1235,2.1,1.96,1110,1114,2428.86,-2420.6,-7.286580000000001
0,5911,1172,1221,2.09,2.0,1121,1129,2450.3160000000003,-2442.0,-7.350948000000001
0,5911,0,0,0.0,0.0,1139,1132,0.0,0.0,0.0
0,5911,0,0,0.0,0.0,1148,1143,0.0,0.0,0.0
0,5911,0,0,0.0,0.0,1156,1153,0.0,0.0,0.0
0,5959,1182,1230,2.15,2.06,1161,1166,2541.73,-2533.8,-7.62519
0,5959,0,0,0.0,0.0,1172,1170,0.0,0.0,0.0
0,5959,0,0,0.0,0.0,1189,1180,0.0,0.0,0.0
0,5959,0,0,0.0,0.0,1196,1192,0.0,0.0,0.0
0,5989,1191,1221,2.19,2.13,1202,1207,2610.042,-2600.73,-7.830125999999999
0,5989,0,0,0.0,0.0,1219,1210,0.0,0.0,0.0
0,6026,1197,1234,2.12,2.05,1223,1229,2539.3360000000002,-2529.7,-7.6180080000000014
0,6026,0,0,0.0,0.0,1234,1230,0.0,0.0,0.0
0,6026,0,0,0.0,0.0,1243,1240,0.0,0.0,0.0
0,6026,0,0,0.0,0.0,1258,1255,0.0,0.0,0.0
0,6052,1205,1231,2.04,1.99,1260,1269,2458.608,-2449.69,-7.375824000000001
0,6072,1210,1230,2.05,2.01,1273,1277,2481.3199999999997,-2472.2999999999997,-7.443959999999999
0,6111,1214,1253,2.03,1.96,1284,1289,2465.232,-2455.88,-7.395695999999999
0,6111,0,0,0.0,0.0,1299,1291,0.0,0.0,0.0
0,6111,0,0,0.0,0.0,1309,1304,0.0,0.0,0.0
0,6111,0,0,0.0,0.0,1319,1310,0.0,0.0,0.0
0,6167,1222,1278,1.92,1.83,1323,1327,2346.624,-2338.7400000000002,-7.039871999999999
0,6263,1233,1329,2.0,1.85,1333,1336,2466.8,-2458.65,-7.400400000000001
0,6253,1252,1242,1.95,1.96,1340,1343,2442.57,-2434.32,-7.327710000000001
0,6319,1250,1316,1.9,1.8,1351,1358,2376.14,-2368.8,-7.12842
0,6319,0,0,0.0,0.0,1367,1360,0.0,0.0,0.0
0,6319,0,0,0.0,0.0,1373,1370,0.0,0.0,0.0
0,6319,0,0,0.0,0.0,1389,1384,0.0,0.0,0.0
0,6394,1263,1338,1.7,1.6,1395,1399,2148.46,-2140.8,-6.44538
0,6394,0,0,0.0,0.0,1406,1405,0.0,0.0,0.0
0,6394,0,0,0.0,0.0,1417,1414,0.0,0.0,0.0
0,6394,0,0,0.0,0.0,1427,1422,0.0,0.0,0.0
0,6394,0,0,0.0,0.0,1439,1433,0.0,0.0,0.0
0,6394,0,0,0.0,0.0,1449,1445,0.0,0.0,0.0
0,6394,0,0,0.0,0.0,1459,1450,0.0,0.0,0.0
0,6394,0,0,0.0,0.0,1468,1462,0.0,0.0,0.0
0,6407,1278,1291,1.6,1.58,1470,1479,2046.0800000000004,-2039.7800000000002,-6.138240000000001
0,6407,0,0,0.0,0.0,1489,1486,0.0,0.0,0.0
0,6427,1281,1301,1.63,1.6,1490,1498,2088.6820000000002,-2081.6,-6.266046
0,6503,1285,1361,1.71,1.61,1501,1509,2198.034,-2191.21,-6.594102
0,6561,1300,1358,1.76,1.68,1510,1519,2289.056,-2281.44,-6.867168
0,6561,0,0,0.0,0.0,1527,1523,0.0,0.0,0.0
0,6580,1312,1331,1.75,1.72,1531,1535,2296.35,-2289.32,-6.88905
0,6580,0,0,0.0,0.0,1542,1540,0.0,0.0,0.0
0,6580,0,0,0.0,0.0,1559,1557,0.0,0.0,0.0
0,6580,0,0,0.0,0.0,1567,1561,0.0,0.0,0.0
0,6672,1316,1408,1.9,1.77,1575,1579,2500.4,-2492.16,-7.5012
0,6770,1334,1432,2.1,1.95,1580,1589,2802.2400000000002,-2792.4,-8.40672
0,6770,0,0,0.0,0.0,1599,1591,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1609,1600,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1617,1612,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1626,1620,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1639,1634,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1649,1640,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1657,1650,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1668,1660,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1678,1670,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1689,1684,0.0,0.0,0.0
0,6770,0,0,0.0,0.0,1699,1694,0.0,0.0,0.0
0,6798,1354,1382,1.69,1.65,1700,1703,2288.2599999999998,-2280.2999999999997,-6.86478
0,6810,1359,1371,1.67,1.65,1714,1719,2270.532,-2262.15,-6.811596000000001
0,6810,0,0,0.0,0.0,1722,1720,0.0,0.0,0.0
0,6810,0,0,0.0,0.0,1739,1731,0.0,0.0,0.0
0,6831,1362,1383,1.65,1.62,1740,1748,2247.3,-2240.46,-6.741900000000001
0,6831,0,0,0.0,0.0,1759,1755,0.0,0.0,0.0
0,6831,0,0,0.0,0.0,1768,1762,0.0,0.0,0.0
0,6831,0,0,0.0,0.0,1772,1770,0.0,0.0,0.0
0,6877,1366,1412,1.68,1.62,1788,1789,2295.216,-2287.44,-6.885648
0,6877,0,0,0.0,0.0,1796,1790,0.0,0.0,0.0
0,6877,0,0,0.0,0.0,1809,1803,0.0,0.0,0.0
0,6890,1375,1388,1.63,1.61,1812,1817,2241.9019999999996,-2234.6800000000003,-6.725705999999999
