,Number of Stocks,Stocks Sold,Stocks Bought,Selling_rate,Buying_rate,Min_point,Max_point,Amount_Gained,Amount_Spent,Brocker fee
0,244,0,244,0.0,28.68,0,0,7000.0,7000.0,21.0
0,247,48,51,30.2,28.55,1,8,1473.7600000000002,-1456.05,-4.42128
0,247,0,0,0.0,0.0,19,10,0.0,0.0,0.0
0,248,49,50,29.4,28.6,23,29,1452.36,-1430.0,-4.35708
0,249,49,50,30.1,29.43,30,37,1492.96,-1471.5,-4.47888
0,250,49,50,30.15,29.56,43,49,1501.47,-1478.0,-4.50441
0,250,0,0,0.0,0.0,59,58,0.0,0.0,0.0
0,251,50,51,30.2,29.15,60,65,1510.0,-1486.6499999999999,-4.53
0,251,0,0,0.0,0.0,79,71,0.0,0.0,0.0
0,251,0,0,0.0,0.0,85,80,0.0,0.0,0.0
0,251,50,50,29.5,29.5,90,99,1480.9,-1475.0,-4.4427
0,252,50,51,29.7,29.05,102,107,1490.94,-1481.55,-4.47282
0,253,50,51,30.9,30.0,110,119,1557.36,-1530.0,-4.67208
0,253,50,50,30.97,30.9,120,129,1567.082,-1545.0,-4.701246
0,253,0,0,0.0,0.0,136,130,0.0,0.0,0.0
0,253,0,0,0.0,0.0,149,141,0.0,0.0,0.0
0,254,50,51,30.0,29.45,150,159,1518.0,-1501.95,-4.554
0,254,0,0,0.0,0.0,169,160,0.0,0.0,0.0
0,254,0,0,0.0,0.0,179,175,0.0,0.0,0.0
0,254,0,0,0.0,0.0,189,180,0.0,0.0,0.0
0,256,50,52,29.2,28.03,190,198,1483.3600000000001,-1457.56,-4.450080000000001
0,256,0,0,0.0,0.0,209,204,0.0,0.0,0.0
0,256,0,0,0.0,0.0,219,216,0.0,0.0,0.0
0,257,51,52,29.0,28.25,226,229,1484.8000000000002,-1469.0,-4.454400000000001
0,257,0,0,0.0,0.0,239,232,0.0,0.0,0.0
0,258,51,52,28.51,27.7,242,249,1465.4140000000002,-1440.3999999999999,-4.396242
0,258,0,0,0.0,0.0,257,250,0.0,0.0,0.0
0,259,51,52,28.29,27.51,260,265,1459.7640000000001,-1430.52,-4.379292
0,260,51,52,28.71,28.25,270,277,1487.178,-1469.0,-4.461534
0,260,0,0,0.0,0.0,288,280,0.0,0.0,0.0
0,260,0,0,0.0,0.0,299,290,0.0,0.0,0.0
0,261,52,53,27.68,26.7,300,305,1439.3600000000001,-1415.1,-4.318080000000001
0,262,52,53,27.75,27.0,311,316,1448.5500000000002,-1431.0,-4.345650000000001
0,262,0,0,0.0,0.0,328,320,0.0,0.0,0.0
0,262,0,0,0.0,0.0,338,331,0.0,0.0,0.0
0,261,52,51,26.4,26.55,340,343,1383.36,-1354.05,-4.15008
0,261,0,0,0.0,0.0,356,350,0.0,0.0,0.0
0,261,0,0,0.0,0.0,369,364,0.0,0.0,0.0
0,262,52,53,25.4,24.75,376,379,1325.88,-1311.75,-3.97764
