TRADE_ENTRY_DATE,Date_Time,Date_Time,ID,OPEN,HIGH,LOW,CLOSE
2009-04-01,9,30,ATRL,82,83.5,82,82.9
2009-04-01,9,30,BAHL,26.92,27.3,26.14,26.5
2009-04-01,9,30,EPCL,26.92,27.3,26.14,26.5
2009-04-01,9,30,FCCL,22.4,23.25,22.4,22.75
2009-04-01,9,30,LUCK,6.49,6.74,6.41,6.7
2009-04-01,9,30,MCB,50.79,51.85,50.11,51.35
2009-04-01,9,30,MLCF,142,144.2,142,144
2009-04-01,9,30,NETSOL,4.9,5.15,4.9,5
2009-04-01,9,30,NML,16.75,17.4,16.71,17.4
2009-04-01,9,30,OGDC,30.55,31.1,30.52,31.01
2009-04-01,9,30,PPL,72.8,73.85,72.5,73.85
2009-04-01,9,30,PSO,175,178,174.1,176.75
2009-04-01,9,30,SEARL,199,201.8,198.1,200.8
2009-04-01,9,30,TRG,43.1,66.9,43.1,64.05
2009-04-01,9,31,ATRL,82.9,83.3,82.52,83.3
2009-04-01,9,31,BAHL,26.5,26.65,26.27,26.58
2009-04-01,9,31,EPCL,26.5,26.65,26.27,26.58
2009-04-01,9,31,FCCL,22.75,23,22.71,23
2009-04-01,9,31,LUCK,6.7,6.72,6.6,6.7
2009-04-01,9,31,MCB,51.35,51.47,51.2,51.25
2009-04-01,9,31,MLCF,144,144.2,144,144.17
2009-04-01,9,31,NETSOL,5.01,5.04,4.96,4.98
2009-04-01,9,31,NML,17.4,17.45,17.4,17.45
2009-04-01,9,31,OGDC,31.08,31.3,31.08,31.3
2009-04-01,9,31,PPL,73.85,74,73.85,74
2009-04-01,9,31,PSO,176.75,177,176.11,177
2009-04-01,9,31,SEARL,200.8,201,200.21,200.99
2009-04-01,9,31,TRG,64.02,66.97,64,64
2009-04-01,9,32,ATRL,83.3,85,83.25,85
2009-04-01,9,32,BAHL,26.59,26.9,26.38,26.9
2009-04-01,9,32,EPCL,26.59,26.9,26.38,26.9
2009-04-01,9,32,FCCL,23,23.07,22.9,22.9
2009-04-01,9,32,LUCK,6.7,6.75,6.7,6.75
2009-04-01,9,32,MCB,51.44,51.5,51.1,51.5
2009-04-01,9,32,MLCF,144.17,144.5,144.17,144.49
2009-04-01,9,32,NETSOL,5,5.1,4.99,5.05
2009-04-01,9,32,NML,17.45,17.5,17.37,17.4
2009-04-01,9,32,OGDC,31.3,31.4,31.2,31.2
2009-04-01,9,32,PPL,74,74.1,73.55,73.7
2009-04-01,9,32,PSO,176.99,177.3,176.22,177.3
2009-04-01,9,32,SEARL,200.99,201.5,200.99,201.03
2009-04-01,9,32,TRG,64.5,64.5,63,63.1
2009-04-01,9,33,ATRL,85,85.49,84.98,85.4
2009-04-01,9,33,BAHL,26.99,27.38,26.8,27.02
2009-04-01,9,33,EPCL,26.99,27.38,26.8,27.02
2009-04-01,9,33,FCCL,22.92,23.19,22.87,23.19
2009-04-01,9,33,LUCK,6.75,6.75,6.6,6.7
2009-04-01,9,33,MCB,51.5,51.85,51.5,51.85
2009-04-01,9,33,MLCF,144.48,145,144.48,145
2009-04-01,9,33,NETSOL,5.07,5.11,5.01,5.08
2009-04-01,9,33,NML,17.4,17.55,17.35,17.5
2009-04-01,9,33,OGDC,31.2,31.27,31,31.05
2009-04-01,9,33,PPL,73.8,73.8,73.4,73.8
2009-04-01,9,33,PSO,177.49,177.5,177,177.33
2009-04-01,9,33,SEARL,201.1,202.2,201.1,201.12
2009-04-01,9,33,TRG,63.45,64.19,60.79,60.8
2009-04-01,9,34,ATRL,85.4,87,85.4,86.85
2009-04-01,9,34,BAHL,27.36,28.1,27,28.1
2009-04-01,9,34,EPCL,27.36,28.1,27,28.1
2009-04-01,9,34,FCCL,23.2,23.3,23.05,23.11
2009-04-01,9,34,LUCK,6.7,6.77,6.67,6.74
2009-04-01,9,34,MCB,51.85,51.85,51.8,51.85
2009-04-01,9,34,MLCF,144.75,145.2,144.5,145
2009-04-01,9,34,NETSOL,5.08,5.17,5.05,5.17
2009-04-01,9,34,NML,17.5,17.5,17.26,17.26
2009-04-01,9,34,OGDC,31.01,31.09,30.8,30.8
2009-04-01,9,34,PPL,73.8,73.99,73.61,73.7
2009-04-01,9,34,PSO,177.01,177.05,176.25,176.8
2009-04-01,9,34,SEARL,201.1,201.89,200.1,201.45
2009-04-01,9,34,TRG,64.8,64.8,56.25,62
2009-04-01,9,35,ATRL,86.84,87.39,86.5,86.8
2009-04-01,9,35,BAHL,28.15,28.21,27.5,27.5
2009-04-01,9,35,EPCL,28.15,28.21,27.5,27.5
2009-04-01,9,35,FCCL,23.11,23.33,23.11,23.33
